[rosmaster.main][INFO] 2012-12-15 18:51:08,650: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:51:08,650: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:51:08,652: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:51:08,652: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:51:08,652: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:51:08,653: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:51:08,760: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,766: +PARAM [/roslaunch/uris/host_pc__34983] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,797: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,801: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,801: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,801: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,802: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,803: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:51:08,805: +SERVICE [/rosout/get_loggers] /rosout http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,806: +SERVICE [/rosout/set_logger_level] /rosout http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,808: +PUB [/rosout_agg] /rosout http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,809: +SUB [/rosout] /rosout http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,837: +PUB [/rosout] /camera/driver http://pc:58794/
[rosmaster.master][INFO] 2012-12-15 18:51:08,843: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:58794/
[rosmaster.master][INFO] 2012-12-15 18:51:08,845: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:58794/
[rosmaster.master][INFO] 2012-12-15 18:51:08,852: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,859: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:51:08,864: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:44085/
[rosmaster.master][INFO] 2012-12-15 18:51:08,867: +PUB [/rosout] /camera/rgb/debayer http://pc:50180/
[rosmaster.master][INFO] 2012-12-15 18:51:08,868: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:44085/
[rosmaster.master][INFO] 2012-12-15 18:51:08,870: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:44085/
[rosmaster.master][INFO] 2012-12-15 18:51:08,878: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:50180/
[rosmaster.master][INFO] 2012-12-15 18:51:08,880: +PUB [/rosout] /camera/rgb/rectify_color http://pc:44223/
[rosmaster.master][INFO] 2012-12-15 18:51:08,884: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:50180/
[rosmaster.master][INFO] 2012-12-15 18:51:08,886: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:44223/
[rosmaster.master][INFO] 2012-12-15 18:51:08,890: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:44223/
[rosmaster.master][INFO] 2012-12-15 18:51:08,894: +PUB [/rosout] /camera/ir/rectify_ir http://pc:53392/
[rosmaster.master][INFO] 2012-12-15 18:51:08,898: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:53392/
[rosmaster.master][INFO] 2012-12-15 18:51:08,904: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:53392/
[rosmaster.master][INFO] 2012-12-15 18:51:08,905: +PUB [/rosout] /camera/depth/rectify_depth http://pc:60722/
[rosmaster.master][INFO] 2012-12-15 18:51:08,924: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:60722/
[rosmaster.master][INFO] 2012-12-15 18:51:08,936: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:60722/
[rosmaster.master][INFO] 2012-12-15 18:51:08,944: +PUB [/rosout] /camera/depth/metric http://pc:33005/
[rosmaster.master][INFO] 2012-12-15 18:51:08,954: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,955: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,963: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,965: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,966: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,967: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:08,975: +PUB [/rosout] /camera/depth/metric_rect http://pc:56913/
[rosmaster.master][INFO] 2012-12-15 18:51:08,976: +PUB [/rosout] /camera/depth/points http://pc:53975/
[rosmaster.master][INFO] 2012-12-15 18:51:08,977: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:33005/
[rosmaster.master][INFO] 2012-12-15 18:51:08,989: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:56913/
[rosmaster.master][INFO] 2012-12-15 18:51:08,993: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:53975/
[rosmaster.master][INFO] 2012-12-15 18:51:08,994: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:33005/
[rosmaster.master][INFO] 2012-12-15 18:51:08,995: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 18:51:08,997: +PUB [/rosout] /camera/register_depth_rgb http://pc:58420/
[rosmaster.master][INFO] 2012-12-15 18:51:09,002: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:56913/
[rosmaster.master][INFO] 2012-12-15 18:51:09,004: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:53975/
[rosmaster.master][INFO] 2012-12-15 18:51:09,013: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:58420/
[rosmaster.master][INFO] 2012-12-15 18:51:09,017: +PUB [/rosout] /camera/depth_registered/metric http://pc:57572/
[rosmaster.master][INFO] 2012-12-15 18:51:09,022: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:48192/
[rosmaster.master][INFO] 2012-12-15 18:51:09,024: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:57572/
[rosmaster.master][INFO] 2012-12-15 18:51:09,029: +PUB [/rosout] /camera/disparity_depth http://pc:48625/
[rosmaster.master][INFO] 2012-12-15 18:51:09,030: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:48192/
[rosmaster.master][INFO] 2012-12-15 18:51:09,033: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:57572/
[rosmaster.master][INFO] 2012-12-15 18:51:09,037: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:48625/
[rosmaster.master][INFO] 2012-12-15 18:51:09,039: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:48192/
[rosmaster.master][INFO] 2012-12-15 18:51:09,056: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,057: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:48625/
[rosmaster.master][INFO] 2012-12-15 18:51:09,061: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,063: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,063: +PUB [/rosout] /camera/disparity_depth_registered http://pc:51235/
[rosmaster.master][INFO] 2012-12-15 18:51:09,065: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,069: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,072: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,075: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,084: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:51235/
[rosmaster.master][INFO] 2012-12-15 18:51:09,091: +PUB [/rosout] /camera_base_link1 http://pc:37325/
[rosmaster.master][INFO] 2012-12-15 18:51:09,094: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:51235/
[rosmaster.master][INFO] 2012-12-15 18:51:09,095: +PUB [/rosout] /camera_base_link2 http://pc:52357/
[rosmaster.master][INFO] 2012-12-15 18:51:09,098: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:37325/
[rosmaster.master][INFO] 2012-12-15 18:51:09,101: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:52357/
[rosmaster.master][INFO] 2012-12-15 18:51:09,103: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:37325/
[rosmaster.master][INFO] 2012-12-15 18:51:09,106: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:52357/
[rosmaster.master][INFO] 2012-12-15 18:51:09,110: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 18:51:09,116: +PUB [/tf] /camera_base_link1 http://pc:37325/
[rosmaster.master][INFO] 2012-12-15 18:51:09,119: +PUB [/tf] /camera_base_link2 http://pc:52357/
[rosmaster.master][INFO] 2012-12-15 18:51:09,165: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,167: publisherUpdate[/rosout] -> http://pc:55769/
[rosmaster.master][INFO] 2012-12-15 18:51:09,209: +PUB [/rosout] /camera_nodelet_manager http://pc:51913/
[rosmaster.master][INFO] 2012-12-15 18:51:09,211: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:51913/
