[rosmaster.main][INFO] 2012-12-14 20:54:12,700: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:54:12,700: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:54:12,702: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:54:12,703: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:54:12,703: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:54:12,703: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:54:12,719: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,722: +PARAM [/roslaunch/uris/host_pc__49758] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,748: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,748: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,748: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,748: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,748: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,749: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,749: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,749: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,749: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,749: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,750: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,750: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,750: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:12,753: +SERVICE [/rosout/get_loggers] /rosout http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,754: +SERVICE [/rosout/set_logger_level] /rosout http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,756: +PUB [/rosout_agg] /rosout http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,757: +SUB [/rosout] /rosout http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,789: +PUB [/rosout] /camera/driver http://pc:60847/
[rosmaster.master][INFO] 2012-12-14 20:54:12,790: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:60847/
[rosmaster.master][INFO] 2012-12-14 20:54:12,791: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:60847/
[rosmaster.master][INFO] 2012-12-14 20:54:12,801: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,804: +PUB [/rosout] /camera/rgb/debayer http://pc:47295/
[rosmaster.master][INFO] 2012-12-14 20:54:12,807: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,818: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:47295/
[rosmaster.master][INFO] 2012-12-14 20:54:12,819: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:54:12,822: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58312/
[rosmaster.master][INFO] 2012-12-14 20:54:12,827: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:47295/
[rosmaster.master][INFO] 2012-12-14 20:54:12,828: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:58312/
[rosmaster.master][INFO] 2012-12-14 20:54:12,830: +PUB [/rosout] /camera/rgb/rectify_color http://pc:53817/
[rosmaster.master][INFO] 2012-12-14 20:54:12,834: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:58312/
[rosmaster.master][INFO] 2012-12-14 20:54:12,837: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:53817/
[rosmaster.master][INFO] 2012-12-14 20:54:12,840: +PUB [/rosout] /camera/ir/rectify_ir http://pc:49294/
[rosmaster.master][INFO] 2012-12-14 20:54:12,858: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:53817/
[rosmaster.master][INFO] 2012-12-14 20:54:12,866: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:49294/
[rosmaster.master][INFO] 2012-12-14 20:54:12,869: +PUB [/rosout] /camera/depth/rectify_depth http://pc:41564/
[rosmaster.master][INFO] 2012-12-14 20:54:12,876: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:49294/
[rosmaster.master][INFO] 2012-12-14 20:54:12,878: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:41564/
[rosmaster.master][INFO] 2012-12-14 20:54:12,882: +PUB [/rosout] /camera/depth/metric_rect http://pc:47126/
[rosmaster.master][INFO] 2012-12-14 20:54:12,894: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:41564/
[rosmaster.master][INFO] 2012-12-14 20:54:12,904: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,905: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,907: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,908: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,910: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:47126/
[rosmaster.master][INFO] 2012-12-14 20:54:12,911: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:12,915: +PUB [/rosout] /camera/depth/points http://pc:35558/
[rosmaster.master][INFO] 2012-12-14 20:54:12,925: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:47126/
[rosmaster.master][INFO] 2012-12-14 20:54:12,928: +PUB [/rosout] /camera/register_depth_rgb http://pc:37867/
[rosmaster.master][INFO] 2012-12-14 20:54:12,929: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:35558/
[rosmaster.master][INFO] 2012-12-14 20:54:12,939: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:55060/
[rosmaster.master][INFO] 2012-12-14 20:54:12,941: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:37867/
[rosmaster.master][INFO] 2012-12-14 20:54:12,944: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:54:12,945: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:35558/
[rosmaster.master][INFO] 2012-12-14 20:54:12,949: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:37867/
[rosmaster.master][INFO] 2012-12-14 20:54:12,954: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:34619/
[rosmaster.master][INFO] 2012-12-14 20:54:12,959: +PUB [/rosout] /camera/disparity_depth http://pc:57901/
[rosmaster.master][INFO] 2012-12-14 20:54:12,960: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:34619/
[rosmaster.master][INFO] 2012-12-14 20:54:12,965: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:34619/
[rosmaster.master][INFO] 2012-12-14 20:54:12,968: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:57901/
[rosmaster.master][INFO] 2012-12-14 20:54:12,973: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:57901/
[rosmaster.master][INFO] 2012-12-14 20:54:12,988: +PUB [/rosout] /camera_base_link http://pc:49884/
[rosmaster.master][INFO] 2012-12-14 20:54:12,990: +PUB [/rosout] /camera/disparity_depth_registered http://pc:36667/
[rosmaster.master][INFO] 2012-12-14 20:54:12,994: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:49884/
[rosmaster.master][INFO] 2012-12-14 20:54:12,997: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:36667/
[rosmaster.master][INFO] 2012-12-14 20:54:12,998: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 20:54:13,000: +PUB [/rosout] /camera_base_link1 http://pc:54573/
[rosmaster.master][INFO] 2012-12-14 20:54:13,002: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:49884/
[rosmaster.master][INFO] 2012-12-14 20:54:13,003: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:36667/
[rosmaster.master][INFO] 2012-12-14 20:54:13,007: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:54573/
[rosmaster.master][INFO] 2012-12-14 20:54:13,011: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,014: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,015: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,016: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:54573/
[rosmaster.master][INFO] 2012-12-14 20:54:13,017: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,018: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,020: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,022: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,021: +PUB [/tf] /camera_base_link http://pc:49884/
[rosmaster.master][INFO] 2012-12-14 20:54:13,025: +PUB [/rosout] /camera_base_link2 http://pc:51277/
[rosmaster.master][INFO] 2012-12-14 20:54:13,026: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,029: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,038: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:51277/
[rosmaster.master][INFO] 2012-12-14 20:54:13,039: +PUB [/tf] /camera_base_link1 http://pc:54573/
[rosmaster.master][INFO] 2012-12-14 20:54:13,041: +PUB [/rosout] /camera_base_link3 http://pc:60136/
[rosmaster.master][INFO] 2012-12-14 20:54:13,043: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:51277/
[rosmaster.master][INFO] 2012-12-14 20:54:13,049: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:60136/
[rosmaster.master][INFO] 2012-12-14 20:54:13,058: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:60136/
[rosmaster.master][INFO] 2012-12-14 20:54:13,063: +PUB [/tf] /camera_base_link2 http://pc:51277/
[rosmaster.master][INFO] 2012-12-14 20:54:13,075: +PUB [/tf] /camera_base_link3 http://pc:60136/
[rosmaster.master][INFO] 2012-12-14 20:54:13,082: +PUB [/rosout] /camera/depth/metric http://pc:44214/
[rosmaster.master][INFO] 2012-12-14 20:54:13,098: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:44214/
[rosmaster.master][INFO] 2012-12-14 20:54:13,102: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:44214/
[rosmaster.master][INFO] 2012-12-14 20:54:13,114: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,116: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,139: +PUB [/rosout] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,141: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,144: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,150: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,152: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,158: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,215: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,454: +PUB [/rosout] /set_dr http://pc:33248/
[rosmaster.master][INFO] 2012-12-14 20:54:13,521: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,732: +PUB [/camera/depth_registered/points] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,808: +PUB [/rosout] /depth_detection http://pc:50299/
[rosmaster.master][INFO] 2012-12-14 20:54:13,824: publisherUpdate[/rosout] -> http://pc:53202/
[rosmaster.master][INFO] 2012-12-14 20:54:13,860: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:50299/
[rosmaster.master][INFO] 2012-12-14 20:54:13,862: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:50299/
[rosmaster.master][INFO] 2012-12-14 20:54:13,992: +PUB [/camera/depth/image/compressed] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,993: +SERVICE [/camera/depth/image/compressed/set_parameters] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,994: +PUB [/camera/depth/image/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,995: +PUB [/camera/depth/image/compressed/parameter_updates] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:13,998: +PARAM [/camera/depth/image/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 20:54:13,999: +PARAM [/camera/depth/image/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 20:54:14,000: +PARAM [/camera/depth/image/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 20:54:14,001: +PUB [/camera/depth/image] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:14,005: +PUB [/camera/depth/image/theora] /camera_nodelet_manager http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 20:54:14,007: +SERVICE [/camera/depth/image/theora/set_parameters] /camera_nodelet_manager http://pc:45499/
