[rosmaster.main][INFO] 2012-12-14 14:34:56,794: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:34:56,794: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:34:56,796: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:34:56,797: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:34:56,797: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:34:56,797: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:34:56,902: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,907: +PARAM [/roslaunch/uris/host_pc__53722] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,935: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,936: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:34:56,940: +SERVICE [/rosout/get_loggers] /rosout http://pc:59853/
[rosmaster.master][INFO] 2012-12-14 14:34:56,941: +SERVICE [/rosout/set_logger_level] /rosout http://pc:59853/
[rosmaster.master][INFO] 2012-12-14 14:34:56,944: +PUB [/rosout_agg] /rosout http://pc:59853/
[rosmaster.master][INFO] 2012-12-14 14:34:56,945: +SUB [/rosout] /rosout http://pc:59853/
[rosmaster.master][INFO] 2012-12-14 14:34:56,975: +PUB [/rosout] /camera/driver http://pc:40511/
[rosmaster.master][INFO] 2012-12-14 14:34:56,976: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:40511/
[rosmaster.master][INFO] 2012-12-14 14:34:56,977: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:40511/
[rosmaster.master][INFO] 2012-12-14 14:34:56,982: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 14:34:56,986: +PUB [/rosout] /camera/rgb/debayer http://pc:35939/
[rosmaster.master][INFO] 2012-12-14 14:34:56,989: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:35939/
[rosmaster.master][INFO] 2012-12-14 14:34:56,990: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:35939/
[rosmaster.master][INFO] 2012-12-14 14:34:56,996: publisherUpdate[/rosout] -> http://pc:59853/
[rosmaster.master][INFO] 2012-12-14 14:34:56,999: publisherUpdate[/rosout] -> http://pc:59853/
