[rosmaster.main][INFO] 2012-12-15 20:03:07,421: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 20:03:07,421: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 20:03:07,423: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 20:03:07,424: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 20:03:07,424: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 20:03:07,424: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 20:03:07,538: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,544: +PARAM [/roslaunch/uris/host_pc__58194] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,567: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,568: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,568: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,568: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,568: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,569: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,569: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,569: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,569: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,569: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,570: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,570: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,570: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:03:07,573: +SERVICE [/rosout/get_loggers] /rosout http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,575: +SERVICE [/rosout/set_logger_level] /rosout http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,578: +PUB [/rosout_agg] /rosout http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,581: +SUB [/rosout] /rosout http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,610: +PUB [/rosout] /camera/driver http://pc:44715/
[rosmaster.master][INFO] 2012-12-15 20:03:07,612: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:44715/
[rosmaster.master][INFO] 2012-12-15 20:03:07,614: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:44715/
[rosmaster.master][INFO] 2012-12-15 20:03:07,618: +PUB [/rosout] /camera/rgb/debayer http://pc:58791/
[rosmaster.master][INFO] 2012-12-15 20:03:07,620: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:58791/
[rosmaster.master][INFO] 2012-12-15 20:03:07,622: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 20:03:07,628: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:58791/
[rosmaster.master][INFO] 2012-12-15 20:03:07,637: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,640: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,644: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:45872/
[rosmaster.master][INFO] 2012-12-15 20:03:07,646: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:45872/
[rosmaster.master][INFO] 2012-12-15 20:03:07,648: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:45872/
[rosmaster.master][INFO] 2012-12-15 20:03:07,656: +PUB [/rosout] /camera/rgb/rectify_color http://pc:38298/
[rosmaster.master][INFO] 2012-12-15 20:03:07,666: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:38298/
[rosmaster.master][INFO] 2012-12-15 20:03:07,668: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:38298/
[rosmaster.master][INFO] 2012-12-15 20:03:07,674: +PUB [/rosout] /camera/ir/rectify_ir http://pc:36422/
[rosmaster.master][INFO] 2012-12-15 20:03:07,677: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:36422/
[rosmaster.master][INFO] 2012-12-15 20:03:07,688: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:36422/
[rosmaster.master][INFO] 2012-12-15 20:03:07,713: +PUB [/rosout] /camera/depth/metric_rect http://pc:58244/
[rosmaster.master][INFO] 2012-12-15 20:03:07,715: +PUB [/rosout] /camera/depth/rectify_depth http://pc:48619/
[rosmaster.master][INFO] 2012-12-15 20:03:07,721: +PUB [/rosout] /camera/depth/metric http://pc:53112/
[rosmaster.master][INFO] 2012-12-15 20:03:07,725: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:48619/
[rosmaster.master][INFO] 2012-12-15 20:03:07,726: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:58244/
[rosmaster.master][INFO] 2012-12-15 20:03:07,731: +PUB [/rosout] /camera/depth/points http://pc:53638/
[rosmaster.master][INFO] 2012-12-15 20:03:07,739: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,743: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:58244/
[rosmaster.master][INFO] 2012-12-15 20:03:07,745: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,745: +PUB [/rosout] /camera/register_depth_rgb http://pc:58114/
[rosmaster.master][INFO] 2012-12-15 20:03:07,747: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,749: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,752: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,753: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,754: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,756: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,759: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:48619/
[rosmaster.master][INFO] 2012-12-15 20:03:07,769: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:53638/
[rosmaster.master][INFO] 2012-12-15 20:03:07,772: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:45911/
[rosmaster.master][INFO] 2012-12-15 20:03:07,782: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:45911/
[rosmaster.master][INFO] 2012-12-15 20:03:07,785: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:47960/
[rosmaster.master][INFO] 2012-12-15 20:03:07,794: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:45911/
[rosmaster.master][INFO] 2012-12-15 20:03:07,796: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:47960/
[rosmaster.master][INFO] 2012-12-15 20:03:07,800: +PUB [/rosout] /camera/disparity_depth http://pc:40703/
[rosmaster.master][INFO] 2012-12-15 20:03:07,801: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 20:03:07,806: +PUB [/rosout] /camera/disparity_depth_registered http://pc:35146/
[rosmaster.master][INFO] 2012-12-15 20:03:07,807: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:47960/
[rosmaster.master][INFO] 2012-12-15 20:03:07,817: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:35146/
[rosmaster.master][INFO] 2012-12-15 20:03:07,821: +PUB [/rosout] /camera_base_link http://pc:41861/
[rosmaster.master][INFO] 2012-12-15 20:03:07,825: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 20:03:07,829: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:35146/
[rosmaster.master][INFO] 2012-12-15 20:03:07,831: +PUB [/rosout] /camera_base_link1 http://pc:41637/
[rosmaster.master][INFO] 2012-12-15 20:03:07,833: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:41861/
[rosmaster.master][INFO] 2012-12-15 20:03:07,846: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,847: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,852: +PUB [/rosout] /camera_base_link2 http://pc:44772/
[rosmaster.master][INFO] 2012-12-15 20:03:07,856: +PUB [/rosout] /camera_base_link3 http://pc:59213/
[rosmaster.master][INFO] 2012-12-15 20:03:07,858: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:44772/
[rosmaster.master][INFO] 2012-12-15 20:03:07,859: publisherUpdate[/rosout] -> http://pc:47243/
[rosmaster.master][INFO] 2012-12-15 20:03:07,860: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 20:03:07,864: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:59213/
