[rosmaster.main][INFO] 2012-12-14 17:33:59,921: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:33:59,921: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:33:59,922: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:33:59,924: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:33:59,924: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:33:59,924: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:33:59,939: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,943: +PARAM [/roslaunch/uris/host_pc__49410] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,977: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,978: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,978: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,978: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,978: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,979: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,979: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,979: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,979: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,980: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,980: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,981: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,981: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:59,982: +SERVICE [/rosout/get_loggers] /rosout http://pc:36674/
[rosmaster.master][INFO] 2012-12-14 17:33:59,984: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36674/
[rosmaster.master][INFO] 2012-12-14 17:33:59,987: +PUB [/rosout_agg] /rosout http://pc:36674/
[rosmaster.master][INFO] 2012-12-14 17:33:59,988: +SUB [/rosout] /rosout http://pc:36674/
[rosmaster.master][INFO] 2012-12-14 17:34:00,023: +PUB [/rosout] /camera/driver http://pc:37420/
[rosmaster.master][INFO] 2012-12-14 17:34:00,023: publisherUpdate[/rosout] -> http://pc:36674/
[rosmaster.master][INFO] 2012-12-14 17:34:00,027: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37420/
[rosmaster.master][INFO] 2012-12-14 17:34:00,029: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37420/
[rosmaster.master][INFO] 2012-12-14 17:34:00,036: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:34:00,037: +PUB [/rosout] /camera/rgb/debayer http://pc:60472/
[rosmaster.master][INFO] 2012-12-14 17:34:00,041: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:60472/
[rosmaster.master][INFO] 2012-12-14 17:34:00,045: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:60472/
[rosmaster.master][INFO] 2012-12-14 17:34:00,058: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:60273/
[rosmaster.master][INFO] 2012-12-14 17:34:00,063: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:60273/
