[rosmaster.main][INFO] 2012-12-14 15:32:22,405: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 15:32:22,405: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 15:32:22,407: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 15:32:22,408: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 15:32:22,408: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 15:32:22,409: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 15:32:22,427: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,431: +PARAM [/roslaunch/uris/host_pc__47706] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,459: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:32:22,460: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
