[rosmaster.main][INFO] 2012-12-14 20:54:40,368: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:54:40,368: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:54:40,369: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:54:40,370: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:54:40,371: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:54:40,371: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:54:40,383: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,386: +PARAM [/roslaunch/uris/host_pc__51832] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,412: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,412: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,412: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,412: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,413: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,413: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,413: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,414: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,414: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,415: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,415: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,415: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,415: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:54:40,417: +SERVICE [/rosout/get_loggers] /rosout http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,419: +SERVICE [/rosout/set_logger_level] /rosout http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,421: +PUB [/rosout_agg] /rosout http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,423: +SUB [/rosout] /rosout http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,448: +PUB [/rosout] /camera/driver http://pc:57831/
[rosmaster.master][INFO] 2012-12-14 20:54:40,450: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:57831/
[rosmaster.master][INFO] 2012-12-14 20:54:40,451: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:57831/
[rosmaster.master][INFO] 2012-12-14 20:54:40,459: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:54:40,469: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,474: +PUB [/rosout] /camera/rgb/debayer http://pc:49113/
[rosmaster.master][INFO] 2012-12-14 20:54:40,479: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:49113/
[rosmaster.master][INFO] 2012-12-14 20:54:40,481: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:47300/
[rosmaster.master][INFO] 2012-12-14 20:54:40,483: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:49113/
[rosmaster.master][INFO] 2012-12-14 20:54:40,486: +PUB [/rosout] /camera/rgb/rectify_color http://pc:42333/
[rosmaster.master][INFO] 2012-12-14 20:54:40,488: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:42333/
[rosmaster.master][INFO] 2012-12-14 20:54:40,490: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:42333/
[rosmaster.master][INFO] 2012-12-14 20:54:40,492: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:47300/
[rosmaster.master][INFO] 2012-12-14 20:54:40,501: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:47300/
[rosmaster.master][INFO] 2012-12-14 20:54:40,504: +PUB [/rosout] /camera/ir/rectify_ir http://pc:52343/
[rosmaster.master][INFO] 2012-12-14 20:54:40,512: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:52343/
[rosmaster.master][INFO] 2012-12-14 20:54:40,515: +PUB [/rosout] /camera/depth/rectify_depth http://pc:48491/
[rosmaster.master][INFO] 2012-12-14 20:54:40,517: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:48491/
[rosmaster.master][INFO] 2012-12-14 20:54:40,518: +PUB [/rosout] /camera/depth/metric_rect http://pc:37435/
[rosmaster.master][INFO] 2012-12-14 20:54:40,519: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:48491/
[rosmaster.master][INFO] 2012-12-14 20:54:40,521: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:37435/
[rosmaster.master][INFO] 2012-12-14 20:54:40,523: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:37435/
[rosmaster.master][INFO] 2012-12-14 20:54:40,524: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:52343/
[rosmaster.master][INFO] 2012-12-14 20:54:40,545: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:54:40,556: +PUB [/rosout] /camera/depth/metric http://pc:56727/
[rosmaster.master][INFO] 2012-12-14 20:54:40,557: +PUB [/rosout] /camera/depth/points http://pc:34986/
[rosmaster.master][INFO] 2012-12-14 20:54:40,559: +PUB [/rosout] /camera/register_depth_rgb http://pc:49129/
[rosmaster.master][INFO] 2012-12-14 20:54:40,562: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:56727/
[rosmaster.master][INFO] 2012-12-14 20:54:40,569: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:34986/
[rosmaster.master][INFO] 2012-12-14 20:54:40,570: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:49129/
[rosmaster.master][INFO] 2012-12-14 20:54:40,571: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,572: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,574: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,575: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,576: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,577: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,579: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,580: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,582: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,584: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:56727/
[rosmaster.master][INFO] 2012-12-14 20:54:40,589: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:34986/
[rosmaster.master][INFO] 2012-12-14 20:54:40,596: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:49129/
[rosmaster.master][INFO] 2012-12-14 20:54:40,607: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:46223/
[rosmaster.master][INFO] 2012-12-14 20:54:40,617: +PUB [/rosout] /camera/depth_registered/metric http://pc:37413/
[rosmaster.master][INFO] 2012-12-14 20:54:40,625: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:37413/
[rosmaster.master][INFO] 2012-12-14 20:54:40,629: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:46223/
[rosmaster.master][INFO] 2012-12-14 20:54:40,633: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:37413/
[rosmaster.master][INFO] 2012-12-14 20:54:40,636: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:46223/
[rosmaster.master][INFO] 2012-12-14 20:54:40,639: +PUB [/rosout] /camera/disparity_depth http://pc:50063/
[rosmaster.master][INFO] 2012-12-14 20:54:40,650: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:50063/
[rosmaster.master][INFO] 2012-12-14 20:54:40,654: +PUB [/rosout] /camera/disparity_depth_registered http://pc:55815/
[rosmaster.master][INFO] 2012-12-14 20:54:40,662: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:50063/
[rosmaster.master][INFO] 2012-12-14 20:54:40,664: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:55815/
[rosmaster.master][INFO] 2012-12-14 20:54:40,669: +PUB [/rosout] /camera_base_link http://pc:36689/
[rosmaster.master][INFO] 2012-12-14 20:54:40,672: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,677: +PUB [/rosout] /camera_base_link1 http://pc:42207/
[rosmaster.master][INFO] 2012-12-14 20:54:40,678: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:36689/
[rosmaster.master][INFO] 2012-12-14 20:54:40,680: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:42207/
[rosmaster.master][INFO] 2012-12-14 20:54:40,681: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:36689/
[rosmaster.master][INFO] 2012-12-14 20:54:40,682: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:42207/
[rosmaster.master][INFO] 2012-12-14 20:54:40,683: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,685: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,686: +PUB [/tf] /camera_base_link1 http://pc:42207/
[rosmaster.master][INFO] 2012-12-14 20:54:40,688: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,690: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,691: +PUB [/tf] /camera_base_link http://pc:36689/
[rosmaster.master][INFO] 2012-12-14 20:54:40,691: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,706: +PUB [/rosout] /camera_base_link3 http://pc:32965/
[rosmaster.master][INFO] 2012-12-14 20:54:40,714: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:32965/
[rosmaster.master][INFO] 2012-12-14 20:54:40,716: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:32965/
[rosmaster.master][INFO] 2012-12-14 20:54:40,719: +PUB [/tf] /camera_base_link3 http://pc:32965/
[rosmaster.master][INFO] 2012-12-14 20:54:40,776: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,790: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:51415/
[rosmaster.master][INFO] 2012-12-14 20:54:40,792: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:51415/
[rosmaster.master][INFO] 2012-12-14 20:54:40,794: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:40,795: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:51415/
[rosmaster.master][INFO] 2012-12-14 20:54:40,797: +PUB [/rosout] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,800: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,804: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,806: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:54:40,811: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,814: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,815: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:40,879: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:41,069: +PUB [/rosout] /set_dr http://pc:49930/
[rosmaster.master][INFO] 2012-12-14 20:54:41,082: publisherUpdate[/rosout] -> http://pc:58280/
[rosmaster.master][INFO] 2012-12-14 20:54:41,123: +PUB [/camera/depth/image_rect/compressed] /camera_nodelet_manager http://pc:48523/
[rosmaster.master][INFO] 2012-12-14 20:54:41,124: +SERVICE [/camera/depth/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:48523/
