[rosmaster.main][INFO] 2012-12-14 14:42:26,650: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:42:26,650: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:42:26,652: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:42:26,653: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:42:26,653: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:42:26,654: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:42:26,666: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,670: +PARAM [/roslaunch/uris/host_pc__41505] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,695: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,696: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:42:26,700: +SERVICE [/rosout/get_loggers] /rosout http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,701: +SERVICE [/rosout/set_logger_level] /rosout http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,704: +PUB [/rosout_agg] /rosout http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,705: +SUB [/rosout] /rosout http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,729: +PUB [/rosout] /camera/driver http://pc:43336/
[rosmaster.master][INFO] 2012-12-14 14:42:26,731: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:43336/
[rosmaster.master][INFO] 2012-12-14 14:42:26,732: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:43336/
[rosmaster.master][INFO] 2012-12-14 14:42:26,744: +PUB [/rosout] /camera/rgb/debayer http://pc:60874/
[rosmaster.master][INFO] 2012-12-14 14:42:26,745: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 14:42:26,748: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:60874/
[rosmaster.master][INFO] 2012-12-14 14:42:26,751: publisherUpdate[/rosout] -> http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,754: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58594/
[rosmaster.master][INFO] 2012-12-14 14:42:26,757: publisherUpdate[/rosout] -> http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,757: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:60874/
[rosmaster.master][INFO] 2012-12-14 14:42:26,759: publisherUpdate[/rosout] -> http://pc:52426/
[rosmaster.master][INFO] 2012-12-14 14:42:26,760: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:58594/
[rosmaster.master][INFO] 2012-12-14 14:42:26,762: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:58594/
[rosmaster.master][INFO] 2012-12-14 14:42:26,773: +PUB [/rosout] /camera/rgb/rectify_color http://pc:60306/
