[rosmaster.main][INFO] 2012-12-15 18:01:41,988: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:01:41,988: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:01:41,989: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:01:41,990: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:01:41,990: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:01:41,990: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:01:42,095: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,099: +PARAM [/roslaunch/uris/host_pc__52602] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,125: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,126: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,126: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,126: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,126: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,126: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,127: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,127: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,127: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,127: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:01:42,127: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
