[rosmaster.main][INFO] 2012-12-15 16:57:23,549: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:57:23,549: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:57:23,550: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:57:23,551: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:57:23,552: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:57:23,552: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:57:23,563: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,565: +PARAM [/roslaunch/uris/host_pc__35259] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,594: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,595: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,596: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,596: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,596: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,596: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:57:23,603: +SERVICE [/rosout/get_loggers] /rosout http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,605: +SERVICE [/rosout/set_logger_level] /rosout http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,608: +PUB [/rosout_agg] /rosout http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,610: +SUB [/rosout] /rosout http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,629: +PUB [/rosout] /camera/driver http://pc:57249/
[rosmaster.master][INFO] 2012-12-15 16:57:23,631: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:57249/
[rosmaster.master][INFO] 2012-12-15 16:57:23,632: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:57249/
[rosmaster.master][INFO] 2012-12-15 16:57:23,638: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:57:23,643: +PUB [/rosout] /camera/rgb/debayer http://pc:53489/
[rosmaster.master][INFO] 2012-12-15 16:57:23,645: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:53489/
[rosmaster.master][INFO] 2012-12-15 16:57:23,646: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:53489/
[rosmaster.master][INFO] 2012-12-15 16:57:23,654: publisherUpdate[/rosout] -> http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,662: publisherUpdate[/rosout] -> http://pc:44788/
[rosmaster.master][INFO] 2012-12-15 16:57:23,673: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:60572/
[rosmaster.master][INFO] 2012-12-15 16:57:23,676: +PUB [/rosout] /camera/rgb/rectify_color http://pc:53100/
