[rosmaster.main][INFO] 2012-12-15 17:18:57,098: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:18:57,098: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:18:57,100: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:18:57,101: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:18:57,101: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:18:57,101: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:18:57,206: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,210: +PARAM [/roslaunch/uris/host_pc__50530] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,235: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,236: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:18:57,244: +SERVICE [/rosout/get_loggers] /rosout http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,245: +SERVICE [/rosout/set_logger_level] /rosout http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,248: +PUB [/rosout_agg] /rosout http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,249: +SUB [/rosout] /rosout http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,275: +PUB [/rosout] /camera/driver http://pc:44543/
[rosmaster.master][INFO] 2012-12-15 17:18:57,276: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:44543/
[rosmaster.master][INFO] 2012-12-15 17:18:57,283: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:44543/
[rosmaster.master][INFO] 2012-12-15 17:18:57,287: +PUB [/rosout] /camera/rgb/debayer http://pc:38822/
[rosmaster.master][INFO] 2012-12-15 17:18:57,292: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:38822/
[rosmaster.master][INFO] 2012-12-15 17:18:57,294: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:18:57,296: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:38822/
[rosmaster.master][INFO] 2012-12-15 17:18:57,299: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,308: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,309: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:52928/
[rosmaster.master][INFO] 2012-12-15 17:18:57,313: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,320: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:52928/
[rosmaster.master][INFO] 2012-12-15 17:18:57,321: +PUB [/rosout] /camera/rgb/rectify_color http://pc:48216/
[rosmaster.master][INFO] 2012-12-15 17:18:57,326: +PUB [/rosout] /camera/ir/rectify_ir http://pc:52318/
[rosmaster.master][INFO] 2012-12-15 17:18:57,327: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:52928/
[rosmaster.master][INFO] 2012-12-15 17:18:57,329: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:48216/
[rosmaster.master][INFO] 2012-12-15 17:18:57,331: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:52318/
[rosmaster.master][INFO] 2012-12-15 17:18:57,334: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:48216/
[rosmaster.master][INFO] 2012-12-15 17:18:57,336: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:52318/
[rosmaster.master][INFO] 2012-12-15 17:18:57,356: +PUB [/rosout] /camera/depth/rectify_depth http://pc:39686/
[rosmaster.master][INFO] 2012-12-15 17:18:57,358: +PUB [/rosout] /camera/depth/metric_rect http://pc:34198/
[rosmaster.master][INFO] 2012-12-15 17:18:57,364: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:39686/
[rosmaster.master][INFO] 2012-12-15 17:18:57,374: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:39686/
[rosmaster.master][INFO] 2012-12-15 17:18:57,375: +PUB [/rosout] /camera/depth/metric http://pc:44482/
[rosmaster.master][INFO] 2012-12-15 17:18:57,380: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:34198/
[rosmaster.master][INFO] 2012-12-15 17:18:57,383: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:44482/
[rosmaster.master][INFO] 2012-12-15 17:18:57,390: +PUB [/rosout] /camera/depth/points http://pc:42765/
[rosmaster.master][INFO] 2012-12-15 17:18:57,392: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:34198/
[rosmaster.master][INFO] 2012-12-15 17:18:57,398: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:44482/
[rosmaster.master][INFO] 2012-12-15 17:18:57,401: +PUB [/rosout] /camera/register_depth_rgb http://pc:60031/
[rosmaster.master][INFO] 2012-12-15 17:18:57,402: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,406: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,409: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:18:57,419: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,421: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,423: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,424: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:41608/
[rosmaster.master][INFO] 2012-12-15 17:18:57,427: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,431: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,432: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,436: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:41608/
[rosmaster.master][INFO] 2012-12-15 17:18:57,448: +PUB [/rosout] /camera/depth_registered/metric http://pc:35909/
[rosmaster.master][INFO] 2012-12-15 17:18:57,452: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:41608/
[rosmaster.master][INFO] 2012-12-15 17:18:57,453: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:46396/
[rosmaster.master][INFO] 2012-12-15 17:18:57,459: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:35909/
[rosmaster.master][INFO] 2012-12-15 17:18:57,468: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:46396/
[rosmaster.master][INFO] 2012-12-15 17:18:57,469: +PUB [/rosout] /camera/disparity_depth http://pc:58563/
[rosmaster.master][INFO] 2012-12-15 17:18:57,472: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:35909/
[rosmaster.master][INFO] 2012-12-15 17:18:57,477: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:46396/
[rosmaster.master][INFO] 2012-12-15 17:18:57,483: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:58563/
[rosmaster.master][INFO] 2012-12-15 17:18:57,496: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:18:57,499: +PUB [/rosout] /camera_base_link http://pc:33018/
[rosmaster.master][INFO] 2012-12-15 17:18:57,501: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:58563/
[rosmaster.master][INFO] 2012-12-15 17:18:57,504: +PUB [/rosout] /camera_base_link1 http://pc:45683/
[rosmaster.master][INFO] 2012-12-15 17:18:57,506: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,507: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,515: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:33018/
[rosmaster.master][INFO] 2012-12-15 17:18:57,523: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:45683/
[rosmaster.master][INFO] 2012-12-15 17:18:57,524: publisherUpdate[/rosout] -> http://pc:40503/
[rosmaster.master][INFO] 2012-12-15 17:18:57,525: +PUB [/rosout] /camera_base_link2 http://pc:48322/
