[rosmaster.main][INFO] 2012-12-14 17:27:20,127: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:27:20,127: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:27:20,128: XML-RPC server binding to 0.0.0.0
[rosmaster.master][INFO] 2012-12-14 17:27:20,130: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:27:20,129: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:27:20,130: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:27:20,142: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,145: +PARAM [/roslaunch/uris/host_pc__41118] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,176: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,176: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,177: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,178: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,178: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,178: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:20,183: +SERVICE [/rosout/get_loggers] /rosout http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,184: +SERVICE [/rosout/set_logger_level] /rosout http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,188: +PUB [/rosout_agg] /rosout http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,189: +SUB [/rosout] /rosout http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,215: +PUB [/rosout] /camera/driver http://pc:40903/
[rosmaster.master][INFO] 2012-12-14 17:27:20,220: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:40903/
[rosmaster.master][INFO] 2012-12-14 17:27:20,221: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:40903/
[rosmaster.master][INFO] 2012-12-14 17:27:20,223: +PUB [/rosout] /camera/rgb/debayer http://pc:41292/
[rosmaster.master][INFO] 2012-12-14 17:27:20,226: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:41292/
[rosmaster.master][INFO] 2012-12-14 17:27:20,228: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,231: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,237: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:41292/
[rosmaster.master][INFO] 2012-12-14 17:27:20,240: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:27:20,259: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:50025/
[rosmaster.master][INFO] 2012-12-14 17:27:20,270: +PUB [/rosout] /camera/rgb/rectify_color http://pc:57838/
[rosmaster.master][INFO] 2012-12-14 17:27:20,273: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:50025/
[rosmaster.master][INFO] 2012-12-14 17:27:20,275: +PUB [/rosout] /camera/ir/rectify_ir http://pc:39666/
[rosmaster.master][INFO] 2012-12-14 17:27:20,286: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:57838/
[rosmaster.master][INFO] 2012-12-14 17:27:20,288: +PUB [/rosout] /camera/depth/rectify_depth http://pc:39177/
[rosmaster.master][INFO] 2012-12-14 17:27:20,290: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:50025/
[rosmaster.master][INFO] 2012-12-14 17:27:20,291: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:39666/
[rosmaster.master][INFO] 2012-12-14 17:27:20,292: +PUB [/rosout] /camera/depth/metric_rect http://pc:48481/
[rosmaster.master][INFO] 2012-12-14 17:27:20,300: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:57838/
[rosmaster.master][INFO] 2012-12-14 17:27:20,304: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:48481/
[rosmaster.master][INFO] 2012-12-14 17:27:20,306: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:39666/
[rosmaster.master][INFO] 2012-12-14 17:27:20,310: +PUB [/rosout] /camera/depth/metric http://pc:39268/
[rosmaster.master][INFO] 2012-12-14 17:27:20,311: +PUB [/rosout] /camera/depth/points http://pc:39061/
[rosmaster.master][INFO] 2012-12-14 17:27:20,319: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:48481/
[rosmaster.master][INFO] 2012-12-14 17:27:20,321: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:39268/
[rosmaster.master][INFO] 2012-12-14 17:27:20,325: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:39061/
[rosmaster.master][INFO] 2012-12-14 17:27:20,326: +PUB [/rosout] /camera/register_depth_rgb http://pc:33281/
[rosmaster.master][INFO] 2012-12-14 17:27:20,330: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,331: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,333: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,334: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,335: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,337: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,339: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:39268/
[rosmaster.master][INFO] 2012-12-14 17:27:20,340: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,341: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,347: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:39061/
[rosmaster.master][INFO] 2012-12-14 17:27:20,348: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:33281/
[rosmaster.master][INFO] 2012-12-14 17:27:20,357: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:33281/
[rosmaster.master][INFO] 2012-12-14 17:27:20,366: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:50738/
[rosmaster.master][INFO] 2012-12-14 17:27:20,372: +PUB [/rosout] /camera/depth_registered/metric http://pc:46434/
[rosmaster.master][INFO] 2012-12-14 17:27:20,377: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:50738/
[rosmaster.master][INFO] 2012-12-14 17:27:20,383: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:46434/
[rosmaster.master][INFO] 2012-12-14 17:27:20,388: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:50738/
[rosmaster.master][INFO] 2012-12-14 17:27:20,415: +PUB [/rosout] /camera_base_link2 http://pc:44337/
[rosmaster.master][INFO] 2012-12-14 17:27:20,418: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:44337/
[rosmaster.master][INFO] 2012-12-14 17:27:20,419: +PUB [/rosout] /camera_base_link3 http://pc:45032/
[rosmaster.master][INFO] 2012-12-14 17:27:20,422: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:44337/
[rosmaster.master][INFO] 2012-12-14 17:27:20,423: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:45032/
[rosmaster.master][INFO] 2012-12-14 17:27:20,430: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:45032/
[rosmaster.master][INFO] 2012-12-14 17:27:20,434: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,444: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,457: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,459: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,461: +PUB [/tf] /camera_base_link2 http://pc:44337/
[rosmaster.master][INFO] 2012-12-14 17:27:20,465: +PUB [/tf] /camera_base_link3 http://pc:45032/
[rosmaster.master][INFO] 2012-12-14 17:27:20,503: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:39177/
[rosmaster.master][INFO] 2012-12-14 17:27:20,504: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:39177/
[rosmaster.master][INFO] 2012-12-14 17:27:20,512: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 17:27:20,536: +PUB [/rosout] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,538: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,541: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,542: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,543: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,545: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,546: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,793: +PUB [/rosout] /set_dr http://pc:40540/
[rosmaster.master][INFO] 2012-12-14 17:27:20,844: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:20,887: +SERVICE [/camera/rgb/rectify_color/set_parameters] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,888: +PUB [/camera/rgb/rectify_color/parameter_descriptions] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,889: +PUB [/camera/rgb/rectify_color/parameter_updates] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,891: +PARAM [/camera/rgb/rectify_color/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,894: +PUB [/camera/rgb/image_rect_color/compressed] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,896: +SERVICE [/camera/rgb/image_rect_color/compressed/set_parameters] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,897: +PUB [/camera/rgb/image_rect_color/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,898: +PUB [/camera/rgb/image_rect_color/compressed/parameter_updates] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,901: +PARAM [/camera/rgb/image_rect_color/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,902: +PARAM [/camera/rgb/image_rect_color/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,903: +PARAM [/camera/rgb/image_rect_color/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,905: +PUB [/camera/rgb/image_rect_color] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,908: +PUB [/camera/rgb/image_rect_color/theora] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,909: +SERVICE [/camera/rgb/image_rect_color/theora/set_parameters] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,910: +PUB [/camera/rgb/image_rect_color/theora/parameter_descriptions] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,911: +PUB [/camera/rgb/image_rect_color/theora/parameter_updates] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:20,915: +PARAM [/camera/rgb/image_rect_color/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,916: +PARAM [/camera/rgb/image_rect_color/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,917: +PARAM [/camera/rgb/image_rect_color/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:20,918: +PARAM [/camera/rgb/image_rect_color/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:21,165: +PUB [/camera/depth/points] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,212: +PUB [/rosout] /depth_detection http://pc:36952/
[rosmaster.master][INFO] 2012-12-14 17:27:21,246: publisherUpdate[/rosout] -> http://pc:41651/
[rosmaster.master][INFO] 2012-12-14 17:27:21,288: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:36952/
[rosmaster.master][INFO] 2012-12-14 17:27:21,290: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:36952/
[rosmaster.master][INFO] 2012-12-14 17:27:21,343: +SUB [/camera/rgb/image_color] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,344: +SUB [/camera/rgb/camera_info] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,493: +SERVICE [/camera/ir/rectify_ir/set_parameters] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,494: +PUB [/camera/ir/rectify_ir/parameter_descriptions] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,495: +PUB [/camera/ir/rectify_ir/parameter_updates] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,497: +PARAM [/camera/ir/rectify_ir/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:27:21,499: +PUB [/camera/ir/image_rect/compressed] /camera_nodelet_manager http://pc:39629/
[rosmaster.master][INFO] 2012-12-14 17:27:21,500: +SERVICE [/camera/ir/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:39629/
