[rosmaster.main][INFO] 2012-12-15 18:16:15,636: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:16:15,637: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:16:15,638: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:16:15,639: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:16:15,639: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:16:15,639: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:16:15,747: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,751: +PARAM [/roslaunch/uris/host_pc__46910] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,776: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,776: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,776: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,776: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,776: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,777: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,777: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,777: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,778: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,778: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,778: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,778: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,779: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:15,783: +SERVICE [/rosout/get_loggers] /rosout http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,784: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,787: +PUB [/rosout_agg] /rosout http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,789: +SUB [/rosout] /rosout http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,812: +PUB [/rosout] /camera/driver http://pc:41244/
[rosmaster.master][INFO] 2012-12-15 18:16:15,817: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:41244/
[rosmaster.master][INFO] 2012-12-15 18:16:15,819: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:41244/
[rosmaster.master][INFO] 2012-12-15 18:16:15,827: +PUB [/rosout] /camera/rgb/debayer http://pc:37639/
[rosmaster.master][INFO] 2012-12-15 18:16:15,829: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:37639/
[rosmaster.master][INFO] 2012-12-15 18:16:15,830: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:16:15,832: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:37639/
[rosmaster.master][INFO] 2012-12-15 18:16:15,837: publisherUpdate[/rosout] -> http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,841: publisherUpdate[/rosout] -> http://pc:36976/
[rosmaster.master][INFO] 2012-12-15 18:16:15,849: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:59935/
[rosmaster.master][INFO] 2012-12-15 18:16:15,851: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:59935/
[rosmaster.master][INFO] 2012-12-15 18:16:15,853: +PUB [/rosout] /camera/rgb/rectify_color http://pc:54071/
[rosmaster.master][INFO] 2012-12-15 18:16:15,856: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:54071/
[rosmaster.master][INFO] 2012-12-15 18:16:15,858: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:54071/
[rosmaster.master][INFO] 2012-12-15 18:16:15,867: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:59935/
[rosmaster.master][INFO] 2012-12-15 18:16:15,897: +PUB [/rosout] /camera/depth/rectify_depth http://pc:33016/
[rosmaster.master][INFO] 2012-12-15 18:16:15,899: +PUB [/rosout] /camera/ir/rectify_ir http://pc:52541/
[rosmaster.master][INFO] 2012-12-15 18:16:15,901: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:33016/
[rosmaster.master][INFO] 2012-12-15 18:16:15,902: +PUB [/rosout] /camera/depth/metric_rect http://pc:38387/
[rosmaster.master][INFO] 2012-12-15 18:16:15,905: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:33016/
[rosmaster.master][INFO] 2012-12-15 18:16:15,906: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:52541/
