[rosmaster.main][INFO] 2012-12-14 14:35:34,535: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:35:34,535: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:35:34,536: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:35:34,537: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:35:34,538: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:35:34,538: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:35:34,650: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,655: +PARAM [/roslaunch/uris/host_pc__44041] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,673: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,673: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,673: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,674: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,674: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,674: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,674: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,674: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,675: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,675: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:35:34,675: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
