[rosmaster.main][INFO] 2012-12-15 15:38:51,676: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 15:38:51,676: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 15:38:51,678: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 15:38:51,679: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 15:38:51,679: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 15:38:51,680: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 15:38:51,694: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,697: +PARAM [/roslaunch/uris/host_pc__56464] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,727: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,728: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,728: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,728: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,728: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,729: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,730: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,730: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,730: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,730: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,731: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,731: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,731: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:38:51,732: +SERVICE [/rosout/get_loggers] /rosout http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,733: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,736: +PUB [/rosout_agg] /rosout http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,737: +SUB [/rosout] /rosout http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,769: +PUB [/rosout] /camera/driver http://pc:60734/
[rosmaster.master][INFO] 2012-12-15 15:38:51,771: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:60734/
[rosmaster.master][INFO] 2012-12-15 15:38:51,773: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:60734/
[rosmaster.master][INFO] 2012-12-15 15:38:51,777: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,781: +PUB [/rosout] /camera/rgb/debayer http://pc:55322/
[rosmaster.master][INFO] 2012-12-15 15:38:51,786: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:55322/
[rosmaster.master][INFO] 2012-12-15 15:38:51,795: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 15:38:51,797: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:55322/
[rosmaster.master][INFO] 2012-12-15 15:38:51,806: +PUB [/rosout] /camera/rgb/rectify_color http://pc:58274/
[rosmaster.master][INFO] 2012-12-15 15:38:51,812: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:34990/
[rosmaster.master][INFO] 2012-12-15 15:38:51,817: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:58274/
[rosmaster.master][INFO] 2012-12-15 15:38:51,818: +PUB [/rosout] /camera/ir/rectify_ir http://pc:53762/
[rosmaster.master][INFO] 2012-12-15 15:38:51,819: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:34990/
[rosmaster.master][INFO] 2012-12-15 15:38:51,825: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:58274/
[rosmaster.master][INFO] 2012-12-15 15:38:51,827: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:53762/
[rosmaster.master][INFO] 2012-12-15 15:38:51,830: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:34990/
[rosmaster.master][INFO] 2012-12-15 15:38:51,836: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:53762/
[rosmaster.master][INFO] 2012-12-15 15:38:51,838: +PUB [/rosout] /camera/depth/rectify_depth http://pc:60494/
[rosmaster.master][INFO] 2012-12-15 15:38:51,847: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:60494/
[rosmaster.master][INFO] 2012-12-15 15:38:51,873: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:60494/
[rosmaster.master][INFO] 2012-12-15 15:38:51,878: +PUB [/rosout] /camera/depth/metric http://pc:39984/
[rosmaster.master][INFO] 2012-12-15 15:38:51,879: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,880: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,883: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,885: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,886: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,888: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,896: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:39984/
[rosmaster.master][INFO] 2012-12-15 15:38:51,897: +PUB [/rosout] /camera/depth/points http://pc:34401/
[rosmaster.master][INFO] 2012-12-15 15:38:51,913: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:39444/
[rosmaster.master][INFO] 2012-12-15 15:38:51,916: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:39984/
[rosmaster.master][INFO] 2012-12-15 15:38:51,919: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:34401/
[rosmaster.master][INFO] 2012-12-15 15:38:51,924: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 15:38:51,926: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:39444/
[rosmaster.master][INFO] 2012-12-15 15:38:51,930: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:34401/
[rosmaster.master][INFO] 2012-12-15 15:38:51,932: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:35550/
[rosmaster.master][INFO] 2012-12-15 15:38:51,935: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:39444/
[rosmaster.master][INFO] 2012-12-15 15:38:51,939: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:35550/
[rosmaster.master][INFO] 2012-12-15 15:38:51,953: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:35550/
[rosmaster.master][INFO] 2012-12-15 15:38:51,968: +PUB [/rosout] /camera/disparity_depth http://pc:43440/
[rosmaster.master][INFO] 2012-12-15 15:38:51,970: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 15:38:51,974: +PUB [/rosout] /camera_base_link http://pc:33880/
[rosmaster.master][INFO] 2012-12-15 15:38:51,979: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:43440/
[rosmaster.master][INFO] 2012-12-15 15:38:51,982: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,983: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,985: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,987: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,988: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:51,991: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:33880/
[rosmaster.master][INFO] 2012-12-15 15:38:51,993: +PUB [/rosout] /camera_base_link1 http://pc:32936/
[rosmaster.master][INFO] 2012-12-15 15:38:52,000: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:43440/
[rosmaster.master][INFO] 2012-12-15 15:38:52,016: +PUB [/rosout] /camera_base_link2 http://pc:36317/
[rosmaster.master][INFO] 2012-12-15 15:38:52,019: +PUB [/rosout] /camera_base_link3 http://pc:50263/
[rosmaster.master][INFO] 2012-12-15 15:38:52,022: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:36317/
[rosmaster.master][INFO] 2012-12-15 15:38:52,028: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-15 15:38:52,030: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:50263/
[rosmaster.master][INFO] 2012-12-15 15:38:52,031: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:36317/
[rosmaster.master][INFO] 2012-12-15 15:38:52,040: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:50263/
[rosmaster.master][INFO] 2012-12-15 15:38:52,060: +PUB [/tf] /camera_base_link2 http://pc:36317/
[rosmaster.master][INFO] 2012-12-15 15:38:52,065: +PUB [/tf] /camera_base_link3 http://pc:50263/
[rosmaster.master][INFO] 2012-12-15 15:38:52,079: +PUB [/rosout] /camera/depth/metric_rect http://pc:35135/
[rosmaster.master][INFO] 2012-12-15 15:38:52,083: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:35135/
[rosmaster.master][INFO] 2012-12-15 15:38:52,085: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:52,087: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:52,095: +PUB [/rosout] /camera/register_depth_rgb http://pc:50835/
[rosmaster.master][INFO] 2012-12-15 15:38:52,103: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:35135/
[rosmaster.master][INFO] 2012-12-15 15:38:52,107: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:52,108: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:50835/
[rosmaster.master][INFO] 2012-12-15 15:38:52,109: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:52,114: publisherUpdate[/rosout] -> http://pc:49602/
[rosmaster.master][INFO] 2012-12-15 15:38:52,129: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:50835/
[rosmaster.master][INFO] 2012-12-15 15:38:52,164: +PUB [/rosout] /camera_nodelet_manager http://pc:60648/
[rosmaster.master][INFO] 2012-12-15 15:38:52,166: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:60648/
[rosmaster.master][INFO] 2012-12-15 15:38:52,168: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:60648/
[rosmaster.master][INFO] 2012-12-15 15:38:52,173: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:60648/
[rosmaster.master][INFO] 2012-12-15 15:38:52,177: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:60648/
