[rosmaster.main][INFO] 2012-12-15 16:00:30,037: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:00:30,037: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:00:30,039: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:00:30,040: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:00:30,040: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:00:30,040: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:00:30,054: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,058: +PARAM [/roslaunch/uris/host_pc__46160] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,084: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,084: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,085: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,086: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,086: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:00:30,092: +SERVICE [/rosout/get_loggers] /rosout http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,093: +SERVICE [/rosout/set_logger_level] /rosout http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,097: +PUB [/rosout_agg] /rosout http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,098: +SUB [/rosout] /rosout http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,127: +PUB [/rosout] /camera/driver http://pc:43851/
[rosmaster.master][INFO] 2012-12-15 16:00:30,133: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:43851/
[rosmaster.master][INFO] 2012-12-15 16:00:30,134: +PUB [/rosout] /camera/rgb/debayer http://pc:41669/
[rosmaster.master][INFO] 2012-12-15 16:00:30,135: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:41669/
[rosmaster.master][INFO] 2012-12-15 16:00:30,136: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:43851/
[rosmaster.master][INFO] 2012-12-15 16:00:30,137: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:41669/
[rosmaster.master][INFO] 2012-12-15 16:00:30,138: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,143: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,148: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:00:30,165: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:44512/
[rosmaster.master][INFO] 2012-12-15 16:00:30,167: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:44512/
[rosmaster.master][INFO] 2012-12-15 16:00:30,170: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:44512/
[rosmaster.master][INFO] 2012-12-15 16:00:30,176: +PUB [/rosout] /camera/rgb/rectify_color http://pc:59540/
[rosmaster.master][INFO] 2012-12-15 16:00:30,183: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:59540/
[rosmaster.master][INFO] 2012-12-15 16:00:30,186: +PUB [/rosout] /camera/ir/rectify_ir http://pc:40564/
[rosmaster.master][INFO] 2012-12-15 16:00:30,187: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:59540/
[rosmaster.master][INFO] 2012-12-15 16:00:30,190: +PUB [/rosout] /camera/depth/rectify_depth http://pc:40859/
[rosmaster.master][INFO] 2012-12-15 16:00:30,194: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:40564/
[rosmaster.master][INFO] 2012-12-15 16:00:30,199: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:40859/
[rosmaster.master][INFO] 2012-12-15 16:00:30,206: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:40564/
[rosmaster.master][INFO] 2012-12-15 16:00:30,209: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:40859/
[rosmaster.master][INFO] 2012-12-15 16:00:30,216: +PUB [/rosout] /camera/depth/metric_rect http://pc:48144/
[rosmaster.master][INFO] 2012-12-15 16:00:30,219: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:00:30,220: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:48144/
[rosmaster.master][INFO] 2012-12-15 16:00:30,225: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:48144/
[rosmaster.master][INFO] 2012-12-15 16:00:30,227: +PUB [/rosout] /camera/depth/metric http://pc:44557/
[rosmaster.master][INFO] 2012-12-15 16:00:30,229: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:44557/
[rosmaster.master][INFO] 2012-12-15 16:00:30,235: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:44557/
[rosmaster.master][INFO] 2012-12-15 16:00:30,241: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,242: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,246: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,249: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,251: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,256: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,262: +PUB [/rosout] /camera/depth/points http://pc:51110/
[rosmaster.master][INFO] 2012-12-15 16:00:30,280: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:51110/
[rosmaster.master][INFO] 2012-12-15 16:00:30,287: +PUB [/rosout] /camera/register_depth_rgb http://pc:41297/
[rosmaster.master][INFO] 2012-12-15 16:00:30,291: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:51110/
[rosmaster.master][INFO] 2012-12-15 16:00:30,294: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:41998/
[rosmaster.master][INFO] 2012-12-15 16:00:30,297: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:41297/
[rosmaster.master][INFO] 2012-12-15 16:00:30,303: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:41998/
[rosmaster.master][INFO] 2012-12-15 16:00:30,304: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:36666/
[rosmaster.master][INFO] 2012-12-15 16:00:30,306: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:41297/
[rosmaster.master][INFO] 2012-12-15 16:00:30,311: +PUB [/rosout] /camera/depth_registered/metric http://pc:50375/
[rosmaster.master][INFO] 2012-12-15 16:00:30,328: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:36666/
[rosmaster.master][INFO] 2012-12-15 16:00:30,331: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:50375/
[rosmaster.master][INFO] 2012-12-15 16:00:30,336: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:46779/
[rosmaster.master][INFO] 2012-12-15 16:00:30,340: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:36666/
[rosmaster.master][INFO] 2012-12-15 16:00:30,341: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:50375/
[rosmaster.master][INFO] 2012-12-15 16:00:30,342: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:46779/
[rosmaster.master][INFO] 2012-12-15 16:00:30,343: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,345: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,346: +PUB [/rosout] /camera/disparity_depth_registered http://pc:59469/
[rosmaster.master][INFO] 2012-12-15 16:00:30,352: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:46779/
[rosmaster.master][INFO] 2012-12-15 16:00:30,354: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,356: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,358: publisherUpdate[/rosout] -> http://pc:35588/
[rosmaster.master][INFO] 2012-12-15 16:00:30,359: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:59469/
