[rosmaster.main][INFO] 2012-12-15 18:09:23,127: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:09:23,127: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:09:23,128: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:09:23,129: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:09:23,129: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:09:23,130: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:09:23,237: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,242: +PARAM [/roslaunch/uris/host_pc__45884] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,271: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,272: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,272: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,273: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,274: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,274: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:09:23,276: +SERVICE [/rosout/get_loggers] /rosout http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,278: +SERVICE [/rosout/set_logger_level] /rosout http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,284: +PUB [/rosout_agg] /rosout http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,287: +SUB [/rosout] /rosout http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,325: +PUB [/rosout] /camera/driver http://pc:55231/
[rosmaster.master][INFO] 2012-12-15 18:09:23,328: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,331: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:55231/
[rosmaster.master][INFO] 2012-12-15 18:09:23,333: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:55231/
[rosmaster.master][INFO] 2012-12-15 18:09:23,339: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:09:23,341: +PUB [/rosout] /camera/rgb/debayer http://pc:48746/
[rosmaster.master][INFO] 2012-12-15 18:09:23,344: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:48746/
[rosmaster.master][INFO] 2012-12-15 18:09:23,346: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:48746/
[rosmaster.master][INFO] 2012-12-15 18:09:23,357: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:57050/
[rosmaster.master][INFO] 2012-12-15 18:09:23,360: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:57050/
[rosmaster.master][INFO] 2012-12-15 18:09:23,367: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:57050/
[rosmaster.master][INFO] 2012-12-15 18:09:23,369: +PUB [/rosout] /camera/rgb/rectify_color http://pc:58897/
[rosmaster.master][INFO] 2012-12-15 18:09:23,379: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:58897/
[rosmaster.master][INFO] 2012-12-15 18:09:23,395: +PUB [/rosout] /camera/ir/rectify_ir http://pc:55409/
[rosmaster.master][INFO] 2012-12-15 18:09:23,403: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:58897/
[rosmaster.master][INFO] 2012-12-15 18:09:23,407: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:55409/
[rosmaster.master][INFO] 2012-12-15 18:09:23,410: +PUB [/rosout] /camera/depth/rectify_depth http://pc:56702/
[rosmaster.master][INFO] 2012-12-15 18:09:23,413: +PUB [/rosout] /camera/depth/metric_rect http://pc:56535/
[rosmaster.master][INFO] 2012-12-15 18:09:23,415: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:55409/
[rosmaster.master][INFO] 2012-12-15 18:09:23,420: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:56702/
[rosmaster.master][INFO] 2012-12-15 18:09:23,427: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:56535/
[rosmaster.master][INFO] 2012-12-15 18:09:23,428: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,430: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,431: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,431: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:56702/
[rosmaster.master][INFO] 2012-12-15 18:09:23,432: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,434: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,435: publisherUpdate[/rosout] -> http://pc:53406/
[rosmaster.master][INFO] 2012-12-15 18:09:23,442: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:56535/
[rosmaster.master][INFO] 2012-12-15 18:09:23,454: +PUB [/rosout] /camera/depth/metric http://pc:33010/
[rosmaster.master][INFO] 2012-12-15 18:09:23,469: +PUB [/rosout] /camera/register_depth_rgb http://pc:42070/
[rosmaster.master][INFO] 2012-12-15 18:09:23,471: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:33010/
[rosmaster.master][INFO] 2012-12-15 18:09:23,480: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 18:09:23,482: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:60904/
[rosmaster.master][INFO] 2012-12-15 18:09:23,485: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:33010/
[rosmaster.master][INFO] 2012-12-15 18:09:23,489: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:37076/
