[rosmaster.main][INFO] 2012-12-15 18:16:39,479: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:16:39,479: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:16:39,480: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:16:39,481: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:16:39,482: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:16:39,482: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:16:39,594: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,598: +PARAM [/roslaunch/uris/host_pc__50241] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,628: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,629: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,629: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,629: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,629: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,629: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,630: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,630: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,630: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,630: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,630: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,631: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,631: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:16:39,636: +SERVICE [/rosout/get_loggers] /rosout http://pc:49333/
[rosmaster.master][INFO] 2012-12-15 18:16:39,640: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49333/
[rosmaster.master][INFO] 2012-12-15 18:16:39,645: +PUB [/rosout_agg] /rosout http://pc:49333/
[rosmaster.master][INFO] 2012-12-15 18:16:39,647: +SUB [/rosout] /rosout http://pc:49333/
[rosmaster.master][INFO] 2012-12-15 18:16:39,668: +PUB [/rosout] /camera/driver http://pc:46161/
