[rosmaster.main][INFO] 2012-12-15 17:55:13,725: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:55:13,725: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:55:13,726: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:55:13,726: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:55:13,726: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:55:13,726: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:55:13,837: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,840: +PARAM [/roslaunch/uris/host_pc__45580] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,868: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,868: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,869: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,869: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,869: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,869: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,869: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,870: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,870: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,870: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,870: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,871: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:55:13,873: +SERVICE [/rosout/get_loggers] /rosout http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,874: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,877: +PUB [/rosout_agg] /rosout http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,878: +SUB [/rosout] /rosout http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,909: +PUB [/rosout] /camera/driver http://pc:35053/
[rosmaster.master][INFO] 2012-12-15 17:55:13,916: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:35053/
[rosmaster.master][INFO] 2012-12-15 17:55:13,922: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:35053/
[rosmaster.master][INFO] 2012-12-15 17:55:13,924: +PUB [/rosout] /camera/rgb/debayer http://pc:53914/
[rosmaster.master][INFO] 2012-12-15 17:55:13,927: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,931: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:13,931: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:53914/
[rosmaster.master][INFO] 2012-12-15 17:55:13,937: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:53914/
[rosmaster.master][INFO] 2012-12-15 17:55:13,941: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:55:13,943: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:45607/
[rosmaster.master][INFO] 2012-12-15 17:55:13,947: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:45607/
[rosmaster.master][INFO] 2012-12-15 17:55:13,951: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:45607/
[rosmaster.master][INFO] 2012-12-15 17:55:13,954: +PUB [/rosout] /camera/rgb/rectify_color http://pc:38839/
[rosmaster.master][INFO] 2012-12-15 17:55:13,961: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:38839/
[rosmaster.master][INFO] 2012-12-15 17:55:13,967: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:38839/
[rosmaster.master][INFO] 2012-12-15 17:55:13,975: +PUB [/rosout] /camera/ir/rectify_ir http://pc:41332/
[rosmaster.master][INFO] 2012-12-15 17:55:13,979: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:41332/
[rosmaster.master][INFO] 2012-12-15 17:55:13,981: +PUB [/rosout] /camera/depth/rectify_depth http://pc:49201/
[rosmaster.master][INFO] 2012-12-15 17:55:13,983: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:41332/
[rosmaster.master][INFO] 2012-12-15 17:55:13,989: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:49201/
[rosmaster.master][INFO] 2012-12-15 17:55:14,002: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:49201/
[rosmaster.master][INFO] 2012-12-15 17:55:14,014: +PUB [/rosout] /camera/depth/metric_rect http://pc:34368/
[rosmaster.master][INFO] 2012-12-15 17:55:14,019: +PUB [/rosout] /camera/depth/metric http://pc:56288/
[rosmaster.master][INFO] 2012-12-15 17:55:14,031: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,033: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:34368/
[rosmaster.master][INFO] 2012-12-15 17:55:14,035: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,037: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,040: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:55:14,041: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,043: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,044: publisherUpdate[/rosout] -> http://pc:37972/
[rosmaster.master][INFO] 2012-12-15 17:55:14,049: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:56288/
[rosmaster.master][INFO] 2012-12-15 17:55:14,058: +PUB [/rosout] /camera/depth/points http://pc:32974/
[rosmaster.master][INFO] 2012-12-15 17:55:14,064: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:56288/
