[rosmaster.main][INFO] 2012-12-15 19:42:42,191: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 19:42:42,191: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 19:42:42,192: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 19:42:42,193: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 19:42:42,193: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 19:42:42,193: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 19:42:42,210: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,214: +PARAM [/roslaunch/uris/host_pc__56523] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,247: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,247: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,248: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,248: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,248: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,248: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,249: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,249: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,250: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,250: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,250: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,250: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,250: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:42:42,255: +SERVICE [/rosout/get_loggers] /rosout http://pc:54948/
[rosmaster.master][INFO] 2012-12-15 19:42:42,256: +SERVICE [/rosout/set_logger_level] /rosout http://pc:54948/
