[rosmaster.main][INFO] 2012-12-14 20:34:03,795: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:34:03,795: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:34:03,796: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:34:03,797: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:34:03,798: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:34:03,798: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:34:03,813: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,817: +PARAM [/roslaunch/uris/host_pc__47597] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,841: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,842: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,843: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:34:03,849: +SERVICE [/rosout/get_loggers] /rosout http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,850: +SERVICE [/rosout/set_logger_level] /rosout http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,854: +PUB [/rosout_agg] /rosout http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,856: +SUB [/rosout] /rosout http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,876: +PUB [/rosout] /camera/driver http://pc:50782/
[rosmaster.master][INFO] 2012-12-14 20:34:03,878: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:50782/
[rosmaster.master][INFO] 2012-12-14 20:34:03,879: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:50782/
[rosmaster.master][INFO] 2012-12-14 20:34:03,883: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:34:03,887: +PUB [/rosout] /camera/rgb/debayer http://pc:43505/
[rosmaster.master][INFO] 2012-12-14 20:34:03,888: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:43505/
[rosmaster.master][INFO] 2012-12-14 20:34:03,890: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:43505/
[rosmaster.master][INFO] 2012-12-14 20:34:03,901: publisherUpdate[/rosout] -> http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,903: publisherUpdate[/rosout] -> http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:03,910: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:44698/
[rosmaster.master][INFO] 2012-12-14 20:34:03,912: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:44698/
[rosmaster.master][INFO] 2012-12-14 20:34:03,913: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:44698/
[rosmaster.master][INFO] 2012-12-14 20:34:03,936: +PUB [/rosout] /camera/rgb/rectify_color http://pc:58712/
[rosmaster.master][INFO] 2012-12-14 20:34:03,939: +PUB [/rosout] /camera/ir/rectify_ir http://pc:44306/
[rosmaster.master][INFO] 2012-12-14 20:34:03,941: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:58712/
[rosmaster.master][INFO] 2012-12-14 20:34:03,943: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:44306/
[rosmaster.master][INFO] 2012-12-14 20:34:03,944: +PUB [/rosout] /camera/depth/rectify_depth http://pc:44029/
[rosmaster.master][INFO] 2012-12-14 20:34:03,945: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:58712/
[rosmaster.master][INFO] 2012-12-14 20:34:03,947: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:44306/
[rosmaster.master][INFO] 2012-12-14 20:34:03,948: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:44029/
[rosmaster.master][INFO] 2012-12-14 20:34:03,950: +PUB [/rosout] /camera/depth/metric_rect http://pc:34094/
[rosmaster.master][INFO] 2012-12-14 20:34:03,961: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:44029/
[rosmaster.master][INFO] 2012-12-14 20:34:03,965: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:34094/
[rosmaster.master][INFO] 2012-12-14 20:34:03,974: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:34094/
[rosmaster.master][INFO] 2012-12-14 20:34:03,976: +PUB [/rosout] /camera/depth/metric http://pc:53149/
[rosmaster.master][INFO] 2012-12-14 20:34:03,981: +PUB [/rosout] /camera/depth/points http://pc:38913/
[rosmaster.master][INFO] 2012-12-14 20:34:03,986: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:53149/
[rosmaster.master][INFO] 2012-12-14 20:34:03,995: +PUB [/rosout] /camera/register_depth_rgb http://pc:53256/
[rosmaster.master][INFO] 2012-12-14 20:34:03,997: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:34:04,000: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:53149/
[rosmaster.master][INFO] 2012-12-14 20:34:04,003: publisherUpdate[/rosout] -> http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:04,004: publisherUpdate[/rosout] -> http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:04,005: publisherUpdate[/rosout] -> http://pc:44159/
[rosmaster.master][INFO] 2012-12-14 20:34:04,007: publisherUpdate[/rosout] -> http://pc:44159/
