[rosmaster.main][INFO] 2012-12-15 17:12:27,126: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:12:27,127: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:12:27,128: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:12:27,129: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:12:27,129: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:12:27,130: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:12:27,148: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,152: +PARAM [/roslaunch/uris/host_pc__58663] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,184: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,185: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,185: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,185: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,185: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,186: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,186: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,187: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,187: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,187: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,188: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,188: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,189: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:12:27,192: +SERVICE [/rosout/get_loggers] /rosout http://pc:33708/
[rosmaster.master][INFO] 2012-12-15 17:12:27,193: +SERVICE [/rosout/set_logger_level] /rosout http://pc:33708/
[rosmaster.master][INFO] 2012-12-15 17:12:27,196: +PUB [/rosout_agg] /rosout http://pc:33708/
[rosmaster.master][INFO] 2012-12-15 17:12:27,197: +SUB [/rosout] /rosout http://pc:33708/
