[rosmaster.main][INFO] 2012-12-14 17:27:59,139: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:27:59,139: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:27:59,140: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:27:59,141: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:27:59,142: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:27:59,142: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:27:59,159: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,163: +PARAM [/roslaunch/uris/host_pc__45036] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,193: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,194: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,194: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,195: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,196: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,196: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,196: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,196: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,196: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,197: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,197: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,197: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,197: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:27:59,204: +SERVICE [/rosout/get_loggers] /rosout http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,205: +SERVICE [/rosout/set_logger_level] /rosout http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,208: +PUB [/rosout_agg] /rosout http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,209: +SUB [/rosout] /rosout http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,229: +PUB [/rosout] /camera/driver http://pc:42595/
[rosmaster.master][INFO] 2012-12-14 17:27:59,231: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:42595/
[rosmaster.master][INFO] 2012-12-14 17:27:59,233: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:42595/
[rosmaster.master][INFO] 2012-12-14 17:27:59,238: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:27:59,239: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,248: +PUB [/rosout] /camera/rgb/debayer http://pc:34713/
[rosmaster.master][INFO] 2012-12-14 17:27:59,254: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:34713/
[rosmaster.master][INFO] 2012-12-14 17:27:59,263: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:34713/
[rosmaster.master][INFO] 2012-12-14 17:27:59,268: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:60970/
[rosmaster.master][INFO] 2012-12-14 17:27:59,271: +PUB [/rosout] /camera/rgb/rectify_color http://pc:50280/
[rosmaster.master][INFO] 2012-12-14 17:27:59,272: +PUB [/rosout] /camera/ir/rectify_ir http://pc:42085/
[rosmaster.master][INFO] 2012-12-14 17:27:59,281: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:60970/
[rosmaster.master][INFO] 2012-12-14 17:27:59,285: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:50280/
[rosmaster.master][INFO] 2012-12-14 17:27:59,293: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:42085/
[rosmaster.master][INFO] 2012-12-14 17:27:59,299: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:60970/
[rosmaster.master][INFO] 2012-12-14 17:27:59,304: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:50280/
[rosmaster.master][INFO] 2012-12-14 17:27:59,305: +PUB [/rosout] /camera/depth/rectify_depth http://pc:46002/
[rosmaster.master][INFO] 2012-12-14 17:27:59,312: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:42085/
[rosmaster.master][INFO] 2012-12-14 17:27:59,315: +PUB [/rosout] /camera/depth/metric_rect http://pc:58870/
[rosmaster.master][INFO] 2012-12-14 17:27:59,324: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:46002/
[rosmaster.master][INFO] 2012-12-14 17:27:59,329: +PUB [/rosout] /camera/depth/metric http://pc:43288/
[rosmaster.master][INFO] 2012-12-14 17:27:59,332: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:58870/
[rosmaster.master][INFO] 2012-12-14 17:27:59,335: +PUB [/rosout] /camera/depth/points http://pc:52620/
[rosmaster.master][INFO] 2012-12-14 17:27:59,341: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,343: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,344: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,346: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,347: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,348: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,354: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,356: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,357: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:43288/
[rosmaster.master][INFO] 2012-12-14 17:27:59,369: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:58870/
[rosmaster.master][INFO] 2012-12-14 17:27:59,382: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:43288/
[rosmaster.master][INFO] 2012-12-14 17:27:59,385: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:42871/
[rosmaster.master][INFO] 2012-12-14 17:27:59,393: +PUB [/rosout] /camera/depth_registered/metric http://pc:60245/
[rosmaster.master][INFO] 2012-12-14 17:27:59,395: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:42871/
[rosmaster.master][INFO] 2012-12-14 17:27:59,398: +PUB [/rosout] /camera/disparity_depth_registered http://pc:56278/
[rosmaster.master][INFO] 2012-12-14 17:27:59,400: +PUB [/rosout] /camera/disparity_depth http://pc:47180/
[rosmaster.master][INFO] 2012-12-14 17:27:59,401: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:60245/
[rosmaster.master][INFO] 2012-12-14 17:27:59,407: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:42871/
[rosmaster.master][INFO] 2012-12-14 17:27:59,411: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:56278/
[rosmaster.master][INFO] 2012-12-14 17:27:59,415: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:47180/
[rosmaster.master][INFO] 2012-12-14 17:27:59,427: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:56278/
[rosmaster.master][INFO] 2012-12-14 17:27:59,429: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:47180/
[rosmaster.master][INFO] 2012-12-14 17:27:59,431: +PUB [/rosout] /camera_base_link1 http://pc:44301/
[rosmaster.master][INFO] 2012-12-14 17:27:59,441: +PUB [/rosout] /camera_base_link2 http://pc:55628/
[rosmaster.master][INFO] 2012-12-14 17:27:59,442: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,444: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,446: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:44301/
[rosmaster.master][INFO] 2012-12-14 17:27:59,450: +PUB [/rosout] /camera_base_link3 http://pc:39676/
[rosmaster.master][INFO] 2012-12-14 17:27:59,454: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:55628/
[rosmaster.master][INFO] 2012-12-14 17:27:59,456: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,458: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,460: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 17:27:59,461: publisherUpdate[/rosout] -> http://pc:48506/
[rosmaster.master][INFO] 2012-12-14 17:27:59,462: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:44301/
