[rosmaster.main][INFO] 2012-12-15 18:02:36,403: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:02:36,403: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:02:36,404: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:02:36,405: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:02:36,406: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:02:36,406: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:02:36,418: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,422: +PARAM [/roslaunch/uris/host_pc__49915] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,450: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,450: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,450: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,450: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,450: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,451: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:02:36,457: +SERVICE [/rosout/get_loggers] /rosout http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,459: +SERVICE [/rosout/set_logger_level] /rosout http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,463: +PUB [/rosout_agg] /rosout http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,464: +SUB [/rosout] /rosout http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,489: +PUB [/rosout] /camera/driver http://pc:43987/
[rosmaster.master][INFO] 2012-12-15 18:02:36,491: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:43987/
[rosmaster.master][INFO] 2012-12-15 18:02:36,492: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:43987/
[rosmaster.master][INFO] 2012-12-15 18:02:36,497: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:02:36,504: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,508: +PUB [/rosout] /camera/rgb/debayer http://pc:50454/
[rosmaster.master][INFO] 2012-12-15 18:02:36,510: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:50454/
[rosmaster.master][INFO] 2012-12-15 18:02:36,515: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:50454/
[rosmaster.master][INFO] 2012-12-15 18:02:36,522: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:37122/
[rosmaster.master][INFO] 2012-12-15 18:02:36,530: +PUB [/rosout] /camera/rgb/rectify_color http://pc:35047/
[rosmaster.master][INFO] 2012-12-15 18:02:36,539: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:37122/
[rosmaster.master][INFO] 2012-12-15 18:02:36,547: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:35047/
[rosmaster.master][INFO] 2012-12-15 18:02:36,549: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:37122/
[rosmaster.master][INFO] 2012-12-15 18:02:36,551: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:35047/
[rosmaster.master][INFO] 2012-12-15 18:02:36,554: +PUB [/rosout] /camera/ir/rectify_ir http://pc:33417/
[rosmaster.master][INFO] 2012-12-15 18:02:36,563: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:33417/
[rosmaster.master][INFO] 2012-12-15 18:02:36,579: +PUB [/rosout] /camera/depth/rectify_depth http://pc:39558/
[rosmaster.master][INFO] 2012-12-15 18:02:36,580: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:33417/
[rosmaster.master][INFO] 2012-12-15 18:02:36,582: +PUB [/rosout] /camera/depth/metric_rect http://pc:42010/
[rosmaster.master][INFO] 2012-12-15 18:02:36,586: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:39558/
[rosmaster.master][INFO] 2012-12-15 18:02:36,590: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:42010/
[rosmaster.master][INFO] 2012-12-15 18:02:36,595: +PUB [/rosout] /camera/depth/metric http://pc:38398/
[rosmaster.master][INFO] 2012-12-15 18:02:36,598: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:39558/
[rosmaster.master][INFO] 2012-12-15 18:02:36,602: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:42010/
[rosmaster.master][INFO] 2012-12-15 18:02:36,604: +PUB [/rosout] /camera/depth/points http://pc:57329/
[rosmaster.master][INFO] 2012-12-15 18:02:36,606: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,612: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,613: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,614: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,616: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,620: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,623: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,624: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,628: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:57329/
[rosmaster.master][INFO] 2012-12-15 18:02:36,638: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:57329/
[rosmaster.master][INFO] 2012-12-15 18:02:36,640: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:47789/
[rosmaster.master][INFO] 2012-12-15 18:02:36,642: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 18:02:36,650: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:47789/
[rosmaster.master][INFO] 2012-12-15 18:02:36,658: +PUB [/rosout] /camera/depth_registered/metric http://pc:43743/
[rosmaster.master][INFO] 2012-12-15 18:02:36,673: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:47789/
[rosmaster.master][INFO] 2012-12-15 18:02:36,681: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:43743/
[rosmaster.master][INFO] 2012-12-15 18:02:36,693: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:39122/
[rosmaster.master][INFO] 2012-12-15 18:02:36,695: +PUB [/rosout] /camera/disparity_depth http://pc:59675/
[rosmaster.master][INFO] 2012-12-15 18:02:36,697: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:43743/
[rosmaster.master][INFO] 2012-12-15 18:02:36,704: +PUB [/rosout] /camera/disparity_depth_registered http://pc:50788/
[rosmaster.master][INFO] 2012-12-15 18:02:36,709: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,713: publisherUpdate[/rosout] -> http://pc:48720/
[rosmaster.master][INFO] 2012-12-15 18:02:36,715: publisherUpdate[/rosout] -> http://pc:48720/
