[rosmaster.main][INFO] 2012-12-15 17:19:42,558: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:19:42,558: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:19:42,559: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:19:42,561: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:19:42,561: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:19:42,561: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:19:42,576: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,581: +PARAM [/roslaunch/uris/host_pc__41540] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,607: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,607: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,607: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,607: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,608: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:19:42,612: +SERVICE [/rosout/get_loggers] /rosout http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,614: +SERVICE [/rosout/set_logger_level] /rosout http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,617: +PUB [/rosout_agg] /rosout http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,622: +SUB [/rosout] /rosout http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,645: +PUB [/rosout] /camera/driver http://pc:33411/
[rosmaster.master][INFO] 2012-12-15 17:19:42,646: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:33411/
[rosmaster.master][INFO] 2012-12-15 17:19:42,649: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:33411/
[rosmaster.master][INFO] 2012-12-15 17:19:42,654: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:19:42,658: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,673: +PUB [/rosout] /camera/rgb/debayer http://pc:52683/
[rosmaster.master][INFO] 2012-12-15 17:19:42,674: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:52683/
[rosmaster.master][INFO] 2012-12-15 17:19:42,676: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:52683/
[rosmaster.master][INFO] 2012-12-15 17:19:42,684: +PUB [/rosout] /camera/rgb/rectify_color http://pc:50211/
[rosmaster.master][INFO] 2012-12-15 17:19:42,692: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:46832/
[rosmaster.master][INFO] 2012-12-15 17:19:42,694: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:50211/
[rosmaster.master][INFO] 2012-12-15 17:19:42,695: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:46832/
[rosmaster.master][INFO] 2012-12-15 17:19:42,699: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:50211/
[rosmaster.master][INFO] 2012-12-15 17:19:42,701: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:46832/
[rosmaster.master][INFO] 2012-12-15 17:19:42,703: +PUB [/rosout] /camera/ir/rectify_ir http://pc:33334/
[rosmaster.master][INFO] 2012-12-15 17:19:42,714: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:33334/
[rosmaster.master][INFO] 2012-12-15 17:19:42,726: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:33334/
[rosmaster.master][INFO] 2012-12-15 17:19:42,730: +PUB [/rosout] /camera/depth/rectify_depth http://pc:58664/
[rosmaster.master][INFO] 2012-12-15 17:19:42,741: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:58664/
[rosmaster.master][INFO] 2012-12-15 17:19:42,744: +PUB [/rosout] /camera/depth/metric_rect http://pc:43759/
[rosmaster.master][INFO] 2012-12-15 17:19:42,748: +PUB [/rosout] /camera/depth/metric http://pc:55725/
[rosmaster.master][INFO] 2012-12-15 17:19:42,753: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:58664/
[rosmaster.master][INFO] 2012-12-15 17:19:42,755: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:43759/
[rosmaster.master][INFO] 2012-12-15 17:19:42,758: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:55725/
[rosmaster.master][INFO] 2012-12-15 17:19:42,760: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,761: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,763: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,764: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,766: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,769: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,771: +PUB [/rosout] /camera/depth/points http://pc:43910/
[rosmaster.master][INFO] 2012-12-15 17:19:42,773: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,775: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:43759/
[rosmaster.master][INFO] 2012-12-15 17:19:42,784: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,791: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:55725/
[rosmaster.master][INFO] 2012-12-15 17:19:42,809: +PUB [/rosout] /camera/register_depth_rgb http://pc:44075/
[rosmaster.master][INFO] 2012-12-15 17:19:42,817: +PUB [/rosout] /camera/depth_registered/metric http://pc:54633/
[rosmaster.master][INFO] 2012-12-15 17:19:42,824: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:44075/
[rosmaster.master][INFO] 2012-12-15 17:19:42,826: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:33128/
[rosmaster.master][INFO] 2012-12-15 17:19:42,831: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:54633/
[rosmaster.master][INFO] 2012-12-15 17:19:42,832: +PUB [/rosout] /camera/disparity_depth http://pc:58810/
[rosmaster.master][INFO] 2012-12-15 17:19:42,840: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:33128/
[rosmaster.master][INFO] 2012-12-15 17:19:42,843: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:58810/
[rosmaster.master][INFO] 2012-12-15 17:19:42,844: +PUB [/rosout] /camera/disparity_depth_registered http://pc:56945/
[rosmaster.master][INFO] 2012-12-15 17:19:42,847: +PUB [/rosout] /camera_base_link http://pc:37515/
[rosmaster.master][INFO] 2012-12-15 17:19:42,848: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:33128/
[rosmaster.master][INFO] 2012-12-15 17:19:42,853: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:58810/
[rosmaster.master][INFO] 2012-12-15 17:19:42,854: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:56945/
[rosmaster.master][INFO] 2012-12-15 17:19:42,856: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:37515/
[rosmaster.master][INFO] 2012-12-15 17:19:42,862: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,865: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,865: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:56945/
[rosmaster.master][INFO] 2012-12-15 17:19:42,867: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,870: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,871: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,874: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,879: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:37515/
[rosmaster.master][INFO] 2012-12-15 17:19:42,893: +PUB [/rosout] /camera_base_link1 http://pc:40752/
[rosmaster.master][INFO] 2012-12-15 17:19:42,895: +PUB [/rosout] /camera_base_link2 http://pc:36264/
[rosmaster.master][INFO] 2012-12-15 17:19:42,897: +PUB [/rosout] /camera_base_link3 http://pc:38343/
[rosmaster.master][INFO] 2012-12-15 17:19:42,898: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:40752/
[rosmaster.master][INFO] 2012-12-15 17:19:42,899: +PUB [/tf] /camera_base_link http://pc:37515/
[rosmaster.master][INFO] 2012-12-15 17:19:42,901: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:36264/
[rosmaster.master][INFO] 2012-12-15 17:19:42,902: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 17:19:42,903: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:38343/
[rosmaster.master][INFO] 2012-12-15 17:19:42,905: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:40752/
[rosmaster.master][INFO] 2012-12-15 17:19:42,908: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:36264/
[rosmaster.master][INFO] 2012-12-15 17:19:42,910: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:38343/
[rosmaster.master][INFO] 2012-12-15 17:19:42,920: +PUB [/tf] /camera_base_link1 http://pc:40752/
[rosmaster.master][INFO] 2012-12-15 17:19:42,923: +PUB [/tf] /camera_base_link2 http://pc:36264/
[rosmaster.master][INFO] 2012-12-15 17:19:42,927: +PUB [/tf] /camera_base_link3 http://pc:38343/
[rosmaster.master][INFO] 2012-12-15 17:19:42,960: +PUB [/rosout] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:42,962: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:42,963: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,964: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:42,967: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,971: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,971: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:42,973: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:42,975: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:42,978: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,008: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:47220/
[rosmaster.master][INFO] 2012-12-15 17:19:43,010: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:47220/
[rosmaster.master][INFO] 2012-12-15 17:19:43,011: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:47220/
[rosmaster.master][INFO] 2012-12-15 17:19:43,015: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:19:43,076: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:43,280: +PUB [/rosout] /set_dr http://pc:57299/
[rosmaster.master][INFO] 2012-12-15 17:19:43,281: publisherUpdate[/rosout] -> http://pc:47708/
[rosmaster.master][INFO] 2012-12-15 17:19:43,319: +PUB [/camera/depth/image_rect/compressed] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,320: +SERVICE [/camera/depth/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,321: +PUB [/camera/depth/image_rect/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,322: +PUB [/camera/depth/image_rect/compressed/parameter_updates] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,326: +PARAM [/camera/depth/image_rect/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,327: +PARAM [/camera/depth/image_rect/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,328: +PARAM [/camera/depth/image_rect/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,329: +PUB [/camera/depth/image_rect] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,332: +PUB [/camera/depth/image_rect/theora] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,333: +SERVICE [/camera/depth/image_rect/theora/set_parameters] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,334: +PUB [/camera/depth/image_rect/theora/parameter_descriptions] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,336: +PUB [/camera/depth/image_rect/theora/parameter_updates] /camera_nodelet_manager http://pc:58008/
[rosmaster.master][INFO] 2012-12-15 17:19:43,340: +PARAM [/camera/depth/image_rect/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,341: +PARAM [/camera/depth/image_rect/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,342: +PARAM [/camera/depth/image_rect/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 17:19:43,343: +PARAM [/camera/depth/image_rect/theora/keyframe_frequency] by /camera_nodelet_manager
