[rosmaster.main][INFO] 2012-12-15 16:58:15,082: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:58:15,083: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:58:15,084: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:58:15,085: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:58:15,085: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:58:15,086: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:58:15,099: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,102: +PARAM [/roslaunch/uris/host_pc__37002] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,130: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,130: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,131: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,131: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,131: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,131: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,131: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,132: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,132: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,133: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,133: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,133: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,133: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:58:15,135: +SERVICE [/rosout/get_loggers] /rosout http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,136: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,138: +PUB [/rosout_agg] /rosout http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,139: +SUB [/rosout] /rosout http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,170: +PUB [/rosout] /camera/driver http://pc:54686/
[rosmaster.master][INFO] 2012-12-15 16:58:15,171: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:54686/
[rosmaster.master][INFO] 2012-12-15 16:58:15,173: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:54686/
[rosmaster.master][INFO] 2012-12-15 16:58:15,178: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:58:15,179: +PUB [/rosout] /camera/rgb/debayer http://pc:46318/
[rosmaster.master][INFO] 2012-12-15 16:58:15,182: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:46318/
[rosmaster.master][INFO] 2012-12-15 16:58:15,183: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:46318/
[rosmaster.master][INFO] 2012-12-15 16:58:15,183: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,186: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,213: +PUB [/rosout] /camera/rgb/rectify_color http://pc:56503/
[rosmaster.master][INFO] 2012-12-15 16:58:15,214: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:52615/
[rosmaster.master][INFO] 2012-12-15 16:58:15,215: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:56503/
[rosmaster.master][INFO] 2012-12-15 16:58:15,226: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:56503/
[rosmaster.master][INFO] 2012-12-15 16:58:15,227: +PUB [/rosout] /camera/ir/rectify_ir http://pc:56123/
[rosmaster.master][INFO] 2012-12-15 16:58:15,233: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:52615/
[rosmaster.master][INFO] 2012-12-15 16:58:15,238: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:56123/
[rosmaster.master][INFO] 2012-12-15 16:58:15,240: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:52615/
[rosmaster.master][INFO] 2012-12-15 16:58:15,244: +PUB [/rosout] /camera/depth/rectify_depth http://pc:33364/
[rosmaster.master][INFO] 2012-12-15 16:58:15,249: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:56123/
[rosmaster.master][INFO] 2012-12-15 16:58:15,262: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:33364/
[rosmaster.master][INFO] 2012-12-15 16:58:15,272: +PUB [/rosout] /camera/depth/metric_rect http://pc:41178/
[rosmaster.master][INFO] 2012-12-15 16:58:15,277: +PUB [/rosout] /camera/depth/metric http://pc:55027/
[rosmaster.master][INFO] 2012-12-15 16:58:15,285: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:41178/
[rosmaster.master][INFO] 2012-12-15 16:58:15,286: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,287: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,288: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,290: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:55027/
[rosmaster.master][INFO] 2012-12-15 16:58:15,291: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,293: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,296: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,298: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:41178/
[rosmaster.master][INFO] 2012-12-15 16:58:15,301: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:55027/
[rosmaster.master][INFO] 2012-12-15 16:58:15,303: +PUB [/rosout] /camera/register_depth_rgb http://pc:35568/
[rosmaster.master][INFO] 2012-12-15 16:58:15,305: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:36915/
[rosmaster.master][INFO] 2012-12-15 16:58:15,308: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:35568/
[rosmaster.master][INFO] 2012-12-15 16:58:15,311: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:36915/
[rosmaster.master][INFO] 2012-12-15 16:58:15,318: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:35568/
[rosmaster.master][INFO] 2012-12-15 16:58:15,319: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:36915/
[rosmaster.master][INFO] 2012-12-15 16:58:15,322: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:50724/
[rosmaster.master][INFO] 2012-12-15 16:58:15,356: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:58:15,358: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:53338/
[rosmaster.master][INFO] 2012-12-15 16:58:15,360: +PUB [/rosout] /camera/depth_registered/metric http://pc:39597/
[rosmaster.master][INFO] 2012-12-15 16:58:15,363: +PUB [/rosout] /camera/disparity_depth http://pc:55282/
[rosmaster.master][INFO] 2012-12-15 16:58:15,370: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:53338/
[rosmaster.master][INFO] 2012-12-15 16:58:15,373: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:39597/
[rosmaster.master][INFO] 2012-12-15 16:58:15,375: +PUB [/rosout] /camera/disparity_depth_registered http://pc:40606/
[rosmaster.master][INFO] 2012-12-15 16:58:15,376: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:55282/
[rosmaster.master][INFO] 2012-12-15 16:58:15,381: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:39597/
[rosmaster.master][INFO] 2012-12-15 16:58:15,385: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:40606/
[rosmaster.master][INFO] 2012-12-15 16:58:15,387: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,388: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,390: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,393: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,395: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,396: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:55282/
[rosmaster.master][INFO] 2012-12-15 16:58:15,397: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,399: +PUB [/rosout] /camera_base_link http://pc:41610/
[rosmaster.master][INFO] 2012-12-15 16:58:15,399: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,402: publisherUpdate[/rosout] -> http://pc:36018/
[rosmaster.master][INFO] 2012-12-15 16:58:15,415: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:40606/
[rosmaster.master][INFO] 2012-12-15 16:58:15,420: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:41610/
[rosmaster.master][INFO] 2012-12-15 16:58:15,424: +PUB [/rosout] /camera_base_link2 http://pc:37505/
[rosmaster.master][INFO] 2012-12-15 16:58:15,426: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:41610/
[rosmaster.master][INFO] 2012-12-15 16:58:15,430: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:37505/
[rosmaster.master][INFO] 2012-12-15 16:58:15,432: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-15 16:58:15,434: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 16:58:15,436: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:37505/
[rosmaster.master][INFO] 2012-12-15 16:58:15,438: +PUB [/tf] /camera_base_link http://pc:41610/
[rosmaster.master][INFO] 2012-12-15 16:58:15,448: +PUB [/tf] /camera_base_link2 http://pc:37505/
[rosmaster.master][INFO] 2012-12-15 16:58:15,479: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:33364/
[rosmaster.master][INFO] 2012-12-15 16:58:15,485: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:58:15,491: +PUB [/rosout] /camera_nodelet_manager http://pc:35515/
[rosmaster.master][INFO] 2012-12-15 16:58:15,493: publisherUpdate[/rosout] -> http://pc:36018/
