[rosmaster.main][INFO] 2012-12-14 20:19:52,841: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:19:52,841: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:19:52,842: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:19:52,843: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:19:52,843: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:19:52,844: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:19:52,853: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,857: +PARAM [/roslaunch/uris/host_pc__54598] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,884: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,884: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,884: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,884: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,884: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,885: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:19:52,892: +SERVICE [/rosout/get_loggers] /rosout http://pc:36702/
[rosmaster.master][INFO] 2012-12-14 20:19:52,893: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36702/
[rosmaster.master][INFO] 2012-12-14 20:19:52,897: +PUB [/rosout_agg] /rosout http://pc:36702/
[rosmaster.master][INFO] 2012-12-14 20:19:52,898: +SUB [/rosout] /rosout http://pc:36702/
