[rosmaster.main][INFO] 2012-12-16 00:29:20,175: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-16 00:29:20,176: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-16 00:29:20,176: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-16 00:29:20,177: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-16 00:29:20,178: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-16 00:29:20,178: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-16 00:29:20,288: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,293: +PARAM [/roslaunch/uris/host_pc__55068] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,325: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,325: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,325: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,325: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,326: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,326: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,326: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,326: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,327: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,327: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:29:20,327: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
