[rosmaster.main][INFO] 2012-12-14 18:32:38,019: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 18:32:38,020: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 18:32:38,021: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 18:32:38,022: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 18:32:38,022: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 18:32:38,023: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 18:32:38,040: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,044: +PARAM [/roslaunch/uris/host_pc__41442] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,069: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,070: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:32:38,073: +SERVICE [/rosout/get_loggers] /rosout http://pc:60514/
[rosmaster.master][INFO] 2012-12-14 18:32:38,074: +SERVICE [/rosout/set_logger_level] /rosout http://pc:60514/
[rosmaster.master][INFO] 2012-12-14 18:32:38,076: +PUB [/rosout_agg] /rosout http://pc:60514/
[rosmaster.master][INFO] 2012-12-14 18:32:38,078: +SUB [/rosout] /rosout http://pc:60514/
[rosmaster.master][INFO] 2012-12-14 18:32:38,102: +PUB [/rosout] /camera/driver http://pc:55004/
[rosmaster.master][INFO] 2012-12-14 18:32:38,104: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:55004/
[rosmaster.master][INFO] 2012-12-14 18:32:38,105: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:55004/
[rosmaster.master][INFO] 2012-12-14 18:32:38,110: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 18:32:38,120: publisherUpdate[/rosout] -> http://pc:60514/
