[rosmaster.main][INFO] 2012-12-15 16:22:38,890: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:22:38,890: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:22:38,891: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:22:38,893: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:22:38,893: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:22:38,894: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:22:38,908: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,911: +PARAM [/roslaunch/uris/host_pc__45921] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,936: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,936: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,936: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,937: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,938: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,938: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:22:38,943: +SERVICE [/rosout/get_loggers] /rosout http://pc:33219/
[rosmaster.master][INFO] 2012-12-15 16:22:38,945: +SERVICE [/rosout/set_logger_level] /rosout http://pc:33219/
[rosmaster.master][INFO] 2012-12-15 16:22:38,949: +PUB [/rosout_agg] /rosout http://pc:33219/
[rosmaster.master][INFO] 2012-12-15 16:22:38,951: +SUB [/rosout] /rosout http://pc:33219/
[rosmaster.master][INFO] 2012-12-15 16:22:38,973: +PUB [/rosout] /camera/driver http://pc:34389/
