[rosmaster.main][INFO] 2012-12-15 16:44:11,299: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:44:11,299: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:44:11,300: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:44:11,301: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:44:11,302: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:44:11,302: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:44:11,416: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,422: +PARAM [/roslaunch/uris/host_pc__42608] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,445: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,445: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,445: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,446: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,447: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,447: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:44:11,450: +SERVICE [/rosout/get_loggers] /rosout http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,451: +SERVICE [/rosout/set_logger_level] /rosout http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,453: +PUB [/rosout_agg] /rosout http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,454: +SUB [/rosout] /rosout http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,481: +PUB [/rosout] /camera/driver http://pc:53440/
[rosmaster.master][INFO] 2012-12-15 16:44:11,484: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:53440/
[rosmaster.master][INFO] 2012-12-15 16:44:11,487: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:53440/
[rosmaster.master][INFO] 2012-12-15 16:44:11,494: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:44:11,498: +PUB [/rosout] /camera/rgb/debayer http://pc:55761/
[rosmaster.master][INFO] 2012-12-15 16:44:11,505: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,516: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,518: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:55761/
[rosmaster.master][INFO] 2012-12-15 16:44:11,528: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:55761/
[rosmaster.master][INFO] 2012-12-15 16:44:11,529: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:35736/
[rosmaster.master][INFO] 2012-12-15 16:44:11,533: +PUB [/rosout] /camera/rgb/rectify_color http://pc:34362/
[rosmaster.master][INFO] 2012-12-15 16:44:11,538: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:35736/
[rosmaster.master][INFO] 2012-12-15 16:44:11,541: +PUB [/rosout] /camera/ir/rectify_ir http://pc:49095/
[rosmaster.master][INFO] 2012-12-15 16:44:11,546: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:34362/
[rosmaster.master][INFO] 2012-12-15 16:44:11,550: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:35736/
[rosmaster.master][INFO] 2012-12-15 16:44:11,552: +PUB [/rosout] /camera/depth/rectify_depth http://pc:54946/
[rosmaster.master][INFO] 2012-12-15 16:44:11,553: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:49095/
[rosmaster.master][INFO] 2012-12-15 16:44:11,554: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:34362/
[rosmaster.master][INFO] 2012-12-15 16:44:11,569: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:49095/
[rosmaster.master][INFO] 2012-12-15 16:44:11,570: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:54946/
[rosmaster.master][INFO] 2012-12-15 16:44:11,578: +PUB [/rosout] /camera/depth/metric_rect http://pc:40979/
[rosmaster.master][INFO] 2012-12-15 16:44:11,584: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:54946/
[rosmaster.master][INFO] 2012-12-15 16:44:11,588: +PUB [/rosout] /camera/depth/metric http://pc:56539/
[rosmaster.master][INFO] 2012-12-15 16:44:11,599: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:40979/
[rosmaster.master][INFO] 2012-12-15 16:44:11,607: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:56539/
[rosmaster.master][INFO] 2012-12-15 16:44:11,610: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,613: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,615: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,616: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,618: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,619: publisherUpdate[/rosout] -> http://pc:46019/
[rosmaster.master][INFO] 2012-12-15 16:44:11,622: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:56539/
[rosmaster.master][INFO] 2012-12-15 16:44:11,623: +PUB [/rosout] /camera/register_depth_rgb http://pc:52322/
[rosmaster.master][INFO] 2012-12-15 16:44:11,634: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:52322/
[rosmaster.master][INFO] 2012-12-15 16:44:11,636: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:44:11,641: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:48311/
[rosmaster.master][INFO] 2012-12-15 16:44:11,653: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:52322/
[rosmaster.master][INFO] 2012-12-15 16:44:11,658: +PUB [/rosout] /camera/depth_registered/metric http://pc:34101/
[rosmaster.master][INFO] 2012-12-15 16:44:11,658: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:48311/
[rosmaster.master][INFO] 2012-12-15 16:44:11,667: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:35443/
[rosmaster.master][INFO] 2012-12-15 16:44:11,669: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:34101/
