[rosmaster.main][INFO] 2012-12-15 18:53:04,821: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:53:04,821: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:53:04,822: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:53:04,823: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:53:04,823: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:53:04,823: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:53:04,928: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,930: +PARAM [/roslaunch/uris/host_pc__37090] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,947: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,948: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,948: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,948: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,949: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,949: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,949: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,950: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,950: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,951: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,952: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,952: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,952: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:53:04,955: +SERVICE [/rosout/get_loggers] /rosout http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:04,957: +SERVICE [/rosout/set_logger_level] /rosout http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:04,960: +PUB [/rosout_agg] /rosout http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:04,962: +SUB [/rosout] /rosout http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:04,991: +PUB [/rosout] /camera/driver http://pc:37556/
[rosmaster.master][INFO] 2012-12-15 18:53:04,993: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37556/
[rosmaster.master][INFO] 2012-12-15 18:53:04,995: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37556/
[rosmaster.master][INFO] 2012-12-15 18:53:04,999: +PUB [/rosout] /camera/rgb/debayer http://pc:43964/
[rosmaster.master][INFO] 2012-12-15 18:53:05,001: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:53:05,002: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:43964/
[rosmaster.master][INFO] 2012-12-15 18:53:05,005: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:43964/
[rosmaster.master][INFO] 2012-12-15 18:53:05,022: publisherUpdate[/rosout] -> http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:05,027: publisherUpdate[/rosout] -> http://pc:38739/
[rosmaster.master][INFO] 2012-12-15 18:53:05,036: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:40149/
[rosmaster.master][INFO] 2012-12-15 18:53:05,039: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:40149/
[rosmaster.master][INFO] 2012-12-15 18:53:05,043: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:40149/
[rosmaster.master][INFO] 2012-12-15 18:53:05,045: +PUB [/rosout] /camera/rgb/rectify_color http://pc:46451/
[rosmaster.master][INFO] 2012-12-15 18:53:05,047: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:46451/
[rosmaster.master][INFO] 2012-12-15 18:53:05,050: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:46451/
[rosmaster.master][INFO] 2012-12-15 18:53:05,069: +PUB [/rosout] /camera/ir/rectify_ir http://pc:48114/
[rosmaster.master][INFO] 2012-12-15 18:53:05,073: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:48114/
[rosmaster.master][INFO] 2012-12-15 18:53:05,075: +PUB [/rosout] /camera/depth/rectify_depth http://pc:58956/
