[rosmaster.main][INFO] 2012-12-14 17:21:14,057: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:21:14,057: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:21:14,059: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:21:14,060: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:21:14,060: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:21:14,061: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:21:14,082: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,086: +PARAM [/roslaunch/uris/host_pc__33219] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,116: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,116: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,116: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,116: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,116: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,117: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:21:14,123: +SERVICE [/rosout/get_loggers] /rosout http://pc:49439/
[rosmaster.master][INFO] 2012-12-14 17:21:14,124: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49439/
[rosmaster.master][INFO] 2012-12-14 17:21:14,127: +PUB [/rosout_agg] /rosout http://pc:49439/
[rosmaster.master][INFO] 2012-12-14 17:21:14,128: +SUB [/rosout] /rosout http://pc:49439/
[rosmaster.master][INFO] 2012-12-14 17:21:14,157: +PUB [/rosout] /camera/driver http://pc:59975/
[rosmaster.master][INFO] 2012-12-14 17:21:14,158: publisherUpdate[/rosout] -> http://pc:49439/
[rosmaster.master][INFO] 2012-12-14 17:21:14,164: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59975/
[rosmaster.master][INFO] 2012-12-14 17:21:14,167: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59975/
[rosmaster.master][INFO] 2012-12-14 17:21:14,168: +PUB [/rosout] /camera/rgb/debayer http://pc:52105/
[rosmaster.master][INFO] 2012-12-14 17:21:14,179: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:52105/
[rosmaster.master][INFO] 2012-12-14 17:21:14,189: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:21:14,191: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:52105/
[rosmaster.master][INFO] 2012-12-14 17:21:14,192: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58108/
[rosmaster.master][INFO] 2012-12-14 17:21:14,199: +PUB [/rosout] /camera/rgb/rectify_color http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 17:21:14,212: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:58108/
[rosmaster.master][INFO] 2012-12-14 17:21:14,214: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 17:21:14,221: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:58108/
[rosmaster.master][INFO] 2012-12-14 17:21:14,223: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 17:21:14,225: +PUB [/rosout] /camera/depth/rectify_depth http://pc:50620/
[rosmaster.master][INFO] 2012-12-14 17:21:14,227: +PUB [/rosout] /camera/ir/rectify_ir http://pc:40263/
[rosmaster.master][INFO] 2012-12-14 17:21:14,241: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:50620/
[rosmaster.master][INFO] 2012-12-14 17:21:14,243: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:40263/
