[rosmaster.main][INFO] 2012-12-14 17:28:24,412: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:28:24,412: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:28:24,413: XML-RPC server binding to 0.0.0.0
[rosmaster.master][INFO] 2012-12-14 17:28:24,415: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:28:24,414: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:28:24,415: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:28:24,426: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,429: +PARAM [/roslaunch/uris/host_pc__33711] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,461: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,461: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,461: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,462: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,462: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,463: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,463: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,464: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,464: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,464: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,465: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,465: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,466: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:28:24,467: +SERVICE [/rosout/get_loggers] /rosout http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,468: +SERVICE [/rosout/set_logger_level] /rosout http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,471: +PUB [/rosout_agg] /rosout http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,472: +SUB [/rosout] /rosout http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,503: +PUB [/rosout] /camera/driver http://pc:49025/
[rosmaster.master][INFO] 2012-12-14 17:28:24,505: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49025/
[rosmaster.master][INFO] 2012-12-14 17:28:24,506: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49025/
[rosmaster.master][INFO] 2012-12-14 17:28:24,512: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:28:24,513: publisherUpdate[/rosout] -> http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,516: +PUB [/rosout] /camera/rgb/debayer http://pc:34337/
[rosmaster.master][INFO] 2012-12-14 17:28:24,518: publisherUpdate[/rosout] -> http://pc:52705/
[rosmaster.master][INFO] 2012-12-14 17:28:24,520: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:34337/
[rosmaster.master][INFO] 2012-12-14 17:28:24,523: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:34337/
[rosmaster.master][INFO] 2012-12-14 17:28:24,547: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:36255/
[rosmaster.master][INFO] 2012-12-14 17:28:24,551: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:36255/
[rosmaster.master][INFO] 2012-12-14 17:28:24,557: +PUB [/rosout] /camera/rgb/rectify_color http://pc:55535/
[rosmaster.master][INFO] 2012-12-14 17:28:24,560: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:36255/
[rosmaster.master][INFO] 2012-12-14 17:28:24,562: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:55535/
[rosmaster.master][INFO] 2012-12-14 17:28:24,566: +PUB [/rosout] /camera/ir/rectify_ir http://pc:43431/
[rosmaster.master][INFO] 2012-12-14 17:28:24,568: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:55535/
[rosmaster.master][INFO] 2012-12-14 17:28:24,575: +PUB [/rosout] /camera/depth/rectify_depth http://pc:45663/
