[rosmaster.main][INFO] 2012-12-14 17:42:50,833: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:42:50,833: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:42:50,834: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:42:50,835: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:42:50,835: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:42:50,835: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:42:50,853: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,857: +PARAM [/roslaunch/uris/host_pc__57871] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,888: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,888: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,888: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,888: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,889: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,889: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,889: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,889: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,889: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,890: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,890: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,890: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,890: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:42:50,893: +SERVICE [/rosout/get_loggers] /rosout http://pc:47480/
[rosmaster.master][INFO] 2012-12-14 17:42:50,894: +SERVICE [/rosout/set_logger_level] /rosout http://pc:47480/
[rosmaster.master][INFO] 2012-12-14 17:42:50,896: +PUB [/rosout_agg] /rosout http://pc:47480/
