[rosmaster.main][INFO] 2012-12-15 17:56:04,034: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:56:04,034: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:56:04,035: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:56:04,036: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:56:04,036: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:56:04,037: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:56:04,147: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,153: +PARAM [/roslaunch/uris/host_pc__34840] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,174: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,175: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,175: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,175: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,176: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,176: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,177: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,177: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,177: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,177: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,178: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,178: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,178: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:04,180: +SERVICE [/rosout/get_loggers] /rosout http://pc:48917/
[rosmaster.master][INFO] 2012-12-15 17:56:04,181: +SERVICE [/rosout/set_logger_level] /rosout http://pc:48917/
[rosmaster.master][INFO] 2012-12-15 17:56:04,184: +PUB [/rosout_agg] /rosout http://pc:48917/
