[rosmaster.main][INFO] 2012-12-15 17:20:22,807: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:20:22,807: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:20:22,808: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:20:22,809: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:20:22,810: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:20:22,810: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:20:22,924: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,927: +PARAM [/roslaunch/uris/host_pc__60496] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,950: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,951: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,952: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,952: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,952: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,952: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,952: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:20:22,958: +SERVICE [/rosout/get_loggers] /rosout http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:22,960: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:22,963: +PUB [/rosout_agg] /rosout http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:22,971: +SUB [/rosout] /rosout http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:22,984: +PUB [/rosout] /camera/driver http://pc:41284/
[rosmaster.master][INFO] 2012-12-15 17:20:22,986: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:41284/
[rosmaster.master][INFO] 2012-12-15 17:20:22,988: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:41284/
[rosmaster.master][INFO] 2012-12-15 17:20:23,001: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:20:23,004: +PUB [/rosout] /camera/rgb/debayer http://pc:56899/
[rosmaster.master][INFO] 2012-12-15 17:20:23,008: publisherUpdate[/rosout] -> http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:23,022: publisherUpdate[/rosout] -> http://pc:36905/
[rosmaster.master][INFO] 2012-12-15 17:20:23,026: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:56899/
[rosmaster.master][INFO] 2012-12-15 17:20:23,035: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:56899/
[rosmaster.master][INFO] 2012-12-15 17:20:23,038: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:53754/
[rosmaster.master][INFO] 2012-12-15 17:20:23,043: +PUB [/rosout] /camera/rgb/rectify_color http://pc:34239/
[rosmaster.master][INFO] 2012-12-15 17:20:23,046: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:53754/
[rosmaster.master][INFO] 2012-12-15 17:20:23,049: +PUB [/rosout] /camera/ir/rectify_ir http://pc:54699/
[rosmaster.master][INFO] 2012-12-15 17:20:23,051: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:34239/
[rosmaster.master][INFO] 2012-12-15 17:20:23,056: +PUB [/rosout] /camera/depth/rectify_depth http://pc:54580/
[rosmaster.master][INFO] 2012-12-15 17:20:23,058: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:53754/
[rosmaster.master][INFO] 2012-12-15 17:20:23,061: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:54699/
[rosmaster.master][INFO] 2012-12-15 17:20:23,062: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:34239/
[rosmaster.master][INFO] 2012-12-15 17:20:23,064: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:54580/
[rosmaster.master][INFO] 2012-12-15 17:20:23,070: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:54699/
