[rosmaster.main][INFO] 2012-12-15 18:03:25,982: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:03:25,982: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:03:25,983: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:03:25,985: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:03:25,985: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:03:25,985: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:03:26,097: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,103: +PARAM [/roslaunch/uris/host_pc__53495] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,128: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,128: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,128: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,129: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,129: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,129: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,129: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,130: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,130: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,130: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,130: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,131: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,131: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:03:26,135: +SERVICE [/rosout/get_loggers] /rosout http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,137: +SERVICE [/rosout/set_logger_level] /rosout http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,140: +PUB [/rosout_agg] /rosout http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,143: +SUB [/rosout] /rosout http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,171: +PUB [/rosout] /camera/driver http://pc:59565/
[rosmaster.master][INFO] 2012-12-15 18:03:26,172: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59565/
[rosmaster.master][INFO] 2012-12-15 18:03:26,177: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59565/
[rosmaster.master][INFO] 2012-12-15 18:03:26,183: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,192: +PUB [/rosout] /camera/rgb/debayer http://pc:55349/
[rosmaster.master][INFO] 2012-12-15 18:03:26,195: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:55349/
[rosmaster.master][INFO] 2012-12-15 18:03:26,204: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:55349/
[rosmaster.master][INFO] 2012-12-15 18:03:26,207: +PUB [/rosout] /camera/rgb/rectify_color http://pc:53236/
[rosmaster.master][INFO] 2012-12-15 18:03:26,209: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:50548/
[rosmaster.master][INFO] 2012-12-15 18:03:26,219: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:53236/
[rosmaster.master][INFO] 2012-12-15 18:03:26,225: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:03:26,226: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:50548/
[rosmaster.master][INFO] 2012-12-15 18:03:26,230: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:53236/
[rosmaster.master][INFO] 2012-12-15 18:03:26,242: +PUB [/rosout] /camera/ir/rectify_ir http://pc:51720/
[rosmaster.master][INFO] 2012-12-15 18:03:26,247: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:50548/
[rosmaster.master][INFO] 2012-12-15 18:03:26,248: +PUB [/rosout] /camera/depth/rectify_depth http://pc:52074/
[rosmaster.master][INFO] 2012-12-15 18:03:26,249: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:51720/
[rosmaster.master][INFO] 2012-12-15 18:03:26,252: +PUB [/rosout] /camera/depth/metric_rect http://pc:59719/
[rosmaster.master][INFO] 2012-12-15 18:03:26,254: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:52074/
[rosmaster.master][INFO] 2012-12-15 18:03:26,257: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:51720/
[rosmaster.master][INFO] 2012-12-15 18:03:26,261: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:59719/
[rosmaster.master][INFO] 2012-12-15 18:03:26,263: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:52074/
[rosmaster.master][INFO] 2012-12-15 18:03:26,272: +PUB [/rosout] /camera/depth/metric http://pc:47935/
[rosmaster.master][INFO] 2012-12-15 18:03:26,277: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:59719/
[rosmaster.master][INFO] 2012-12-15 18:03:26,283: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,286: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,288: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,290: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:47935/
[rosmaster.master][INFO] 2012-12-15 18:03:26,296: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,298: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,299: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,300: publisherUpdate[/rosout] -> http://pc:53616/
[rosmaster.master][INFO] 2012-12-15 18:03:26,306: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:47935/
[rosmaster.master][INFO] 2012-12-15 18:03:26,311: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 18:03:26,326: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:34689/
[rosmaster.master][INFO] 2012-12-15 18:03:26,328: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:44207/
[rosmaster.master][INFO] 2012-12-15 18:03:26,330: +PUB [/rosout] /camera/depth_registered/metric http://pc:57194/
