[rosmaster.main][INFO] 2012-12-14 18:33:20,001: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 18:33:20,001: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 18:33:20,003: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 18:33:20,004: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 18:33:20,004: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 18:33:20,005: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 18:33:20,017: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,020: +PARAM [/roslaunch/uris/host_pc__59062] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,044: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,044: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,045: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,045: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,045: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,045: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,046: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,047: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:33:20,049: +SERVICE [/rosout/get_loggers] /rosout http://pc:38191/
[rosmaster.master][INFO] 2012-12-14 18:33:20,051: +SERVICE [/rosout/set_logger_level] /rosout http://pc:38191/
[rosmaster.master][INFO] 2012-12-14 18:33:20,053: +PUB [/rosout_agg] /rosout http://pc:38191/
[rosmaster.master][INFO] 2012-12-14 18:33:20,054: +SUB [/rosout] /rosout http://pc:38191/
[rosmaster.master][INFO] 2012-12-14 18:33:20,080: +PUB [/rosout] /camera/driver http://pc:35412/
[rosmaster.master][INFO] 2012-12-14 18:33:20,082: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:35412/
[rosmaster.master][INFO] 2012-12-14 18:33:20,084: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:35412/
[rosmaster.master][INFO] 2012-12-14 18:33:20,102: publisherUpdate[/rosout] -> http://pc:38191/
[rosmaster.master][INFO] 2012-12-14 18:33:20,105: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 18:33:20,115: +PUB [/rosout] /camera/rgb/debayer http://pc:45885/
[rosmaster.master][INFO] 2012-12-14 18:33:20,117: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 18:33:20,118: +PUB [/rosout] /camera/rgb/rectify_color http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 18:33:20,122: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:45885/
[rosmaster.master][INFO] 2012-12-14 18:33:20,123: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 18:33:20,125: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:45499/
[rosmaster.master][INFO] 2012-12-14 18:33:20,127: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:45885/
[rosmaster.master][INFO] 2012-12-14 18:33:20,128: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 18:33:20,130: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:45499/
