[rosmaster.main][INFO] 2012-12-14 20:49:29,255: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:49:29,255: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:49:29,256: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:49:29,257: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:49:29,257: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:49:29,258: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:49:29,272: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,276: +PARAM [/roslaunch/uris/host_pc__60744] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,300: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,300: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,300: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,300: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,300: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,301: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,302: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,302: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:49:29,305: +SERVICE [/rosout/get_loggers] /rosout http://pc:42824/
[rosmaster.master][INFO] 2012-12-14 20:49:29,306: +SERVICE [/rosout/set_logger_level] /rosout http://pc:42824/
[rosmaster.master][INFO] 2012-12-14 20:49:29,309: +PUB [/rosout_agg] /rosout http://pc:42824/
[rosmaster.master][INFO] 2012-12-14 20:49:29,310: +SUB [/rosout] /rosout http://pc:42824/
