[rosmaster.main][INFO] 2012-12-14 20:56:42,827: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:56:42,827: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:56:42,829: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:56:42,830: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:56:42,830: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:56:42,830: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:56:42,843: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,845: +PARAM [/roslaunch/uris/host_pc__34610] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,870: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,871: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,872: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,872: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,872: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,872: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,872: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:56:42,878: +SERVICE [/rosout/get_loggers] /rosout http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,880: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,883: +PUB [/rosout_agg] /rosout http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,885: +SUB [/rosout] /rosout http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,909: +PUB [/rosout] /camera/driver http://pc:52827/
[rosmaster.master][INFO] 2012-12-14 20:56:42,910: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:52827/
[rosmaster.master][INFO] 2012-12-14 20:56:42,912: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:52827/
[rosmaster.master][INFO] 2012-12-14 20:56:42,916: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:56:42,920: +PUB [/rosout] /camera/rgb/debayer http://pc:37432/
[rosmaster.master][INFO] 2012-12-14 20:56:42,922: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:37432/
[rosmaster.master][INFO] 2012-12-14 20:56:42,923: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:37432/
[rosmaster.master][INFO] 2012-12-14 20:56:42,928: publisherUpdate[/rosout] -> http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,931: publisherUpdate[/rosout] -> http://pc:49585/
[rosmaster.master][INFO] 2012-12-14 20:56:42,944: +PUB [/rosout] /camera/rgb/rectify_color http://pc:51778/
[rosmaster.master][INFO] 2012-12-14 20:56:42,954: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:51778/
[rosmaster.master][INFO] 2012-12-14 20:56:42,957: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:46092/
[rosmaster.master][INFO] 2012-12-14 20:56:42,959: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:51778/
[rosmaster.master][INFO] 2012-12-14 20:56:42,962: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:46092/
[rosmaster.master][INFO] 2012-12-14 20:56:42,976: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:46092/
[rosmaster.master][INFO] 2012-12-14 20:56:42,979: +PUB [/rosout] /camera/ir/rectify_ir http://pc:54526/
[rosmaster.master][INFO] 2012-12-14 20:56:42,985: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:54526/
