[rosmaster.main][INFO] 2012-12-15 19:43:58,038: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 19:43:58,038: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 19:43:58,040: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 19:43:58,041: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 19:43:58,041: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 19:43:58,041: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 19:43:58,147: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,151: +PARAM [/roslaunch/uris/host_pc__59000] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,180: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,181: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,182: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,182: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,182: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,182: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:43:58,189: +SERVICE [/rosout/get_loggers] /rosout http://pc:37724/
[rosmaster.master][INFO] 2012-12-15 19:43:58,191: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37724/
[rosmaster.master][INFO] 2012-12-15 19:43:58,195: +PUB [/rosout_agg] /rosout http://pc:37724/
[rosmaster.master][INFO] 2012-12-15 19:43:58,197: +SUB [/rosout] /rosout http://pc:37724/
[rosmaster.master][INFO] 2012-12-15 19:43:58,217: +PUB [/rosout] /camera/driver http://pc:54181/
[rosmaster.master][INFO] 2012-12-15 19:43:58,218: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:54181/
[rosmaster.master][INFO] 2012-12-15 19:43:58,220: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:54181/
[rosmaster.master][INFO] 2012-12-15 19:43:58,225: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 19:43:58,229: +PUB [/rosout] /camera/rgb/debayer http://pc:53700/
[rosmaster.master][INFO] 2012-12-15 19:43:58,231: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:53700/
[rosmaster.master][INFO] 2012-12-15 19:43:58,232: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:53700/
[rosmaster.master][INFO] 2012-12-15 19:43:58,245: publisherUpdate[/rosout] -> http://pc:37724/
[rosmaster.master][INFO] 2012-12-15 19:43:58,249: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:59311/
[rosmaster.master][INFO] 2012-12-15 19:43:58,251: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:59311/
