[rosmaster.main][INFO] 2012-12-14 20:42:25,174: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:42:25,175: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:42:25,176: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:42:25,177: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:42:25,177: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:42:25,178: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:42:25,190: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,193: +PARAM [/roslaunch/uris/host_pc__59723] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,222: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,223: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:42:25,232: +SERVICE [/rosout/get_loggers] /rosout http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,233: +SERVICE [/rosout/set_logger_level] /rosout http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,238: +PUB [/rosout_agg] /rosout http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,240: +SUB [/rosout] /rosout http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,259: +PUB [/rosout] /camera/driver http://pc:59476/
[rosmaster.master][INFO] 2012-12-14 20:42:25,261: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59476/
[rosmaster.master][INFO] 2012-12-14 20:42:25,262: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59476/
[rosmaster.master][INFO] 2012-12-14 20:42:25,269: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:42:25,271: +PUB [/rosout] /camera/rgb/debayer http://pc:39957/
[rosmaster.master][INFO] 2012-12-14 20:42:25,274: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:39957/
[rosmaster.master][INFO] 2012-12-14 20:42:25,275: publisherUpdate[/rosout] -> http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,277: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:39957/
[rosmaster.master][INFO] 2012-12-14 20:42:25,281: publisherUpdate[/rosout] -> http://pc:57020/
[rosmaster.master][INFO] 2012-12-14 20:42:25,289: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:50619/
