[rosmaster.main][INFO] 2012-12-15 18:10:55,783: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:10:55,783: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:10:55,784: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:10:55,785: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:10:55,786: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:10:55,786: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:10:55,901: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,906: +PARAM [/roslaunch/uris/host_pc__41358] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,929: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,929: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,929: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,929: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,930: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,930: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,930: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,930: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,931: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,932: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,932: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,933: +SERVICE [/rosout/get_loggers] /rosout http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,933: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,934: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:10:55,934: +SERVICE [/rosout/set_logger_level] /rosout http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,938: +PUB [/rosout_agg] /rosout http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,942: +SUB [/rosout] /rosout http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,972: +PUB [/rosout] /camera/driver http://pc:58498/
[rosmaster.master][INFO] 2012-12-15 18:10:55,974: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:58498/
[rosmaster.master][INFO] 2012-12-15 18:10:55,975: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:58498/
[rosmaster.master][INFO] 2012-12-15 18:10:55,982: +PUB [/rosout] /camera/rgb/debayer http://pc:35895/
[rosmaster.master][INFO] 2012-12-15 18:10:55,984: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,986: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:35895/
[rosmaster.master][INFO] 2012-12-15 18:10:55,987: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:55,990: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:10:55,992: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:35895/
[rosmaster.master][INFO] 2012-12-15 18:10:56,007: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:43066/
[rosmaster.master][INFO] 2012-12-15 18:10:56,015: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:43066/
[rosmaster.master][INFO] 2012-12-15 18:10:56,019: +PUB [/rosout] /camera/rgb/rectify_color http://pc:50771/
[rosmaster.master][INFO] 2012-12-15 18:10:56,022: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:50771/
[rosmaster.master][INFO] 2012-12-15 18:10:56,023: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:43066/
[rosmaster.master][INFO] 2012-12-15 18:10:56,024: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:50771/
[rosmaster.master][INFO] 2012-12-15 18:10:56,032: +PUB [/rosout] /camera/ir/rectify_ir http://pc:54190/
[rosmaster.master][INFO] 2012-12-15 18:10:56,045: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:54190/
[rosmaster.master][INFO] 2012-12-15 18:10:56,064: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:54190/
[rosmaster.master][INFO] 2012-12-15 18:10:56,066: +PUB [/rosout] /camera/depth/rectify_depth http://pc:42269/
[rosmaster.master][INFO] 2012-12-15 18:10:56,077: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:42269/
[rosmaster.master][INFO] 2012-12-15 18:10:56,079: +PUB [/rosout] /camera/depth/metric_rect http://pc:47357/
[rosmaster.master][INFO] 2012-12-15 18:10:56,082: +PUB [/rosout] /camera/depth/metric http://pc:50741/
[rosmaster.master][INFO] 2012-12-15 18:10:56,085: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:42269/
[rosmaster.master][INFO] 2012-12-15 18:10:56,085: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,087: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,089: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,092: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,093: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,094: publisherUpdate[/rosout] -> http://pc:56193/
[rosmaster.master][INFO] 2012-12-15 18:10:56,097: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:47357/
[rosmaster.master][INFO] 2012-12-15 18:10:56,099: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:50741/
[rosmaster.master][INFO] 2012-12-15 18:10:56,101: +PUB [/rosout] /camera/depth/points http://pc:55775/
[rosmaster.master][INFO] 2012-12-15 18:10:56,110: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:47357/
