[rosmaster.main][INFO] 2012-12-15 17:56:47,126: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:56:47,126: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:56:47,127: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:56:47,128: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:56:47,128: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:56:47,128: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:56:47,142: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,147: +PARAM [/roslaunch/uris/host_pc__46384] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,170: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,170: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,171: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,171: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,171: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,171: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,171: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,172: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,172: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,172: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,172: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,173: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,173: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:56:47,176: +SERVICE [/rosout/get_loggers] /rosout http://pc:45537/
[rosmaster.master][INFO] 2012-12-15 17:56:47,178: +SERVICE [/rosout/set_logger_level] /rosout http://pc:45537/
[rosmaster.master][INFO] 2012-12-15 17:56:47,181: +PUB [/rosout_agg] /rosout http://pc:45537/
[rosmaster.master][INFO] 2012-12-15 17:56:47,183: +SUB [/rosout] /rosout http://pc:45537/
[rosmaster.master][INFO] 2012-12-15 17:56:47,208: +PUB [/rosout] /camera/driver http://pc:34580/
[rosmaster.master][INFO] 2012-12-15 17:56:47,211: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:34580/
