[rosmaster.main][INFO] 2012-12-15 18:04:00,921: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:04:00,921: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:04:00,922: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:04:00,923: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:04:00,923: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:04:00,924: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:04:01,038: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,042: +PARAM [/roslaunch/uris/host_pc__52459] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,068: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,068: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,068: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,068: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,068: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,069: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,069: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,069: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,069: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,069: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,070: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,070: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,070: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:01,075: +SERVICE [/rosout/get_loggers] /rosout http://pc:49031/
[rosmaster.master][INFO] 2012-12-15 18:04:01,076: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49031/
[rosmaster.master][INFO] 2012-12-15 18:04:01,080: +PUB [/rosout_agg] /rosout http://pc:49031/
[rosmaster.master][INFO] 2012-12-15 18:04:01,081: +SUB [/rosout] /rosout http://pc:49031/
[rosmaster.master][INFO] 2012-12-15 18:04:01,117: +PUB [/rosout] /camera/driver http://pc:42966/
[rosmaster.master][INFO] 2012-12-15 18:04:01,119: +PUB [/rosout] /camera/rgb/debayer http://pc:54979/
[rosmaster.master][INFO] 2012-12-15 18:04:01,121: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:54979/
[rosmaster.master][INFO] 2012-12-15 18:04:01,122: publisherUpdate[/rosout] -> http://pc:49031/
[rosmaster.master][INFO] 2012-12-15 18:04:01,124: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:42966/
[rosmaster.master][INFO] 2012-12-15 18:04:01,126: publisherUpdate[/rosout] -> http://pc:49031/
