[rosmaster.main][INFO] 2012-12-14 17:22:16,673: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:22:16,673: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:22:16,674: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:22:16,675: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:22:16,676: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:22:16,676: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:22:16,686: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,689: +PARAM [/roslaunch/uris/host_pc__47442] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,713: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,714: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,714: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,714: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,716: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,716: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,716: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,716: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,717: +SERVICE [/rosout/get_loggers] /rosout http://pc:46418/
[rosmaster.master][INFO] 2012-12-14 17:22:16,717: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,718: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,719: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,719: +SERVICE [/rosout/set_logger_level] /rosout http://pc:46418/
[rosmaster.master][INFO] 2012-12-14 17:22:16,719: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,720: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:22:16,723: +PUB [/rosout_agg] /rosout http://pc:46418/
[rosmaster.master][INFO] 2012-12-14 17:22:16,724: +SUB [/rosout] /rosout http://pc:46418/
[rosmaster.master][INFO] 2012-12-14 17:22:16,753: +PUB [/rosout] /camera/driver http://pc:39488/
[rosmaster.master][INFO] 2012-12-14 17:22:16,755: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:39488/
[rosmaster.master][INFO] 2012-12-14 17:22:16,758: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:39488/
[rosmaster.master][INFO] 2012-12-14 17:22:16,763: +PARAM [/camera/driver] by /camera/driver
