[rosmaster.main][INFO] 2012-12-15 18:54:13,226: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:54:13,226: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:54:13,227: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:54:13,228: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:54:13,229: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:54:13,229: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:54:13,339: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,343: +PARAM [/roslaunch/uris/host_pc__36328] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,373: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,373: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,373: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,373: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,374: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,374: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,374: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,374: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,374: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,375: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,375: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,375: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,375: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:54:13,379: +SERVICE [/rosout/get_loggers] /rosout http://pc:37346/
[rosmaster.master][INFO] 2012-12-15 18:54:13,380: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37346/
[rosmaster.master][INFO] 2012-12-15 18:54:13,385: +PUB [/rosout_agg] /rosout http://pc:37346/
[rosmaster.master][INFO] 2012-12-15 18:54:13,387: +SUB [/rosout] /rosout http://pc:37346/
[rosmaster.master][INFO] 2012-12-15 18:54:13,410: +PUB [/rosout] /camera/driver http://pc:43706/
