[rosmaster.main][INFO] 2012-12-15 17:14:11,481: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:14:11,481: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:14:11,482: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:14:11,483: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:14:11,483: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:14:11,483: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:14:11,498: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,501: +PARAM [/roslaunch/uris/host_pc__33843] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,529: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,529: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,529: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,529: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,530: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,530: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,530: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,530: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,530: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,531: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,531: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,531: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,531: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:11,534: +SERVICE [/rosout/get_loggers] /rosout http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,535: +SERVICE [/rosout/set_logger_level] /rosout http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,537: +PUB [/rosout_agg] /rosout http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,538: +SUB [/rosout] /rosout http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,565: +PUB [/rosout] /camera/driver http://pc:36441/
[rosmaster.master][INFO] 2012-12-15 17:14:11,566: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:36441/
[rosmaster.master][INFO] 2012-12-15 17:14:11,568: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:36441/
[rosmaster.master][INFO] 2012-12-15 17:14:11,573: +PUB [/rosout] /camera/rgb/debayer http://pc:34013/
[rosmaster.master][INFO] 2012-12-15 17:14:11,575: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:34013/
[rosmaster.master][INFO] 2012-12-15 17:14:11,576: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:14:11,579: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:34013/
[rosmaster.master][INFO] 2012-12-15 17:14:11,581: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,585: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,591: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:42740/
[rosmaster.master][INFO] 2012-12-15 17:14:11,593: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:42740/
[rosmaster.master][INFO] 2012-12-15 17:14:11,599: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:42740/
[rosmaster.master][INFO] 2012-12-15 17:14:11,612: +PUB [/rosout] /camera/rgb/rectify_color http://pc:34097/
[rosmaster.master][INFO] 2012-12-15 17:14:11,616: +PUB [/rosout] /camera/ir/rectify_ir http://pc:59574/
[rosmaster.master][INFO] 2012-12-15 17:14:11,623: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:34097/
[rosmaster.master][INFO] 2012-12-15 17:14:11,631: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:59574/
[rosmaster.master][INFO] 2012-12-15 17:14:11,632: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:34097/
[rosmaster.master][INFO] 2012-12-15 17:14:11,634: +PUB [/rosout] /camera/depth/rectify_depth http://pc:36118/
[rosmaster.master][INFO] 2012-12-15 17:14:11,643: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:59574/
[rosmaster.master][INFO] 2012-12-15 17:14:11,650: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:36118/
[rosmaster.master][INFO] 2012-12-15 17:14:11,661: +PUB [/rosout] /camera/depth/metric_rect http://pc:34352/
[rosmaster.master][INFO] 2012-12-15 17:14:11,663: +PUB [/rosout] /camera/depth/metric http://pc:55806/
[rosmaster.master][INFO] 2012-12-15 17:14:11,663: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:36118/
[rosmaster.master][INFO] 2012-12-15 17:14:11,667: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:34352/
[rosmaster.master][INFO] 2012-12-15 17:14:11,668: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:55806/
[rosmaster.master][INFO] 2012-12-15 17:14:11,671: +PUB [/rosout] /camera/register_depth_rgb http://pc:50743/
[rosmaster.master][INFO] 2012-12-15 17:14:11,674: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:34352/
[rosmaster.master][INFO] 2012-12-15 17:14:11,675: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:55806/
[rosmaster.master][INFO] 2012-12-15 17:14:11,677: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:50743/
[rosmaster.master][INFO] 2012-12-15 17:14:11,687: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,688: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,689: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:14:11,690: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:50743/
[rosmaster.master][INFO] 2012-12-15 17:14:11,690: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,692: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,694: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,695: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,696: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,711: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:42610/
[rosmaster.master][INFO] 2012-12-15 17:14:11,718: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:37127/
[rosmaster.master][INFO] 2012-12-15 17:14:11,720: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:42610/
[rosmaster.master][INFO] 2012-12-15 17:14:11,726: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:37127/
[rosmaster.master][INFO] 2012-12-15 17:14:11,729: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:42610/
[rosmaster.master][INFO] 2012-12-15 17:14:11,734: +PUB [/rosout] /camera/depth_registered/metric http://pc:44215/
[rosmaster.master][INFO] 2012-12-15 17:14:11,742: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:37127/
[rosmaster.master][INFO] 2012-12-15 17:14:11,746: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:36457/
[rosmaster.master][INFO] 2012-12-15 17:14:11,762: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:36457/
[rosmaster.master][INFO] 2012-12-15 17:14:11,766: +PUB [/rosout] /camera/disparity_depth http://pc:53940/
[rosmaster.master][INFO] 2012-12-15 17:14:11,772: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:36457/
[rosmaster.master][INFO] 2012-12-15 17:14:11,779: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:53940/
[rosmaster.master][INFO] 2012-12-15 17:14:11,788: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,789: +PUB [/rosout] /camera_base_link http://pc:48290/
[rosmaster.master][INFO] 2012-12-15 17:14:11,795: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,809: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:53940/
[rosmaster.master][INFO] 2012-12-15 17:14:11,811: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,812: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,814: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,816: publisherUpdate[/rosout] -> http://pc:35108/
[rosmaster.master][INFO] 2012-12-15 17:14:11,823: +PUB [/rosout] /camera_base_link3 http://pc:44615/
[rosmaster.master][INFO] 2012-12-15 17:14:11,825: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:44615/
[rosmaster.master][INFO] 2012-12-15 17:14:11,826: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:44615/
[rosmaster.master][INFO] 2012-12-15 17:14:11,829: +PUB [/tf] /camera_base_link3 http://pc:44615/
[rosmaster.master][INFO] 2012-12-15 17:14:11,869: +PUB [/rosout] /camera/depth/points http://pc:54920/
[rosmaster.master][INFO] 2012-12-15 17:14:11,870: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:54920/
