[rosmaster.main][INFO] 2012-12-14 16:32:33,027: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 16:32:33,028: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 16:32:33,029: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 16:32:33,031: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 16:32:33,031: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 16:32:33,031: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 16:32:33,104: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,110: +PARAM [/roslaunch/uris/host_pc__60844] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,160: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,160: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,161: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,161: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,161: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,162: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,163: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,163: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,163: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,164: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,164: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,165: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:33,165: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:32:34,005: +PUB [/rosout] /camera_base_link http://pc:39872/
[rosmaster.master][INFO] 2012-12-14 16:32:34,006: +PUB [/rosout] /camera_base_link2 http://pc:49813/
[rosmaster.master][INFO] 2012-12-14 16:32:34,007: +PUB [/rosout] /camera_base_link3 http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,009: +SERVICE [/rosout/get_loggers] /rosout http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,010: +PUB [/rosout] /camera_base_link1 http://pc:58502/
[rosmaster.master][INFO] 2012-12-14 16:32:34,011: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:39872/
[rosmaster.master][INFO] 2012-12-14 16:32:34,013: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:49813/
[rosmaster.master][INFO] 2012-12-14 16:32:34,015: +SERVICE [/rosout/set_logger_level] /rosout http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,015: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,017: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:58502/
[rosmaster.master][INFO] 2012-12-14 16:32:34,019: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:39872/
[rosmaster.master][INFO] 2012-12-14 16:32:34,020: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:49813/
[rosmaster.master][INFO] 2012-12-14 16:32:34,022: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,023: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:58502/
[rosmaster.master][INFO] 2012-12-14 16:32:34,025: +PUB [/rosout_agg] /rosout http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,029: +PUB [/tf] /camera_base_link http://pc:39872/
[rosmaster.master][INFO] 2012-12-14 16:32:34,032: +SUB [/rosout] /rosout http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,035: +PUB [/tf] /camera_base_link2 http://pc:49813/
[rosmaster.master][INFO] 2012-12-14 16:32:34,037: +PUB [/tf] /camera_base_link3 http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,038: +PUB [/tf] /camera_base_link1 http://pc:58502/
[rosmaster.master][INFO] 2012-12-14 16:32:34,129: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:46433/
[rosmaster.master][INFO] 2012-12-14 16:32:34,130: +PUB [/rosout] /camera/rgb/rectify_color http://pc:48101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,131: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,133: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:37551/
[rosmaster.master][INFO] 2012-12-14 16:32:34,135: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,135: +PUB [/rosout] /camera/depth/rectify_depth http://pc:41602/
[rosmaster.master][INFO] 2012-12-14 16:32:34,137: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,138: +PUB [/rosout] /camera/disparity_depth http://pc:59338/
[rosmaster.master][INFO] 2012-12-14 16:32:34,140: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,141: +PUB [/rosout] /camera/driver http://pc:45182/
[rosmaster.master][INFO] 2012-12-14 16:32:34,142: +PUB [/rosout] /camera/register_depth_rgb http://pc:49120/
[rosmaster.master][INFO] 2012-12-14 16:32:34,143: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,144: +PUB [/rosout] /camera/ir/rectify_ir http://pc:55323/
[rosmaster.master][INFO] 2012-12-14 16:32:34,146: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,146: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:46433/
[rosmaster.master][INFO] 2012-12-14 16:32:34,149: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,150: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:48101/
[rosmaster.master][INFO] 2012-12-14 16:32:34,155: publisherUpdate[/rosout] -> http://pc:33380/
[rosmaster.master][INFO] 2012-12-14 16:32:34,157: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:41602/
[rosmaster.master][INFO] 2012-12-14 16:32:34,157: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:59338/
[rosmaster.master][INFO] 2012-12-14 16:32:34,159: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:45182/
[rosmaster.master][INFO] 2012-12-14 16:32:34,161: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:49120/
[rosmaster.master][INFO] 2012-12-14 16:32:34,164: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:55323/
[rosmaster.master][INFO] 2012-12-14 16:32:34,166: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:46433/
[rosmaster.master][INFO] 2012-12-14 16:32:34,166: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:48101/
