[rosmaster.main][INFO] 2012-12-15 18:04:29,824: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:04:29,824: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:04:29,825: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:04:29,826: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:04:29,827: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:04:29,827: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:04:29,839: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,842: +PARAM [/roslaunch/uris/host_pc__36414] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,866: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,866: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,867: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,868: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,869: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,869: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:04:29,872: +SERVICE [/rosout/get_loggers] /rosout http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,874: +SERVICE [/rosout/set_logger_level] /rosout http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,877: +PUB [/rosout_agg] /rosout http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,885: +SUB [/rosout] /rosout http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,910: +PUB [/rosout] /camera/driver http://pc:37395/
[rosmaster.master][INFO] 2012-12-15 18:04:29,916: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37395/
[rosmaster.master][INFO] 2012-12-15 18:04:29,918: +PUB [/rosout] /camera/rgb/debayer http://pc:35800/
[rosmaster.master][INFO] 2012-12-15 18:04:29,920: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37395/
[rosmaster.master][INFO] 2012-12-15 18:04:29,921: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:35800/
[rosmaster.master][INFO] 2012-12-15 18:04:29,925: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,936: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:56192/
[rosmaster.master][INFO] 2012-12-15 18:04:29,939: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,941: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:35800/
[rosmaster.master][INFO] 2012-12-15 18:04:29,945: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:04:29,947: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:56192/
[rosmaster.master][INFO] 2012-12-15 18:04:29,949: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:29,952: +PUB [/rosout] /camera/rgb/rectify_color http://pc:33075/
[rosmaster.master][INFO] 2012-12-15 18:04:29,954: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:56192/
[rosmaster.master][INFO] 2012-12-15 18:04:29,956: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:33075/
[rosmaster.master][INFO] 2012-12-15 18:04:29,961: +PUB [/rosout] /camera/ir/rectify_ir http://pc:47295/
[rosmaster.master][INFO] 2012-12-15 18:04:29,982: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:33075/
[rosmaster.master][INFO] 2012-12-15 18:04:29,983: +PUB [/rosout] /camera/depth/rectify_depth http://pc:47485/
[rosmaster.master][INFO] 2012-12-15 18:04:29,988: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:47295/
[rosmaster.master][INFO] 2012-12-15 18:04:29,996: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:47295/
[rosmaster.master][INFO] 2012-12-15 18:04:30,000: +PUB [/rosout] /camera/depth/metric_rect http://pc:36448/
[rosmaster.master][INFO] 2012-12-15 18:04:30,011: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:47485/
[rosmaster.master][INFO] 2012-12-15 18:04:30,015: +PUB [/rosout] /camera/depth/points http://pc:60887/
[rosmaster.master][INFO] 2012-12-15 18:04:30,016: +PUB [/rosout] /camera/depth/metric http://pc:49626/
[rosmaster.master][INFO] 2012-12-15 18:04:30,024: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:36448/
[rosmaster.master][INFO] 2012-12-15 18:04:30,027: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,029: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,030: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,031: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,032: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,034: publisherUpdate[/rosout] -> http://pc:56782/
[rosmaster.master][INFO] 2012-12-15 18:04:30,042: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:60887/
[rosmaster.master][INFO] 2012-12-15 18:04:30,043: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:49626/
[rosmaster.master][INFO] 2012-12-15 18:04:30,045: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:36448/
