[rosmaster.main][INFO] 2012-12-14 17:44:16,110: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:44:16,110: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:44:16,112: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:44:16,113: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:44:16,113: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:44:16,113: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:44:16,127: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,131: +PARAM [/roslaunch/uris/host_pc__50170] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,154: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,154: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,154: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,155: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,156: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:44:16,162: +SERVICE [/rosout/get_loggers] /rosout http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,164: +SERVICE [/rosout/set_logger_level] /rosout http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,167: +PUB [/rosout_agg] /rosout http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,169: +SUB [/rosout] /rosout http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,191: +PUB [/rosout] /camera/driver http://pc:60875/
[rosmaster.master][INFO] 2012-12-14 17:44:16,192: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:60875/
[rosmaster.master][INFO] 2012-12-14 17:44:16,199: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:60875/
[rosmaster.master][INFO] 2012-12-14 17:44:16,211: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,215: +PUB [/rosout] /camera/rgb/debayer http://pc:55678/
[rosmaster.master][INFO] 2012-12-14 17:44:16,222: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,226: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:55678/
[rosmaster.master][INFO] 2012-12-14 17:44:16,235: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:44:16,239: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:41357/
[rosmaster.master][INFO] 2012-12-14 17:44:16,243: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:55678/
[rosmaster.master][INFO] 2012-12-14 17:44:16,245: +PUB [/rosout] /camera/rgb/rectify_color http://pc:55714/
[rosmaster.master][INFO] 2012-12-14 17:44:16,249: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:41357/
[rosmaster.master][INFO] 2012-12-14 17:44:16,253: +PUB [/rosout] /camera/ir/rectify_ir http://pc:49268/
[rosmaster.master][INFO] 2012-12-14 17:44:16,254: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:55714/
[rosmaster.master][INFO] 2012-12-14 17:44:16,266: +PUB [/rosout] /camera/depth/rectify_depth http://pc:44436/
[rosmaster.master][INFO] 2012-12-14 17:44:16,268: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:55714/
[rosmaster.master][INFO] 2012-12-14 17:44:16,270: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:41357/
[rosmaster.master][INFO] 2012-12-14 17:44:16,271: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:49268/
[rosmaster.master][INFO] 2012-12-14 17:44:16,280: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:44436/
[rosmaster.master][INFO] 2012-12-14 17:44:16,292: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:49268/
[rosmaster.master][INFO] 2012-12-14 17:44:16,294: +PUB [/rosout] /camera/depth/metric_rect http://pc:35580/
[rosmaster.master][INFO] 2012-12-14 17:44:16,300: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:44436/
[rosmaster.master][INFO] 2012-12-14 17:44:16,306: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:35580/
[rosmaster.master][INFO] 2012-12-14 17:44:16,313: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,316: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,318: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,321: +PUB [/rosout] /camera/register_depth_rgb http://pc:53706/
[rosmaster.master][INFO] 2012-12-14 17:44:16,322: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,328: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,329: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,331: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:35580/
[rosmaster.master][INFO] 2012-12-14 17:44:16,347: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:53706/
[rosmaster.master][INFO] 2012-12-14 17:44:16,359: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:34169/
[rosmaster.master][INFO] 2012-12-14 17:44:16,361: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:53706/
[rosmaster.master][INFO] 2012-12-14 17:44:16,364: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 17:44:16,367: +PUB [/rosout] /camera/depth_registered/metric http://pc:49758/
[rosmaster.master][INFO] 2012-12-14 17:44:16,368: +PUB [/rosout] /camera/disparity_depth_registered http://pc:54371/
[rosmaster.master][INFO] 2012-12-14 17:44:16,370: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:34169/
[rosmaster.master][INFO] 2012-12-14 17:44:16,384: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:54371/
[rosmaster.master][INFO] 2012-12-14 17:44:16,391: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:34169/
[rosmaster.master][INFO] 2012-12-14 17:44:16,392: +PUB [/rosout] /camera_base_link http://pc:50209/
[rosmaster.master][INFO] 2012-12-14 17:44:16,403: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:54371/
[rosmaster.master][INFO] 2012-12-14 17:44:16,409: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:50209/
[rosmaster.master][INFO] 2012-12-14 17:44:16,415: +PUB [/rosout] /camera_base_link2 http://pc:57392/
[rosmaster.master][INFO] 2012-12-14 17:44:16,418: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,421: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,423: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,424: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,425: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,428: +PUB [/rosout] /camera_base_link3 http://pc:41351/
[rosmaster.master][INFO] 2012-12-14 17:44:16,429: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,431: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:50209/
[rosmaster.master][INFO] 2012-12-14 17:44:16,441: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:57392/
[rosmaster.master][INFO] 2012-12-14 17:44:16,445: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-14 17:44:16,447: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:41351/
[rosmaster.master][INFO] 2012-12-14 17:44:16,449: +PUB [/tf] /camera_base_link http://pc:50209/
[rosmaster.master][INFO] 2012-12-14 17:44:16,450: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:57392/
[rosmaster.master][INFO] 2012-12-14 17:44:16,453: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:41351/
[rosmaster.master][INFO] 2012-12-14 17:44:16,459: +PUB [/tf] /camera_base_link2 http://pc:57392/
[rosmaster.master][INFO] 2012-12-14 17:44:16,462: +PUB [/tf] /camera_base_link3 http://pc:41351/
[rosmaster.master][INFO] 2012-12-14 17:44:16,489: +PUB [/rosout] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,490: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,492: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,494: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,495: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,497: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,527: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,603: +PUB [/rosout] /camera/depth/metric http://pc:49909/
[rosmaster.master][INFO] 2012-12-14 17:44:16,604: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:49909/
[rosmaster.master][INFO] 2012-12-14 17:44:16,605: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:49909/
[rosmaster.master][INFO] 2012-12-14 17:44:16,611: +PUB [/rosout] /camera/depth/points http://pc:47877/
[rosmaster.master][INFO] 2012-12-14 17:44:16,614: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:47877/
[rosmaster.master][INFO] 2012-12-14 17:44:16,617: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:47877/
[rosmaster.master][INFO] 2012-12-14 17:44:16,638: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,640: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,783: +SERVICE [/camera/rgb/debayer/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,784: +PUB [/camera/rgb/debayer/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,785: +PUB [/camera/rgb/debayer/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,787: +PARAM [/camera/rgb/debayer/debayer] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,793: +PUB [/camera/rgb/image_mono/compressed] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,794: +SERVICE [/camera/rgb/image_mono/compressed/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,795: +PUB [/camera/rgb/image_mono/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,796: +PUB [/camera/rgb/image_mono/compressed/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,799: +PARAM [/camera/rgb/image_mono/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,801: +PARAM [/camera/rgb/image_mono/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,802: +PARAM [/camera/rgb/image_mono/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,804: +PUB [/camera/rgb/image_mono] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,807: +PUB [/camera/rgb/image_mono/theora] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,809: +SERVICE [/camera/rgb/image_mono/theora/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,810: +PUB [/camera/rgb/image_mono/theora/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,811: +PUB [/camera/rgb/image_mono/theora/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,815: +PARAM [/camera/rgb/image_mono/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,816: +PARAM [/camera/rgb/image_mono/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,817: +PARAM [/camera/rgb/image_mono/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,818: +PARAM [/camera/rgb/image_mono/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,819: +PUB [/camera/rgb/image_color/compressed] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,820: +SERVICE [/camera/rgb/image_color/compressed/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,821: +PUB [/camera/rgb/image_color/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,822: +PUB [/camera/rgb/image_color/compressed/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,825: +PARAM [/camera/rgb/image_color/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,826: +PARAM [/camera/rgb/image_color/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,827: +PARAM [/camera/rgb/image_color/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,828: +PUB [/camera/rgb/image_color] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,829: +PUB [/rosout] /set_dr http://pc:54592/
[rosmaster.master][INFO] 2012-12-14 17:44:16,830: +PUB [/camera/rgb/image_color/theora] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,832: +SERVICE [/camera/rgb/image_color/theora/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,833: +PUB [/camera/rgb/image_color/theora/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,835: +PUB [/camera/rgb/image_color/theora/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:16,839: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:16,841: +PARAM [/camera/rgb/image_color/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,842: +PARAM [/camera/rgb/image_color/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,843: +PARAM [/camera/rgb/image_color/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:16,844: +PARAM [/camera/rgb/image_color/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,069: +SERVICE [/camera/ir/rectify_ir/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,071: +PUB [/camera/ir/rectify_ir/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,072: +PUB [/camera/ir/rectify_ir/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,075: +PARAM [/camera/ir/rectify_ir/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,077: +PUB [/camera/ir/image_rect/compressed] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,079: +SERVICE [/camera/ir/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,082: +PUB [/camera/ir/image_rect/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,084: +PUB [/camera/ir/image_rect/compressed/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,092: +PARAM [/camera/ir/image_rect/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,094: +PARAM [/camera/ir/image_rect/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,096: +PARAM [/camera/ir/image_rect/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,099: +PUB [/camera/ir/image_rect] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,102: +PUB [/camera/ir/image_rect/theora] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,104: +SERVICE [/camera/ir/image_rect/theora/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,106: +PUB [/camera/ir/image_rect/theora/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,109: +PUB [/camera/ir/image_rect/theora/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,119: +PARAM [/camera/ir/image_rect/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,121: +PARAM [/camera/ir/image_rect/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,123: +PARAM [/camera/ir/image_rect/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,125: +PARAM [/camera/ir/image_rect/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,194: +PUB [/rosout] /depth_detection http://pc:43273/
[rosmaster.master][INFO] 2012-12-14 17:44:17,215: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:43273/
[rosmaster.master][INFO] 2012-12-14 17:44:17,217: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:43273/
[rosmaster.master][INFO] 2012-12-14 17:44:17,241: publisherUpdate[/rosout] -> http://pc:50828/
[rosmaster.master][INFO] 2012-12-14 17:44:17,417: +PUB [/camera/depth_registered/disparity] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,684: +SERVICE [/camera/depth/rectify_depth/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,687: +PUB [/camera/depth/rectify_depth/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,689: +PUB [/camera/depth/rectify_depth/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,693: +PARAM [/camera/depth/rectify_depth/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,696: +PUB [/camera/depth/image_rect_raw/compressed] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,699: +SERVICE [/camera/depth/image_rect_raw/compressed/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,702: +PUB [/camera/depth/image_rect_raw/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,704: +PUB [/camera/depth/image_rect_raw/compressed/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,712: +PARAM [/camera/depth/image_rect_raw/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,715: +PARAM [/camera/depth/image_rect_raw/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,717: +PARAM [/camera/depth/image_rect_raw/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,720: +PUB [/camera/depth/image_rect_raw] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,723: +PUB [/camera/depth/image_rect_raw/theora] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,726: +SERVICE [/camera/depth/image_rect_raw/theora/set_parameters] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,728: +PUB [/camera/depth/image_rect_raw/theora/parameter_descriptions] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,731: +PUB [/camera/depth/image_rect_raw/theora/parameter_updates] /camera_nodelet_manager http://pc:50145/
[rosmaster.master][INFO] 2012-12-14 17:44:17,741: +PARAM [/camera/depth/image_rect_raw/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,745: +PARAM [/camera/depth/image_rect_raw/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 17:44:17,749: +PARAM [/camera/depth/image_rect_raw/theora/quality] by /camera_nodelet_manager
