[rosmaster.main][INFO] 2012-12-14 14:45:19,750: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:45:19,750: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:45:19,751: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:45:19,751: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:45:19,751: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:45:19,751: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:45:19,863: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,867: +PARAM [/roslaunch/uris/host_pc__38397] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,896: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,896: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,897: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,898: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,898: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,899: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,899: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:45:19,901: +SERVICE [/rosout/get_loggers] /rosout http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,902: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,905: +PUB [/rosout_agg] /rosout http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,907: +SUB [/rosout] /rosout http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,939: +PUB [/rosout] /camera/driver http://pc:59649/
[rosmaster.master][INFO] 2012-12-14 14:45:19,943: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59649/
[rosmaster.master][INFO] 2012-12-14 14:45:19,944: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59649/
[rosmaster.master][INFO] 2012-12-14 14:45:19,949: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 14:45:19,950: +PUB [/rosout] /camera/rgb/debayer http://pc:42300/
[rosmaster.master][INFO] 2012-12-14 14:45:19,952: publisherUpdate[/rosout] -> http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,961: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:42300/
[rosmaster.master][INFO] 2012-12-14 14:45:19,962: publisherUpdate[/rosout] -> http://pc:37606/
[rosmaster.master][INFO] 2012-12-14 14:45:19,964: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:42300/
[rosmaster.master][INFO] 2012-12-14 14:45:19,967: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:54791/
[rosmaster.master][INFO] 2012-12-14 14:45:19,969: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:54791/
[rosmaster.master][INFO] 2012-12-14 14:45:19,970: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:54791/
[rosmaster.master][INFO] 2012-12-14 14:45:19,986: +PUB [/rosout] /camera/rgb/rectify_color http://pc:34178/
[rosmaster.master][INFO] 2012-12-14 14:45:19,998: +PUB [/rosout] /camera/ir/rectify_ir http://pc:41715/
[rosmaster.master][INFO] 2012-12-14 14:45:20,000: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:34178/
