[rosmaster.main][INFO] 2012-12-14 17:29:59,814: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:29:59,814: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:29:59,816: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:29:59,817: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:29:59,817: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:29:59,818: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:29:59,829: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,833: +PARAM [/roslaunch/uris/host_pc__34413] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,863: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,864: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,865: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,865: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,866: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,866: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,866: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,867: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,867: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,867: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,867: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,867: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,868: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:29:59,871: +SERVICE [/rosout/get_loggers] /rosout http://pc:50852/
