[rosmaster.main][INFO] 2012-12-14 15:21:17,337: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 15:21:17,338: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 15:21:17,339: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 15:21:17,340: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 15:21:17,341: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 15:21:17,341: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 15:21:17,355: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,360: +PARAM [/roslaunch/uris/host_pc__48084] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,387: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,387: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,387: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,387: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,388: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:17,389: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 15:21:18,134: +PUB [/rosout] /camera/depth/points http://pc:33430/
[rosmaster.master][INFO] 2012-12-14 15:21:18,135: +SERVICE [/rosout/get_loggers] /rosout http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:18,136: +PUB [/rosout] /camera_base_link http://pc:37864/
[rosmaster.master][INFO] 2012-12-14 15:21:18,137: +PUB [/rosout] /camera/register_depth_rgb http://pc:33706/
[rosmaster.master][INFO] 2012-12-14 15:21:18,137: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 15:21:18,138: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:59230/
[rosmaster.master][INFO] 2012-12-14 15:21:18,139: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:58630/
[rosmaster.master][INFO] 2012-12-14 15:21:18,140: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:33430/
[rosmaster.master][INFO] 2012-12-14 15:21:18,141: +SERVICE [/rosout/set_logger_level] /rosout http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:18,143: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:37864/
[rosmaster.master][INFO] 2012-12-14 15:21:18,146: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:33706/
[rosmaster.master][INFO] 2012-12-14 15:21:18,148: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 15:21:18,148: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:59230/
[rosmaster.master][INFO] 2012-12-14 15:21:18,150: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:58630/
[rosmaster.master][INFO] 2012-12-14 15:21:18,150: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:33430/
[rosmaster.master][INFO] 2012-12-14 15:21:18,154: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:33706/
[rosmaster.master][INFO] 2012-12-14 15:21:18,156: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:37864/
[rosmaster.master][INFO] 2012-12-14 15:21:18,156: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:32914/
[rosmaster.master][INFO] 2012-12-14 15:21:18,157: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:59230/
[rosmaster.master][INFO] 2012-12-14 15:21:18,160: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:58630/
[rosmaster.master][INFO] 2012-12-14 15:21:18,162: +PUB [/rosout_agg] /rosout http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:18,170: +PUB [/tf] /camera_base_link http://pc:37864/
[rosmaster.master][INFO] 2012-12-14 15:21:18,175: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-14 15:21:18,192: +SUB [/rosout] /rosout http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:18,323: +PUB [/rosout] /camera/depth/metric http://pc:52710/
[rosmaster.master][INFO] 2012-12-14 15:21:18,325: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:52710/
[rosmaster.master][INFO] 2012-12-14 15:21:18,326: +PUB [/rosout] /camera/disparity_depth_registered http://pc:49560/
[rosmaster.master][INFO] 2012-12-14 15:21:18,327: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:52710/
[rosmaster.master][INFO] 2012-12-14 15:21:18,328: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:49560/
[rosmaster.master][INFO] 2012-12-14 15:21:18,330: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:49560/
[rosmaster.master][INFO] 2012-12-14 15:21:18,340: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-14 15:21:18,340: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:18,343: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:19,980: +PUB [/rosout] /set_dr http://pc:50044/
[rosmaster.master][INFO] 2012-12-14 15:21:20,047: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,130: +PUB [/rosout] /camera_base_link3 http://pc:52843/
[rosmaster.master][INFO] 2012-12-14 15:21:21,132: +PUB [/rosout] /camera/depth/metric_rect http://pc:35784/
[rosmaster.master][INFO] 2012-12-14 15:21:21,142: +PUB [/rosout] /camera/disparity_depth http://pc:42994/
[rosmaster.master][INFO] 2012-12-14 15:21:21,143: +PUB [/rosout] /camera/driver http://pc:49759/
[rosmaster.master][INFO] 2012-12-14 15:21:21,146: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:35784/
[rosmaster.master][INFO] 2012-12-14 15:21:21,149: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:42994/
[rosmaster.master][INFO] 2012-12-14 15:21:21,150: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49759/
[rosmaster.master][INFO] 2012-12-14 15:21:21,151: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:35784/
[rosmaster.master][INFO] 2012-12-14 15:21:21,152: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:42994/
[rosmaster.master][INFO] 2012-12-14 15:21:21,153: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,154: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49759/
[rosmaster.master][INFO] 2012-12-14 15:21:21,155: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,157: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,161: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,166: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 15:21:21,169: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 15:21:21,353: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:33073/
[rosmaster.master][INFO] 2012-12-14 15:21:21,354: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,358: +PUB [/rosout] /camera_base_link1 http://pc:59270/
[rosmaster.master][INFO] 2012-12-14 15:21:21,361: +PUB [/rosout] /camera/depth_registered/metric http://pc:33110/
[rosmaster.master][INFO] 2012-12-14 15:21:21,363: publisherUpdate[/rosout] -> http://pc:55692/
[rosmaster.master][INFO] 2012-12-14 15:21:21,364: +PUB [/rosout] /camera/rgb/debayer http://pc:46758/
[rosmaster.master][INFO] 2012-12-14 15:21:21,368: publisherUpdate[/rosout] -> http://pc:55692/
