[rosmaster.main][INFO] 2012-12-14 20:57:46,661: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:57:46,661: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:57:46,663: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:57:46,664: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:57:46,664: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:57:46,665: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:57:46,681: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,685: +PARAM [/roslaunch/uris/host_pc__53874] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,709: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,710: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,710: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,710: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,711: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,711: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,711: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,711: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,711: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,712: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,712: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,712: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,712: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:57:46,715: +SERVICE [/rosout/get_loggers] /rosout http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,716: +SERVICE [/rosout/set_logger_level] /rosout http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,720: +PUB [/rosout_agg] /rosout http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,721: +SUB [/rosout] /rosout http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,746: +PUB [/rosout] /camera/driver http://pc:37411/
[rosmaster.master][INFO] 2012-12-14 20:57:46,748: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37411/
[rosmaster.master][INFO] 2012-12-14 20:57:46,749: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37411/
[rosmaster.master][INFO] 2012-12-14 20:57:46,760: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:57:46,761: +PUB [/rosout] /camera/rgb/debayer http://pc:48406/
[rosmaster.master][INFO] 2012-12-14 20:57:46,762: publisherUpdate[/rosout] -> http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,767: publisherUpdate[/rosout] -> http://pc:55313/
[rosmaster.master][INFO] 2012-12-14 20:57:46,775: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:48406/
[rosmaster.master][INFO] 2012-12-14 20:57:46,780: +PUB [/rosout] /camera/rgb/rectify_color http://pc:59443/
[rosmaster.master][INFO] 2012-12-14 20:57:46,781: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:48406/
[rosmaster.master][INFO] 2012-12-14 20:57:46,783: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:59443/
[rosmaster.master][INFO] 2012-12-14 20:57:46,787: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:59443/
[rosmaster.master][INFO] 2012-12-14 20:57:46,795: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58078/
