[rosmaster.main][INFO] 2012-12-15 17:14:43,189: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:14:43,189: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:14:43,191: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:14:43,192: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:14:43,192: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:14:43,192: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:14:43,203: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,207: +PARAM [/roslaunch/uris/host_pc__42500] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,232: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,232: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,233: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,233: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,233: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,233: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,234: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,234: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,235: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,235: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,235: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,235: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,235: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:14:43,239: +SERVICE [/rosout/get_loggers] /rosout http://pc:44161/
[rosmaster.master][INFO] 2012-12-15 17:14:43,241: +SERVICE [/rosout/set_logger_level] /rosout http://pc:44161/
[rosmaster.master][INFO] 2012-12-15 17:14:43,243: +PUB [/rosout_agg] /rosout http://pc:44161/
[rosmaster.master][INFO] 2012-12-15 17:14:43,244: +SUB [/rosout] /rosout http://pc:44161/
