[rosmaster.main][INFO] 2012-12-14 17:08:51,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:08:51,573: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:08:51,574: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:08:51,575: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:08:51,576: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:08:51,576: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:08:51,686: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,690: +PARAM [/roslaunch/uris/host_pc__50777] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,718: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,719: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,719: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,720: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,720: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,721: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,721: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,721: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,721: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,721: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,722: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,722: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,722: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:08:51,723: +SERVICE [/rosout/get_loggers] /rosout http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,724: +SERVICE [/rosout/set_logger_level] /rosout http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,727: +PUB [/rosout_agg] /rosout http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,728: +SUB [/rosout] /rosout http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,756: +PUB [/rosout] /camera/driver http://pc:36235/
[rosmaster.master][INFO] 2012-12-14 17:08:51,757: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:36235/
[rosmaster.master][INFO] 2012-12-14 17:08:51,759: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:36235/
[rosmaster.master][INFO] 2012-12-14 17:08:51,763: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:08:51,775: +PUB [/rosout] /camera/rgb/debayer http://pc:33631/
[rosmaster.master][INFO] 2012-12-14 17:08:51,776: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,779: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,783: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:33631/
[rosmaster.master][INFO] 2012-12-14 17:08:51,786: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:54443/
[rosmaster.master][INFO] 2012-12-14 17:08:51,789: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:33631/
[rosmaster.master][INFO] 2012-12-14 17:08:51,791: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:54443/
[rosmaster.master][INFO] 2012-12-14 17:08:51,796: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:54443/
[rosmaster.master][INFO] 2012-12-14 17:08:51,797: +PUB [/rosout] /camera/rgb/rectify_color http://pc:38059/
[rosmaster.master][INFO] 2012-12-14 17:08:51,804: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:38059/
[rosmaster.master][INFO] 2012-12-14 17:08:51,807: +PUB [/rosout] /camera/ir/rectify_ir http://pc:33036/
[rosmaster.master][INFO] 2012-12-14 17:08:51,813: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:38059/
[rosmaster.master][INFO] 2012-12-14 17:08:51,816: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:33036/
[rosmaster.master][INFO] 2012-12-14 17:08:51,847: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:33036/
[rosmaster.master][INFO] 2012-12-14 17:08:51,849: +PUB [/rosout] /camera/depth/rectify_depth http://pc:55605/
[rosmaster.master][INFO] 2012-12-14 17:08:51,870: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:55605/
[rosmaster.master][INFO] 2012-12-14 17:08:51,877: +PUB [/rosout] /camera/depth/metric_rect http://pc:42426/
[rosmaster.master][INFO] 2012-12-14 17:08:51,878: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,880: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,881: +PUB [/rosout] /camera/depth/metric http://pc:57375/
[rosmaster.master][INFO] 2012-12-14 17:08:51,888: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,891: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,892: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,893: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,895: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:55605/
[rosmaster.master][INFO] 2012-12-14 17:08:51,900: +PUB [/rosout] /camera/register_depth_rgb http://pc:36882/
[rosmaster.master][INFO] 2012-12-14 17:08:51,902: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:42426/
[rosmaster.master][INFO] 2012-12-14 17:08:51,912: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:36882/
[rosmaster.master][INFO] 2012-12-14 17:08:51,913: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:49579/
[rosmaster.master][INFO] 2012-12-14 17:08:51,916: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:42426/
[rosmaster.master][INFO] 2012-12-14 17:08:51,917: +PUB [/rosout] /camera/depth_registered/metric http://pc:51711/
[rosmaster.master][INFO] 2012-12-14 17:08:51,923: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:54335/
[rosmaster.master][INFO] 2012-12-14 17:08:51,933: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:36882/
[rosmaster.master][INFO] 2012-12-14 17:08:51,935: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:49579/
[rosmaster.master][INFO] 2012-12-14 17:08:51,939: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:51711/
[rosmaster.master][INFO] 2012-12-14 17:08:51,942: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:54335/
[rosmaster.master][INFO] 2012-12-14 17:08:51,947: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 17:08:51,949: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:49579/
[rosmaster.master][INFO] 2012-12-14 17:08:51,952: +PUB [/rosout] /camera/disparity_depth_registered http://pc:55564/
[rosmaster.master][INFO] 2012-12-14 17:08:51,969: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:54335/
[rosmaster.master][INFO] 2012-12-14 17:08:51,971: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:55564/
[rosmaster.master][INFO] 2012-12-14 17:08:51,974: +PUB [/rosout] /camera_base_link1 http://pc:51186/
[rosmaster.master][INFO] 2012-12-14 17:08:51,979: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,982: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,984: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,986: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,988: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:51186/
[rosmaster.master][INFO] 2012-12-14 17:08:51,991: publisherUpdate[/rosout] -> http://pc:52389/
[rosmaster.master][INFO] 2012-12-14 17:08:51,992: +PUB [/rosout] /camera_base_link2 http://pc:54695/
