[rosmaster.main][INFO] 2012-12-15 18:12:07,405: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:12:07,405: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:12:07,406: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:12:07,406: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:12:07,407: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:12:07,407: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:12:07,511: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,514: +PARAM [/roslaunch/uris/host_pc__41587] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,541: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,541: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,541: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,542: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,543: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,543: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,543: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:12:07,544: +SERVICE [/rosout/get_loggers] /rosout http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,545: +SERVICE [/rosout/set_logger_level] /rosout http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,554: +PUB [/rosout_agg] /rosout http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,556: +SUB [/rosout] /rosout http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,599: +PUB [/rosout] /camera/driver http://pc:39480/
[rosmaster.master][INFO] 2012-12-15 18:12:07,601: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:39480/
[rosmaster.master][INFO] 2012-12-15 18:12:07,603: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:39480/
[rosmaster.master][INFO] 2012-12-15 18:12:07,608: publisherUpdate[/rosout] -> http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,611: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:12:07,615: +PUB [/rosout] /camera/rgb/debayer http://pc:49372/
[rosmaster.master][INFO] 2012-12-15 18:12:07,617: publisherUpdate[/rosout] -> http://pc:57614/
[rosmaster.master][INFO] 2012-12-15 18:12:07,620: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:49372/
[rosmaster.master][INFO] 2012-12-15 18:12:07,624: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:49372/
[rosmaster.master][INFO] 2012-12-15 18:12:07,626: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:51103/
