[rosmaster.main][INFO] 2012-12-15 19:45:12,364: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 19:45:12,365: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 19:45:12,366: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 19:45:12,367: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 19:45:12,367: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 19:45:12,367: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 19:45:12,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,384: +PARAM [/roslaunch/uris/host_pc__55531] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,415: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,415: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,416: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,417: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,417: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,417: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,417: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,417: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:45:12,420: +SERVICE [/rosout/get_loggers] /rosout http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,421: +SERVICE [/rosout/set_logger_level] /rosout http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,423: +PUB [/rosout_agg] /rosout http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,424: +SUB [/rosout] /rosout http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,456: +PUB [/rosout] /camera/driver http://pc:37307/
[rosmaster.master][INFO] 2012-12-15 19:45:12,457: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37307/
[rosmaster.master][INFO] 2012-12-15 19:45:12,459: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37307/
[rosmaster.master][INFO] 2012-12-15 19:45:12,463: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 19:45:12,465: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,482: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:37676/
[rosmaster.master][INFO] 2012-12-15 19:45:12,483: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:37676/
[rosmaster.master][INFO] 2012-12-15 19:45:12,485: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:37676/
[rosmaster.master][INFO] 2012-12-15 19:45:12,487: +PUB [/rosout] /camera/rgb/debayer http://pc:49467/
[rosmaster.master][INFO] 2012-12-15 19:45:12,491: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:49467/
[rosmaster.master][INFO] 2012-12-15 19:45:12,498: +PUB [/rosout] /camera/rgb/rectify_color http://pc:46233/
[rosmaster.master][INFO] 2012-12-15 19:45:12,502: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:46233/
[rosmaster.master][INFO] 2012-12-15 19:45:12,504: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:49467/
[rosmaster.master][INFO] 2012-12-15 19:45:12,505: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:46233/
[rosmaster.master][INFO] 2012-12-15 19:45:12,515: +PUB [/rosout] /camera/ir/rectify_ir http://pc:59427/
[rosmaster.master][INFO] 2012-12-15 19:45:12,527: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:59427/
[rosmaster.master][INFO] 2012-12-15 19:45:12,538: +PUB [/rosout] /camera/depth/rectify_depth http://pc:52833/
[rosmaster.master][INFO] 2012-12-15 19:45:12,540: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:59427/
[rosmaster.master][INFO] 2012-12-15 19:45:12,549: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:52833/
[rosmaster.master][INFO] 2012-12-15 19:45:12,559: +PUB [/rosout] /camera/depth/metric http://pc:46561/
[rosmaster.master][INFO] 2012-12-15 19:45:12,562: +PUB [/rosout] /camera/depth/metric_rect http://pc:36570/
[rosmaster.master][INFO] 2012-12-15 19:45:12,562: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:52833/
[rosmaster.master][INFO] 2012-12-15 19:45:12,567: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,570: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,574: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,575: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:46561/
[rosmaster.master][INFO] 2012-12-15 19:45:12,576: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,577: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,579: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,580: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,582: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:36570/
[rosmaster.master][INFO] 2012-12-15 19:45:12,588: +PUB [/rosout] /camera/depth/points http://pc:55019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,601: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:55019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,606: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:45745/
[rosmaster.master][INFO] 2012-12-15 19:45:12,608: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 19:45:12,610: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:55019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,614: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:45745/
[rosmaster.master][INFO] 2012-12-15 19:45:12,616: +PUB [/rosout] /camera/depth_registered/metric http://pc:43797/
[rosmaster.master][INFO] 2012-12-15 19:45:12,625: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:42019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,627: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:43797/
[rosmaster.master][INFO] 2012-12-15 19:45:12,629: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:45745/
[rosmaster.master][INFO] 2012-12-15 19:45:12,634: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:42019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,639: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:43797/
[rosmaster.master][INFO] 2012-12-15 19:45:12,640: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:42019/
[rosmaster.master][INFO] 2012-12-15 19:45:12,644: +PUB [/rosout] /camera/disparity_depth_registered http://pc:55779/
[rosmaster.master][INFO] 2012-12-15 19:45:12,652: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:55779/
[rosmaster.master][INFO] 2012-12-15 19:45:12,668: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,670: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,676: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,677: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,679: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,680: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:55779/
[rosmaster.master][INFO] 2012-12-15 19:45:12,706: +PUB [/rosout] /camera_base_link1 http://pc:34320/
[rosmaster.master][INFO] 2012-12-15 19:45:12,710: +PUB [/rosout] /camera_base_link2 http://pc:56326/
[rosmaster.master][INFO] 2012-12-15 19:45:12,718: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:34320/
[rosmaster.master][INFO] 2012-12-15 19:45:12,721: +PUB [/rosout] /camera_base_link3 http://pc:35734/
[rosmaster.master][INFO] 2012-12-15 19:45:12,722: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:56326/
[rosmaster.master][INFO] 2012-12-15 19:45:12,723: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 19:45:12,725: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:34320/
[rosmaster.master][INFO] 2012-12-15 19:45:12,726: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:35734/
[rosmaster.master][INFO] 2012-12-15 19:45:12,728: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:56326/
[rosmaster.master][INFO] 2012-12-15 19:45:12,731: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:35734/
[rosmaster.master][INFO] 2012-12-15 19:45:12,735: +PUB [/tf] /camera_base_link1 http://pc:34320/
[rosmaster.master][INFO] 2012-12-15 19:45:12,739: +PUB [/tf] /camera_base_link2 http://pc:56326/
[rosmaster.master][INFO] 2012-12-15 19:45:12,745: +PUB [/tf] /camera_base_link3 http://pc:35734/
[rosmaster.master][INFO] 2012-12-15 19:45:12,769: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,771: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,780: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,799: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:46561/
[rosmaster.master][INFO] 2012-12-15 19:45:12,803: +PUB [/rosout] /camera/register_depth_rgb http://pc:57195/
[rosmaster.master][INFO] 2012-12-15 19:45:12,809: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:57195/
[rosmaster.master][INFO] 2012-12-15 19:45:12,818: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:57195/
[rosmaster.master][INFO] 2012-12-15 19:45:12,829: +PUB [/rosout] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,833: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,834: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,838: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,840: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,844: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:12,882: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:12,884: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:13,133: +PUB [/rosout] /set_dr http://pc:46206/
[rosmaster.master][INFO] 2012-12-15 19:45:13,154: +PUB [/camera/depth_registered/image/compressed] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,155: +SERVICE [/camera/depth_registered/image/compressed/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,156: +PUB [/camera/depth_registered/image/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,157: +PUB [/camera/depth_registered/image/compressed/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,161: +PARAM [/camera/depth_registered/image/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,162: +PARAM [/camera/depth_registered/image/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,162: +PARAM [/camera/depth_registered/image/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,164: +PUB [/camera/depth_registered/image] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,168: +PUB [/camera/depth_registered/image/theora] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,169: +SERVICE [/camera/depth_registered/image/theora/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,170: +PUB [/camera/depth_registered/image/theora/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,171: +PUB [/camera/depth_registered/image/theora/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,175: +PARAM [/camera/depth_registered/image/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,177: +PARAM [/camera/depth_registered/image/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,178: +PARAM [/camera/depth_registered/image/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,179: +PARAM [/camera/depth_registered/image/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,183: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:13,425: +PUB [/camera/depth/points] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,574: +PUB [/rosout] /depth_detection http://pc:35392/
[rosmaster.master][INFO] 2012-12-15 19:45:13,586: publisherUpdate[/rosout] -> http://pc:45655/
[rosmaster.master][INFO] 2012-12-15 19:45:13,657: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:35392/
[rosmaster.master][INFO] 2012-12-15 19:45:13,659: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:35392/
[rosmaster.master][INFO] 2012-12-15 19:45:13,713: +PUB [/camera/depth/image/compressed] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,714: +SERVICE [/camera/depth/image/compressed/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,716: +PUB [/camera/depth/image/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,717: +PUB [/camera/depth/image/compressed/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,722: +PARAM [/camera/depth/image/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,724: +PARAM [/camera/depth/image/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,725: +PARAM [/camera/depth/image/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,727: +PUB [/camera/depth/image] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,728: +PUB [/camera/depth/image/theora] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,730: +SERVICE [/camera/depth/image/theora/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,731: +PUB [/camera/depth/image/theora/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,733: +PUB [/camera/depth/image/theora/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:13,737: +PARAM [/camera/depth/image/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,739: +PARAM [/camera/depth/image/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,740: +PARAM [/camera/depth/image/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:13,741: +PARAM [/camera/depth/image/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,043: +PUB [/camera/depth_registered/disparity] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,301: +SERVICE [/camera/ir/rectify_ir/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,303: +PUB [/camera/ir/rectify_ir/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,305: +PUB [/camera/ir/rectify_ir/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,307: +PARAM [/camera/ir/rectify_ir/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,309: +PUB [/camera/ir/image_rect/compressed] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,311: +SERVICE [/camera/ir/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,313: +PUB [/camera/ir/image_rect/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,315: +PUB [/camera/ir/image_rect/compressed/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,319: +PARAM [/camera/ir/image_rect/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,321: +PARAM [/camera/ir/image_rect/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,322: +PARAM [/camera/ir/image_rect/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,324: +PUB [/camera/ir/image_rect] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,325: +PUB [/camera/ir/image_rect/theora] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,327: +SERVICE [/camera/ir/image_rect/theora/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,328: +PUB [/camera/ir/image_rect/theora/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,330: +PUB [/camera/ir/image_rect/theora/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,336: +PARAM [/camera/ir/image_rect/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,337: +PARAM [/camera/ir/image_rect/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,339: +PARAM [/camera/ir/image_rect/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,341: +PARAM [/camera/ir/image_rect/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,622: +SERVICE [/camera/rgb/debayer/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,625: +PUB [/camera/rgb/debayer/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,628: +PUB [/camera/rgb/debayer/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,633: +PARAM [/camera/rgb/debayer/debayer] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,637: +PUB [/camera/rgb/image_mono/compressed] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,639: +SERVICE [/camera/rgb/image_mono/compressed/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,642: +PUB [/camera/rgb/image_mono/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,644: +PUB [/camera/rgb/image_mono/compressed/parameter_updates] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,654: +PARAM [/camera/rgb/image_mono/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,656: +PARAM [/camera/rgb/image_mono/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,658: +PARAM [/camera/rgb/image_mono/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 19:45:14,661: +PUB [/camera/rgb/image_mono] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,664: +PUB [/camera/rgb/image_mono/theora] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,667: +SERVICE [/camera/rgb/image_mono/theora/set_parameters] /camera_nodelet_manager http://pc:42120/
[rosmaster.master][INFO] 2012-12-15 19:45:14,669: +PUB [/camera/rgb/image_mono/theora/parameter_descriptions] /camera_nodelet_manager http://pc:42120/
