[rosmaster.main][INFO] 2012-12-14 21:12:26,309: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 21:12:26,310: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 21:12:26,311: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 21:12:26,312: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 21:12:26,313: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 21:12:26,313: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 21:12:26,341: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,345: +PARAM [/roslaunch/uris/host_pc__36885] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,374: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,374: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,374: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,374: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,374: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,375: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:26,382: +SERVICE [/rosout/get_loggers] /rosout http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,384: +SERVICE [/rosout/set_logger_level] /rosout http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,389: +PUB [/rosout_agg] /rosout http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,390: +SUB [/rosout] /rosout http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,419: +PUB [/rosout] /camera/driver http://pc:49984/
[rosmaster.master][INFO] 2012-12-14 21:12:26,421: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49984/
[rosmaster.master][INFO] 2012-12-14 21:12:26,423: +PUB [/rosout] /camera/rgb/debayer http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 21:12:26,423: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49984/
[rosmaster.master][INFO] 2012-12-14 21:12:26,425: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 21:12:26,431: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:42101/
[rosmaster.master][INFO] 2012-12-14 21:12:26,435: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 21:12:26,436: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:50115/
[rosmaster.master][INFO] 2012-12-14 21:12:26,446: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:50115/
[rosmaster.master][INFO] 2012-12-14 21:12:26,459: +PUB [/rosout] /camera/rgb/rectify_color http://pc:54069/
[rosmaster.master][INFO] 2012-12-14 21:12:26,462: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:50115/
[rosmaster.master][INFO] 2012-12-14 21:12:26,465: +PUB [/rosout] /camera/ir/rectify_ir http://pc:43538/
[rosmaster.master][INFO] 2012-12-14 21:12:26,466: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:54069/
[rosmaster.master][INFO] 2012-12-14 21:12:26,472: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:43538/
[rosmaster.master][INFO] 2012-12-14 21:12:26,475: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:54069/
[rosmaster.master][INFO] 2012-12-14 21:12:26,478: +PUB [/rosout] /camera/depth/rectify_depth http://pc:34563/
[rosmaster.master][INFO] 2012-12-14 21:12:26,480: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:43538/
[rosmaster.master][INFO] 2012-12-14 21:12:26,485: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:34563/
[rosmaster.master][INFO] 2012-12-14 21:12:26,493: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:34563/
[rosmaster.master][INFO] 2012-12-14 21:12:26,499: +PUB [/rosout] /camera/depth/metric_rect http://pc:59214/
[rosmaster.master][INFO] 2012-12-14 21:12:26,511: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,515: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,516: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,517: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,519: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,520: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,521: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,524: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:59214/
[rosmaster.master][INFO] 2012-12-14 21:12:26,525: +PUB [/rosout] /camera/depth/metric http://pc:49844/
[rosmaster.master][INFO] 2012-12-14 21:12:26,534: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:59214/
[rosmaster.master][INFO] 2012-12-14 21:12:26,536: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 21:12:26,538: +PUB [/rosout] /camera/depth/points http://pc:57814/
[rosmaster.master][INFO] 2012-12-14 21:12:26,550: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:57814/
[rosmaster.master][INFO] 2012-12-14 21:12:26,557: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:57814/
[rosmaster.master][INFO] 2012-12-14 21:12:26,563: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:33483/
[rosmaster.master][INFO] 2012-12-14 21:12:26,564: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:41610/
[rosmaster.master][INFO] 2012-12-14 21:12:26,576: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:33483/
[rosmaster.master][INFO] 2012-12-14 21:12:26,579: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:41610/
[rosmaster.master][INFO] 2012-12-14 21:12:26,586: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:33483/
[rosmaster.master][INFO] 2012-12-14 21:12:26,587: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:41610/
[rosmaster.master][INFO] 2012-12-14 21:12:26,590: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:36305/
[rosmaster.master][INFO] 2012-12-14 21:12:26,597: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:36305/
[rosmaster.master][INFO] 2012-12-14 21:12:26,606: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:36305/
[rosmaster.master][INFO] 2012-12-14 21:12:26,607: +PUB [/rosout] /camera/disparity_depth_registered http://pc:56415/
[rosmaster.master][INFO] 2012-12-14 21:12:26,611: +PUB [/rosout] /camera/disparity_depth http://pc:34128/
[rosmaster.master][INFO] 2012-12-14 21:12:26,614: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,616: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,617: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,618: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,620: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,621: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,626: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,630: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:34128/
[rosmaster.master][INFO] 2012-12-14 21:12:26,637: +PUB [/rosout] /camera_base_link http://pc:50238/
[rosmaster.master][INFO] 2012-12-14 21:12:26,645: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:34128/
[rosmaster.master][INFO] 2012-12-14 21:12:26,649: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:50238/
[rosmaster.master][INFO] 2012-12-14 21:12:26,657: +PUB [/rosout] /camera_base_link2 http://pc:49675/
[rosmaster.master][INFO] 2012-12-14 21:12:26,662: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:50238/
[rosmaster.master][INFO] 2012-12-14 21:12:26,663: +PUB [/rosout] /camera_base_link3 http://pc:52690/
[rosmaster.master][INFO] 2012-12-14 21:12:26,666: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:49675/
[rosmaster.master][INFO] 2012-12-14 21:12:26,678: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:52690/
[rosmaster.master][INFO] 2012-12-14 21:12:26,682: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 21:12:26,683: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:49675/
[rosmaster.master][INFO] 2012-12-14 21:12:26,685: +PUB [/tf] /camera_base_link http://pc:50238/
[rosmaster.master][INFO] 2012-12-14 21:12:26,686: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:52690/
[rosmaster.master][INFO] 2012-12-14 21:12:26,703: +PUB [/tf] /camera_base_link2 http://pc:49675/
[rosmaster.master][INFO] 2012-12-14 21:12:26,705: +PUB [/tf] /camera_base_link3 http://pc:52690/
[rosmaster.master][INFO] 2012-12-14 21:12:26,715: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,720: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,722: +PUB [/rosout] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,724: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,725: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,731: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,732: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,734: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:26,738: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,746: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,748: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:49844/
[rosmaster.master][INFO] 2012-12-14 21:12:26,753: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:49844/
[rosmaster.master][INFO] 2012-12-14 21:12:26,763: +PUB [/rosout] /camera/register_depth_rgb http://pc:46220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,767: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:46220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,779: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:46220/
[rosmaster.master][INFO] 2012-12-14 21:12:26,824: publisherUpdate[/rosout] -> http://pc:45153/
[rosmaster.master][INFO] 2012-12-14 21:12:27,028: +SERVICE [/camera/rgb/rectify_color/set_parameters] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,030: +PUB [/camera/rgb/rectify_color/parameter_descriptions] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,031: +PUB [/camera/rgb/rectify_color/parameter_updates] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,033: +PARAM [/camera/rgb/rectify_color/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,037: +PUB [/camera/rgb/image_rect_color/compressed] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,038: +SERVICE [/camera/rgb/image_rect_color/compressed/set_parameters] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,039: +PUB [/camera/rgb/image_rect_color/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,040: +PUB [/camera/rgb/image_rect_color/compressed/parameter_updates] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,043: +PARAM [/camera/rgb/image_rect_color/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,044: +PARAM [/camera/rgb/image_rect_color/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,046: +PARAM [/camera/rgb/image_rect_color/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,047: +PUB [/camera/rgb/image_rect_color] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,050: +PUB [/camera/rgb/image_rect_color/theora] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,051: +SERVICE [/camera/rgb/image_rect_color/theora/set_parameters] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,052: +PUB [/camera/rgb/image_rect_color/theora/parameter_descriptions] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,053: +PUB [/camera/rgb/image_rect_color/theora/parameter_updates] /camera_nodelet_manager http://pc:51220/
[rosmaster.master][INFO] 2012-12-14 21:12:27,058: +PARAM [/camera/rgb/image_rect_color/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,059: +PARAM [/camera/rgb/image_rect_color/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,060: +PARAM [/camera/rgb/image_rect_color/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:12:27,061: +PARAM [/camera/rgb/image_rect_color/theora/keyframe_frequency] by /camera_nodelet_manager
