[rosmaster.main][INFO] 2012-12-14 21:05:19,694: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 21:05:19,694: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 21:05:19,696: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 21:05:19,697: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 21:05:19,697: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 21:05:19,697: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 21:05:19,711: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,714: +PARAM [/roslaunch/uris/host_pc__35516] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,742: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,743: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,743: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,743: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,743: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,743: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,744: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,744: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,744: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,744: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,744: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:05:19,745: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
