[rosmaster.main][INFO] 2012-12-16 13:39:14,602: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-16 13:39:14,602: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-16 13:39:14,603: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-16 13:39:14,604: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-16 13:39:14,604: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-16 13:39:14,605: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-16 13:39:14,716: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,720: +PARAM [/roslaunch/uris/host_pc__40576] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,744: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,744: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,744: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,744: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,744: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,745: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,745: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,745: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,746: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,746: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,746: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,746: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,746: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 13:39:14,750: +SERVICE [/rosout/get_loggers] /rosout http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,751: +SERVICE [/rosout/set_logger_level] /rosout http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,755: +PUB [/rosout_agg] /rosout http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,756: +SUB [/rosout] /rosout http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,784: +PUB [/rosout] /camera/driver http://pc:48889/
[rosmaster.master][INFO] 2012-12-16 13:39:14,786: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:48889/
[rosmaster.master][INFO] 2012-12-16 13:39:14,787: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:48889/
[rosmaster.master][INFO] 2012-12-16 13:39:14,793: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-16 13:39:14,800: +PUB [/rosout] /camera/rgb/debayer http://pc:43534/
[rosmaster.master][INFO] 2012-12-16 13:39:14,801: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:43534/
[rosmaster.master][INFO] 2012-12-16 13:39:14,803: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,811: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:43534/
[rosmaster.master][INFO] 2012-12-16 13:39:14,811: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,826: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:48052/
[rosmaster.master][INFO] 2012-12-16 13:39:14,836: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:48052/
[rosmaster.master][INFO] 2012-12-16 13:39:14,839: +PUB [/rosout] /camera/ir/rectify_ir http://pc:35565/
[rosmaster.master][INFO] 2012-12-16 13:39:14,841: +PUB [/rosout] /camera/rgb/rectify_color http://pc:52637/
[rosmaster.master][INFO] 2012-12-16 13:39:14,847: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:48052/
[rosmaster.master][INFO] 2012-12-16 13:39:14,850: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:35565/
[rosmaster.master][INFO] 2012-12-16 13:39:14,858: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:52637/
[rosmaster.master][INFO] 2012-12-16 13:39:14,866: +PUB [/rosout] /camera/depth/rectify_depth http://pc:40400/
[rosmaster.master][INFO] 2012-12-16 13:39:14,868: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:35565/
[rosmaster.master][INFO] 2012-12-16 13:39:14,869: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:52637/
[rosmaster.master][INFO] 2012-12-16 13:39:14,870: +PUB [/rosout] /camera/depth/metric_rect http://pc:45150/
[rosmaster.master][INFO] 2012-12-16 13:39:14,873: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:40400/
[rosmaster.master][INFO] 2012-12-16 13:39:14,878: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:45150/
[rosmaster.master][INFO] 2012-12-16 13:39:14,881: +PUB [/rosout] /camera/depth/metric http://pc:45346/
[rosmaster.master][INFO] 2012-12-16 13:39:14,883: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:40400/
[rosmaster.master][INFO] 2012-12-16 13:39:14,897: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:45150/
[rosmaster.master][INFO] 2012-12-16 13:39:14,901: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:45346/
[rosmaster.master][INFO] 2012-12-16 13:39:14,906: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,907: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,909: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,911: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,913: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,915: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:14,926: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:45346/
[rosmaster.master][INFO] 2012-12-16 13:39:14,932: +PUB [/rosout] /camera/register_depth_rgb http://pc:54687/
[rosmaster.master][INFO] 2012-12-16 13:39:14,939: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-16 13:39:14,945: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:54687/
[rosmaster.master][INFO] 2012-12-16 13:39:14,954: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:54687/
[rosmaster.master][INFO] 2012-12-16 13:39:14,959: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:55616/
[rosmaster.master][INFO] 2012-12-16 13:39:14,961: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:38554/
[rosmaster.master][INFO] 2012-12-16 13:39:14,964: +PUB [/rosout] /camera/depth_registered/metric http://pc:53745/
[rosmaster.master][INFO] 2012-12-16 13:39:14,980: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:55616/
[rosmaster.master][INFO] 2012-12-16 13:39:14,981: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:38554/
[rosmaster.master][INFO] 2012-12-16 13:39:14,983: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:44090/
[rosmaster.master][INFO] 2012-12-16 13:39:14,985: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:53745/
[rosmaster.master][INFO] 2012-12-16 13:39:14,989: +PUB [/rosout] /camera/disparity_depth http://pc:54868/
[rosmaster.master][INFO] 2012-12-16 13:39:14,996: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:38554/
[rosmaster.master][INFO] 2012-12-16 13:39:15,001: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:53745/
[rosmaster.master][INFO] 2012-12-16 13:39:15,003: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:54868/
[rosmaster.master][INFO] 2012-12-16 13:39:15,007: +PUB [/rosout] /camera_base_link http://pc:49939/
[rosmaster.master][INFO] 2012-12-16 13:39:15,008: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,011: +PUB [/rosout] /camera/disparity_depth_registered http://pc:59575/
[rosmaster.master][INFO] 2012-12-16 13:39:15,012: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,014: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,016: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,019: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,028: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,029: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,031: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,036: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:54868/
[rosmaster.master][INFO] 2012-12-16 13:39:15,046: +PUB [/rosout] /camera_base_link1 http://pc:46176/
[rosmaster.master][INFO] 2012-12-16 13:39:15,051: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:59575/
[rosmaster.master][INFO] 2012-12-16 13:39:15,056: +PUB [/rosout] /camera_base_link2 http://pc:49056/
[rosmaster.master][INFO] 2012-12-16 13:39:15,065: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:46176/
[rosmaster.master][INFO] 2012-12-16 13:39:15,066: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:59575/
[rosmaster.master][INFO] 2012-12-16 13:39:15,070: +PUB [/rosout] /camera_base_link3 http://pc:34157/
[rosmaster.master][INFO] 2012-12-16 13:39:15,075: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:49056/
[rosmaster.master][INFO] 2012-12-16 13:39:15,082: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:34157/
[rosmaster.master][INFO] 2012-12-16 13:39:15,084: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-16 13:39:15,085: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:46176/
[rosmaster.master][INFO] 2012-12-16 13:39:15,087: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:49056/
[rosmaster.master][INFO] 2012-12-16 13:39:15,096: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:34157/
[rosmaster.master][INFO] 2012-12-16 13:39:15,103: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-16 13:39:15,112: +PUB [/tf] /camera_base_link1 http://pc:46176/
[rosmaster.master][INFO] 2012-12-16 13:39:15,113: +PUB [/tf] /camera_base_link2 http://pc:49056/
[rosmaster.master][INFO] 2012-12-16 13:39:15,116: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,117: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,119: +PUB [/tf] /camera_base_link3 http://pc:34157/
[rosmaster.master][INFO] 2012-12-16 13:39:15,119: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,127: +PUB [/rosout] /camera/depth/points http://pc:50317/
[rosmaster.master][INFO] 2012-12-16 13:39:15,133: publisherUpdate[/rosout] -> http://pc:50192/
[rosmaster.master][INFO] 2012-12-16 13:39:15,136: +PUB [/rosout] /camera_nodelet_manager http://pc:50103/
[rosmaster.master][INFO] 2012-12-16 13:39:15,137: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:50317/
[rosmaster.master][INFO] 2012-12-16 13:39:15,139: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:50103/
[rosmaster.master][INFO] 2012-12-16 13:39:15,140: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:50317/
[rosmaster.master][INFO] 2012-12-16 13:39:15,141: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:50103/
