[rosmaster.main][INFO] 2012-12-15 18:48:14,405: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:48:14,406: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:48:14,407: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:48:14,408: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:48:14,408: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:48:14,409: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:48:14,522: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,529: +PARAM [/roslaunch/uris/host_pc__39075] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,553: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,553: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,553: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,553: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,554: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,554: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,555: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,555: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,555: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,555: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,555: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,556: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,556: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:48:14,559: +SERVICE [/rosout/get_loggers] /rosout http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,560: +SERVICE [/rosout/set_logger_level] /rosout http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,564: +PUB [/rosout_agg] /rosout http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,565: +SUB [/rosout] /rosout http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,591: +PUB [/rosout] /camera/driver http://pc:49656/
[rosmaster.master][INFO] 2012-12-15 18:48:14,592: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49656/
[rosmaster.master][INFO] 2012-12-15 18:48:14,594: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49656/
[rosmaster.master][INFO] 2012-12-15 18:48:14,601: +PUB [/rosout] /camera/rgb/debayer http://pc:39949/
[rosmaster.master][INFO] 2012-12-15 18:48:14,604: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:39949/
[rosmaster.master][INFO] 2012-12-15 18:48:14,605: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:48:14,607: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,610: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,612: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:39949/
[rosmaster.master][INFO] 2012-12-15 18:48:14,618: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:40705/
[rosmaster.master][INFO] 2012-12-15 18:48:14,620: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:40705/
[rosmaster.master][INFO] 2012-12-15 18:48:14,623: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:40705/
[rosmaster.master][INFO] 2012-12-15 18:48:14,637: +PUB [/rosout] /camera/rgb/rectify_color http://pc:46345/
[rosmaster.master][INFO] 2012-12-15 18:48:14,641: +PUB [/rosout] /camera/ir/rectify_ir http://pc:41841/
[rosmaster.master][INFO] 2012-12-15 18:48:14,643: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:46345/
[rosmaster.master][INFO] 2012-12-15 18:48:14,645: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:41841/
[rosmaster.master][INFO] 2012-12-15 18:48:14,651: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:41841/
[rosmaster.master][INFO] 2012-12-15 18:48:14,653: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:46345/
[rosmaster.master][INFO] 2012-12-15 18:48:14,677: +PUB [/rosout] /camera/depth/rectify_depth http://pc:58599/
[rosmaster.master][INFO] 2012-12-15 18:48:14,680: +PUB [/rosout] /camera/depth/metric_rect http://pc:33799/
[rosmaster.master][INFO] 2012-12-15 18:48:14,685: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:58599/
[rosmaster.master][INFO] 2012-12-15 18:48:14,694: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:33799/
[rosmaster.master][INFO] 2012-12-15 18:48:14,699: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:58599/
[rosmaster.master][INFO] 2012-12-15 18:48:14,700: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:33799/
[rosmaster.master][INFO] 2012-12-15 18:48:14,709: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,727: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,728: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,731: publisherUpdate[/rosout] -> http://pc:57097/
[rosmaster.master][INFO] 2012-12-15 18:48:14,738: +PUB [/rosout] /camera/depth/metric http://pc:39933/
[rosmaster.master][INFO] 2012-12-15 18:48:14,741: +PUB [/rosout] /camera/register_depth_rgb http://pc:45969/
